trip_id,uid,gtype,sid,boxes,n_boxes,payload_kg,payload_limit_kg,payload_utilization,volume_m3,volume_limit_m3,volume_utilization,start_time_s,departure_time_s,arrival_time_s,return_time_s,finish_time_s,outbound_energy_kwh,return_energy_kwh,total_energy_kwh,energy_limit_kwh,energy_margin_kwh,binding_constraint
T01,U05,B,S012,S012-MED-01;S012-WAT-01;S012-FOD-01,3,25.0,30.0,0.8333333333333334,0.067,0.073,0.9178082191780823,0.0,390.0,1032.2922198760784,1924.7244397521567,1924.7244397521567,1.6628152329446908,1.0880379092907213,2.750853142235412,3.2,0.44914685776458807,NONE
T02,U06,B,S014,S014-MED-01;S014-WAT-01;S014-FOD-01,3,25.0,30.0,0.8333333333333334,0.067,0.073,0.9178082191780823,0.0,390.0,1002.2500532545224,1869.3867731757114,1869.3867731757114,1.3061360897313659,0.8330470984513051,2.139183188182671,3.2,1.0608168118173293,NONE
T03,U07,C,S002,S002-MED-01;S002-WAT-01;S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01,6,67.0,68.98985475301743,0.9711572845001475,0.148,0.25,0.592,0.0,480.0,1090.8916211701749,2106.96324234035,2106.96324234035,3.971419010145168,2.3009545810074616,6.272373591152629,6.4,0.1276264088473713,NONE
T04,U08,C,S001,S001-MED-01;S001-WAT-01;S001-MED-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,7,76.0,80.0,0.95,0.159,0.25,0.636,0.0,510.0,825.6073810058874,1578.844762011775,1578.844762011775,1.9575992295267381,0.964767422922981,2.9223666524497194,6.4,3.477633347550281,NONE
T05,U08,C,S006,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,6,59.0,80.0,0.7375,0.156,0.25,0.624,1578.844762011775,2058.844762011775,2392.1588529148676,3140.18294381796,3140.18294381796,1.6031712815481667,0.9934311264019877,2.5966024079501544,6.4,3.803397592049846,NONE
T06,U06,B,S010,S010-MED-01;S010-WAT-01;S010-FOD-01,3,25.0,30.0,0.8333333333333334,0.067,0.073,0.9178082191780823,1869.3867731757114,2259.3867731757114,2712.186123982064,3419.9121414550837,3419.9121414550837,1.1172938108631862,0.7030082398366058,1.820302050699792,3.2,1.3796979493002082,NONE
T07,U05,B,S013,S013-MED-01;S013-WAT-01;S013-FOD-01,3,25.0,30.0,0.8333333333333334,0.067,0.073,0.9178082191780823,1924.7244397521567,2314.7244397521567,2747.241380344351,3434.691654269878,3434.691654269878,1.1194322558292746,0.7038766724005479,1.8233089282298225,3.2,1.3766910717701777,NONE
T08,U07,C,S007,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,5,45.0,80.0,0.5625,0.129,0.25,0.516,2106.96324234035,2556.96324234035,3094.471917345243,4014.060592350136,4014.060592350136,1.9708574757977873,1.437339164837427,3.4081966406352144,6.4,2.991803359364786,NONE
T09,U08,C,S004,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,6,59.0,63.759460151195526,0.9253528787742366,0.156,0.25,0.624,3140.18294381796,3620.18294381796,4334.06891419384,5454.01488456972,5454.01488456972,3.732457805981255,2.417137772192897,6.149595578174152,6.4,0.25040442182584854,NONE
T10,U06,B,S015,S015-MED-01;S015-WAT-01;S015-FOD-01,3,25.0,30.0,0.8333333333333334,0.067,0.073,0.9178082191780823,3419.9121414550837,3809.9121414550837,4397.05190590396,5247.311670352836,5247.311670352836,1.4234846951849078,0.88145541514172,2.304940110326628,3.2,0.8950598896733721,NONE
