sid,gtype,rated_payload_kg,empty_roundtrip_energy_kwh,full_roundtrip_energy_kwh,energy_limit_kwh,empty_trip_feasible,full_load_feasible,roundtrip_energy_nondecreasing,q_max_kg,q_max_ratio,energy_at_qmax_kwh,margin_at_qmax_kwh,qmax_feasible,qmax_boundary_active,qmax_plus_delta_kg,energy_at_qmax_plus_delta_kwh,qmax_plus_delta_infeasible,capacity_status,solver_method,iterations,energy_grid_finite,qmax_plus_delta_check_applicable
S001,A,25.0,1.1656320128576292,1.3176232969664539,3.6,True,True,True,25.0,1.0,1.3176232969664539,2.2823767030335462,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S001,B,30.0,0.9342381778106141,1.2787041859978876,3.2,True,True,True,30.0,1.0,1.2787041859978876,1.9212958140021126,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S001,C,80.0,1.944413945382999,3.0864204431692492,6.4,True,True,True,80.0,1.0,3.0864204431692492,3.313579556830751,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S002,A,25.0,2.736166481644384,3.086372243981839,3.6,True,True,True,25.0,1.0,3.086372243981839,0.513627756018161,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S002,B,30.0,2.1812479557042965,2.994806162930306,3.2,True,True,True,30.0,1.0,2.994806162930306,0.20519383706969396,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S002,C,80.0,4.626170287014923,7.337858029610811,6.4,True,False,True,68.98985475301743,0.8623731844127178,6.399999990968042,9.03195829238257e-09,True,True,68.99085475301743,6.400066675216327,True,ENERGY_LIMITED,bisection_monotone_energy,28,True,True
S003,A,25.0,2.786775560796092,3.1544059758633862,3.6,True,True,True,25.0,1.0,3.1544059758633862,0.44559402413661386,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S003,B,30.0,2.235201476696738,3.0620548910323837,3.2,True,True,True,30.0,1.0,3.0620548910323837,0.13794510896761647,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S003,C,80.0,4.640041547443584,7.376686379185747,6.4,True,False,True,68.28207433223724,0.8535259291529655,6.399999992448455,7.55154516696166e-09,True,True,68.28307433223725,6.400064548246043,True,ENERGY_LIMITED,bisection_monotone_energy,27,True,True
S004,A,25.0,2.8938362045069157,3.2667914372715905,3.6,True,True,True,25.0,1.0,3.2667914372715905,0.3332085627284096,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S004,B,30.0,2.312993414926693,3.1698930934159892,3.2,True,True,True,30.0,1.0,3.1698930934159892,0.03010690658401094,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S004,C,80.0,4.86086235457098,7.710242196370512,6.4,True,False,True,63.759460151195526,0.7969932518899441,6.399999999423267,5.767333277617581e-10,True,True,63.760460151195524,6.400057191138346,True,ENERGY_LIMITED,bisection_monotone_energy,28,True,True
S005,A,25.0,1.983927023864865,2.2396965798260178,3.6,True,True,True,25.0,1.0,2.2396965798260178,1.3603034201739823,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S005,B,30.0,1.5861254705943955,2.1732442395450215,3.2,True,True,True,30.0,1.0,2.1732442395450215,1.0267557604549786,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S005,C,80.0,3.3303178121896355,5.282231030352489,6.4,True,True,True,80.0,1.0,5.282231030352489,1.1177689696475115,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S006,A,25.0,1.2231235929963526,1.388963913337188,3.6,True,True,True,25.0,1.0,1.388963913337188,2.211036086662812,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
