sid,distance_m,zmax_forward_m,zmax_return_m,cruise_altitude_m,o01_ops_altitude_m,service_ops_altitude_m,outbound_climb_m,outbound_descent_m,return_climb_m,return_descent_m,outbound_flight_s_A,return_flight_s_A,geometry_ok
S001,3049.825996765557,233.73960876464844,233.73960876464844,283.73960876464844,127.7,184.0,156.03960876464845,99.73960876464844,99.73960876464844,156.03960876464845,346.06121282453864,349.814546157872,True
S002,7401.018943407115,259.2448425292969,259.2448425292969,309.2448425292969,127.7,219.5,181.5448425292969,89.74484252929688,89.74484252929688,181.5448425292969,713.164463138744,719.284463138744,True
S003,7257.737671463026,511.80413818359375,511.80413818359375,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,223.30413818359375,434.10413818359376,838.8345072898876,852.8878406232209,True
S004,7702.886543553243,356.2113342285156,356.2113342285156,406.2113342285156,127.7,228.3,278.51133422851564,177.9113342285156,177.9113342285156,278.51133422851564,805.9088570636817,812.6155237303484,True
S005,5272.4922381201595,273.50079345703125,273.50079345703125,323.50079345703125,127.7,195.0,195.80079345703126,128.50079345703125,128.50079345703125,195.80079345703126,556.0416017118363,560.5282683785028,True
S006,3184.5905322475596,316.09783935546875,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874,51.29783935546874,238.39783935546876,365.36762654797366,377.840959881307,True
S007,4530.942261914218,461.9731750488281,461.9731750488281,511.9731750488281,127.7,348.5,384.27317504882814,163.47317504882812,163.47317504882812,384.27317504882814,571.0588501953255,585.7788501953255,True
S008,8067.0258829765935,322.9093322753906,322.9093322753906,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065,102.00933227539065,245.20933227539064,794.7923339166692,804.339000583336,True
S009,5697.394369841792,242.522705078125,242.522705078125,292.522705078125,127.7,230.0,164.822705078125,62.522705078125,62.522705078125,164.822705078125,554.732847877441,561.552847877441,True
S010,4781.755392710525,382.5758972167969,382.5758972167969,432.5758972167969,127.7,351.6,304.8758972167969,80.97589721679685,80.97589721679685,304.8758972167969,532.4952740181948,547.4219406848614,True
S011,2804.1827906691688,243.34902954101562,243.34902954101562,293.3490295410156,127.7,212.1,165.64902954101564,81.24902954101563,81.24902954101563,165.64902954101564,321.3978542191755,327.0245208858422,True
S012,7383.1252842251615,365.3234558105469,365.3234558105469,415.3234558105469,127.7,279.8,287.6234558105469,135.52345581054686,135.52345581054686,287.6234558105469,765.3443079464978,775.4843079464978,True
S013,4845.454047847755,349.18182373046875,349.18182373046875,399.18182373046875,127.7,351.7,271.48182373046876,47.48182373046876,47.48182373046876,271.48182373046876,513.2745080563234,528.2078413896567,True
S014,5416.829534169398,541.9473876953125,541.9473876953125,591.9473876953125,127.7,351.0,464.2473876953125,240.9473876953125,240.9473876953125,464.2473876953125,702.5305454906791,717.4172121573456,True
S015,6002.804657651103,521.7992553710938,521.7992553710938,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,97.29925537109375,444.09925537109376,687.1865087430607,710.3065087430607,True
