sid,gtype,payload_probe_kg,full_payload_kg,range_empty_m,range_half_payload_m,range_max_payload_m,range_empty_endpoint_error_m,range_full_endpoint_error_m,range_positive,range_nonincreasing,range_empty_endpoint,range_full_endpoint,energy_outbound_empty_kwh,energy_outbound_probe_kwh,energy_outbound_full_kwh,energy_return_empty_kwh,energy_return_probe_kwh,return_payload_check_kg,return_payload_is_zero,return_energy_direct_q0_kwh,return_energy_actual_kwh,return_energy_matches_q0,energy_roundtrip_full_kwh,energy_limit_after_reserve_kwh,full_load_margin_kwh,full_load_roundtrip_feasible,rho,energy_nonnegative
S001,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,0.5902661993300491,0.7422574834388738,0.7422574834388738,0.57536581352758,0.57536581352758,0.0,True,0.57536581352758,0.57536581352758,True,1.3176232969664539,3.6,2.2823767030335462,True,0.2,True
S001,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,0.4740371251707392,0.8185031333580126,0.8185031333580126,0.460201052639875,0.460201052639875,0.0,True,0.460201052639875,0.460201052639875,True,1.2787041859978876,3.2,1.9212958140021126,True,0.2,True
S001,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,0.979646522460018,2.121653020246268,2.121653020246268,0.964767422922981,0.964767422922981,0.0,True,0.964767422922981,0.964767422922981,True,3.0864204431692492,6.4,3.313579556830751,True,0.2,True
S002,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,1.3802311574888586,1.7304369198263136,1.7304369198263136,1.3559353241555252,1.3559353241555252,0.0,True,1.3559353241555252,1.3559353241555252,True,3.086372243981839,3.6,0.513627756018161,True,0.2,True
S002,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,1.1019041861854817,1.9154623934114916,1.9154623934114916,1.0793437695188148,1.0793437695188148,0.0,True,1.0793437695188148,1.0793437695188148,True,2.994806162930306,3.2,0.20519383706969396,True,0.2,True
S002,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,2.3252157060074614,5.03690344860335,5.03690344860335,2.3009545810074616,2.3009545810074616,0.0,True,2.3009545810074616,2.3009545810074616,True,7.337858029610811,6.4,-0.937858029610811,False,0.2,True
S003,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,1.4212829964474285,1.7889134115147232,1.7889134115147232,1.365492564348663,1.365492564348663,0.0,True,1.365492564348663,1.365492564348663,True,3.1544059758633862,3.6,0.44559402413661386,True,0.2,True
S003,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,1.1435034389656529,1.970356853301299,1.970356853301299,1.091698037731085,1.091698037731085,0.0,True,1.091698037731085,1.091698037731085,True,3.0620548910323837,3.2,0.13794510896761647,True,0.2,True
S003,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,2.3478761394625325,5.084520971204696,5.084520971204696,2.292165407981051,2.292165407981051,0.0,True,2.292165407981051,2.292165407981051,True,7.376686379185747,6.4,-0.9766863791857467,False,0.2,True
S004,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,1.4602305250929641,1.8331857578576387,1.8331857578576387,1.4336056794139518,1.4336056794139518,0.0,True,1.4336056794139518,1.4336056794139518,True,3.2667914372715905,3.6,0.3332085627284096,True,0.2,True
