box,sid,type,mass,volume,first,t_first,t_exp,prio,trip_id,uid,gtype,arrival_time_s,lateness_s,weighted_lateness,first_on_time
S002-MED-01,S002,医疗物资,3.0,0.012,True,3600.0,3600.0,24.0,T01,U01,A,1283.164463138744,0.0,0.0,True
S002-WAT-02,S002,饮用水,14.0,0.027,False,,3600.0,12.0,T01,U01,A,1283.164463138744,0.0,0.0,
S003-MED-01,S003,医疗物资,3.0,0.012,True,7200.0,7200.0,20.0,T02,U02,A,1408.8345072898876,0.0,0.0,True
S003-WAT-01,S003,饮用水,14.0,0.027,True,7200.0,7200.0,10.0,T02,U02,A,1408.8345072898876,0.0,0.0,True
S012-MED-01,S012,医疗物资,3.0,0.012,True,3600.0,7200.0,22.0,T03,U05,B,1272.2922198760784,0.0,0.0,True
S012-WAT-01,S012,饮用水,14.0,0.027,True,3600.0,3600.0,12.0,T03,U05,B,1272.2922198760784,0.0,0.0,True
S012-FOD-01,S012,应急食品,8.0,0.028,False,,7200.0,10.0,T03,U05,B,1272.2922198760784,0.0,0.0,
S014-MED-01,S014,医疗物资,3.0,0.012,True,3600.0,7200.0,22.0,T04,U06,B,1242.2500532545223,0.0,0.0,True
S014-WAT-01,S014,饮用水,14.0,0.027,True,3600.0,3600.0,12.0,T04,U06,B,1242.2500532545223,0.0,0.0,True
S014-FOD-01,S014,应急食品,8.0,0.028,False,,7200.0,10.0,T04,U06,B,1242.2500532545223,0.0,0.0,
S002-FOD-01,S002,应急食品,8.0,0.028,False,,7200.0,10.0,T05,U07,C,1486.8916211701749,0.0,0.0,
S002-FOD-02,S002,应急食品,8.0,0.028,False,,7200.0,10.0,T05,U07,C,1486.8916211701749,0.0,0.0,
S002-HYG-01,S002,生活卫生用品,6.0,0.035,False,,10800.0,8.0,T05,U07,C,1486.8916211701749,0.0,0.0,
S002-WAT-01,S002,饮用水,14.0,0.027,True,3600.0,3600.0,12.0,T05,U07,C,1486.8916211701749,0.0,0.0,True
S002-WAT-03,S002,饮用水,14.0,0.027,False,,3600.0,12.0,T05,U07,C,1486.8916211701749,0.0,0.0,
S002-WAT-04,S002,饮用水,14.0,0.027,False,,3600.0,12.0,T05,U07,C,1486.8916211701749,0.0,0.0,
S001-MED-01,S001,医疗物资,3.0,0.012,True,3600.0,3600.0,24.0,T06,U08,C,1257.6073810058874,0.0,0.0,True
S001-MED-02,S001,医疗物资,3.0,0.012,False,,3600.0,24.0,T06,U08,C,1257.6073810058874,0.0,0.0,
S001-WAT-01,S001,饮用水,14.0,0.027,True,3600.0,3600.0,12.0,T06,U08,C,1257.6073810058874,0.0,0.0,True
S001-WAT-02,S001,饮用水,14.0,0.027,False,,3600.0,12.0,T06,U08,C,1257.6073810058874,0.0,0.0,
S001-WAT-03,S001,饮用水,14.0,0.027,False,,3600.0,12.0,T06,U08,C,1257.6073810058874,0.0,0.0,
S001-WAT-04,S001,饮用水,14.0,0.027,False,,3600.0,12.0,T06,U08,C,1257.6073810058874,0.0,0.0,
S001-WAT-05,S001,饮用水,14.0,0.027,False,,3600.0,12.0,T06,U08,C,1257.6073810058874,0.0,0.0,
S006-MED-01,S006,医疗物资,3.0,0.012,True,3600.0,3600.0,24.0,T07,U08,C,2788.1588529148676,0.0,0.0,True
S006-WAT-01,S006,饮用水,14.0,0.027,True,3600.0,3600.0,12.0,T07,U08,C,2788.1588529148676,0.0,0.0,True
S006-WAT-02,S006,饮用水,14.0,0.027,False,,3600.0,12.0,T07,U08,C,2788.1588529148676,0.0,0.0,
S006-WAT-03,S006,饮用水,14.0,0.027,False,,3600.0,12.0,T07,U08,C,2788.1588529148676,0.0,0.0,
S006-FOD-01,S006,应急食品,8.0,0.028,False,,7200.0,10.0,T07,U08,C,2788.1588529148676,0.0,0.0,
S006-HYG-01,S006,生活卫生用品,6.0,0.035,False,,10800.0,8.0,T07,U08,C,2788.1588529148676,0.0,0.0,
S010-MED-01,S010,医疗物资,3.0,0.012,True,3600.0,3600.0,24.0,T08,U06,B,2952.1861239820646,0.0,0.0,True
S010-WAT-01,S010,饮用水,14.0,0.027,True,3600.0,3600.0,12.0,T08,U06,B,2952.1861239820646,0.0,0.0,True
S010-FOD-01,S010,应急食品,8.0,0.028,False,,7200.0,10.0,T08,U06,B,2952.1861239820646,0.0,0.0,
S013-MED-01,S013,医疗物资,3.0,0.012,True,3600.0,3600.0,24.0,T09,U05,B,2987.241380344351,0.0,0.0,True
S013-WAT-01,S013,饮用水,14.0,0.027,True,3600.0,3600.0,12.0,T09,U05,B,2987.241380344351,0.0,0.0,True
S013-FOD-01,S013,应急食品,8.0,0.028,False,,7200.0,10.0,T09,U05,B,2987.241380344351,0.0,0.0,
S007-MED-01,S007,医疗物资,3.0,0.012,True,3600.0,3600.0,24.0,T10,U07,C,3454.471917345243,0.0,0.0,True
S007-WAT-01,S007,饮用水,14.0,0.027,True,3600.0,3600.0,12.0,T10,U07,C,3454.471917345243,0.0,0.0,True
S007-WAT-02,S007,饮用水,14.0,0.027,False,,3600.0,12.0,T10,U07,C,3454.471917345243,0.0,0.0,
S007-FOD-01,S007,应急食品,8.0,0.028,False,,7200.0,10.0,T10,U07,C,3454.471917345243,0.0,0.0,
S007-HYG-01,S007,生活卫生用品,6.0,0.035,False,,10800.0,8.0,T10,U07,C,3454.471917345243,0.0,0.0,
S001-FOD-01,S001,应急食品,8.0,0.028,False,,7200.0,10.0,T11,U08,C,4463.790324823847,0.0,0.0,
S001-FOD-02,S001,应急食品,8.0,0.028,False,,7200.0,10.0,T11,U08,C,4463.790324823847,0.0,0.0,
S001-FOD-03,S001,应急食品,8.0,0.028,False,,7200.0,10.0,T11,U08,C,4463.790324823847,0.0,0.0,
S001-HYG-01,S001,生活卫生用品,6.0,0.035,False,,10800.0,8.0,T11,U08,C,4463.790324823847,0.0,0.0,
S001-HYG-02,S001,生活卫生用品,6.0,0.035,False,,10800.0,8.0,T11,U08,C,4463.790324823847,0.0,0.0,
S001-WAT-06,S001,饮用水,14.0,0.027,False,,3600.0,12.0,T11,U08,C,4463.790324823847,863.7903248238472,10365.483897886166,
S001-WAT-07,S001,饮用水,14.0,0.027,False,,3600.0,12.0,T11,U08,C,4463.790324823847,863.7903248238472,10365.483897886166,
S001-WAT-08,S001,饮用水,14.0,0.027,False,,3600.0,12.0,T11,U08,C,4463.790324823847,863.7903248238472,10365.483897886166,
S015-MED-01,S015,医疗物资,3.0,0.012,True,7200.0,7200.0,18.0,T12,U06,B,4637.05190590396,0.0,0.0,True
S015-WAT-01,S015,饮用水,14.0,0.027,True,10800.0,10800.0,8.0,T12,U06,B,4637.05190590396,0.0,0.0,True
S015-FOD-01,S015,应急食品,8.0,0.028,False,,14400.0,6.0,T12,U06,B,4637.05190590396,0.0,0.0,
S009-MED-01,S009,医疗物资,3.0,0.012,True,10800.0,10800.0,16.0,T13,U05,B,4524.467929316623,0.0,0.0,True
S009-WAT-01,S009,饮用水,14.0,0.027,True,10800.0,10800.0,8.0,T13,U05,B,4524.467929316623,0.0,0.0,True
S009-FOD-01,S009,应急食品,8.0,0.028,False,,14400.0,6.0,T13,U05,B,4524.467929316623,0.0,0.0,
S008-MED-01,S008,医疗物资,3.0,0.012,True,7200.0,7200.0,20.0,T14,U07,C,5510.950716929761,0.0,0.0,True
S008-WAT-01,S008,饮用水,14.0,0.027,True,7200.0,7200.0,10.0,T14,U07,C,5510.950716929761,0.0,0.0,True
S008-WAT-02,S008,饮用水,14.0,0.027,False,,7200.0,10.0,T14,U07,C,5510.950716929761,0.0,0.0,
S008-FOD-01,S008,应急食品,8.0,0.028,False,,10800.0,8.0,T14,U07,C,5510.950716929761,0.0,0.0,
S008-HYG-01,S008,生活卫生用品,6.0,0.035,False,,14400.0,6.0,T14,U07,C,5510.950716929761,0.0,0.0,
S004-MED-01,S004,医疗物资,3.0,0.012,True,7200.0,7200.0,20.0,T15,U08,C,6374.913676205615,0.0,0.0,True
S004-WAT-01,S004,饮用水,14.0,0.027,True,7200.0,7200.0,10.0,T15,U08,C,6374.913676205615,0.0,0.0,True
S004-WAT-02,S004,饮用水,14.0,0.027,False,,7200.0,10.0,T15,U08,C,6374.913676205615,0.0,0.0,
S004-WAT-03,S004,饮用水,14.0,0.027,False,,7200.0,10.0,T15,U08,C,6374.913676205615,0.0,0.0,
S004-FOD-01,S004,应急食品,8.0,0.028,False,,10800.0,8.0,T15,U08,C,6374.913676205615,0.0,0.0,
S004-HYG-01,S004,生活卫生用品,6.0,0.035,False,,14400.0,6.0,T15,U08,C,6374.913676205615,0.0,0.0,
S011-MED-01,S011,医疗物资,3.0,0.012,True,10800.0,10800.0,16.0,T16,U05,B,5895.725678738057,0.0,0.0,True
S011-WAT-01,S011,饮用水,14.0,0.027,True,10800.0,10800.0,8.0,T16,U05,B,5895.725678738057,0.0,0.0,True
S011-FOD-01,S011,应急食品,8.0,0.028,False,,14400.0,6.0,T16,U05,B,5895.725678738057,0.0,0.0,
S003-FOD-01,S003,应急食品,8.0,0.028,False,,10800.0,8.0,T17,U07,C,7857.303743972156,0.0,0.0,
S003-FOD-02,S003,应急食品,8.0,0.028,False,,10800.0,8.0,T17,U07,C,7857.303743972156,0.0,0.0,
S003-HYG-01,S003,生活卫生用品,6.0,0.035,False,,14400.0,6.0,T17,U07,C,7857.303743972156,0.0,0.0,
S003-WAT-02,S003,饮用水,14.0,0.027,False,,7200.0,10.0,T17,U07,C,7857.303743972156,657.3037439721556,6573.037439721556,
S003-WAT-03,S003,饮用水,14.0,0.027,False,,7200.0,10.0,T17,U07,C,7857.303743972156,657.3037439721556,6573.037439721556,
S003-WAT-04,S003,饮用水,14.0,0.027,False,,7200.0,10.0,T17,U07,C,7857.303743972156,657.3037439721556,6573.037439721556,
S005-MED-01,S005,医疗物资,3.0,0.012,True,10800.0,10800.0,16.0,T18,U08,C,8468.929843234167,0.0,0.0,True
S005-WAT-01,S005,饮用水,14.0,0.027,True,10800.0,10800.0,8.0,T18,U08,C,8468.929843234167,0.0,0.0,True
S005-WAT-02,S005,饮用水,14.0,0.027,False,,10800.0,8.0,T18,U08,C,8468.929843234167,0.0,0.0,
S005-WAT-03,S005,饮用水,14.0,0.027,False,,10800.0,8.0,T18,U08,C,8468.929843234167,0.0,0.0,
S005-FOD-01,S005,应急食品,8.0,0.028,False,,14400.0,6.0,T18,U08,C,8468.929843234167,0.0,0.0,
S005-HYG-01,S005,生活卫生用品,6.0,0.035,False,,18000.0,4.0,T18,U08,C,8468.929843234167,0.0,0.0,
