trip_id,gtype,sid,boxes,n_boxes,payload_kg,payload_limit_kg,payload_utilization,volume_m3,volume_limit_m3,volume_utilization,prep_load_time_s,outbound_flight_time_s,handover_time_s,return_flight_time_s,operation_time_s,outbound_energy_kwh,return_energy_kwh,total_energy_kwh,energy_limit_kwh,energy_margin_kwh,energy_identity_pass,time_identity_pass,binding_constraint
T01,C,S001,S001-MED-01;S001-MED-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-FOD-01;S001-FOD-02,8,78.0,80.0,0.975,0.188,0.25,0.752,540.0,315.6073810058874,468.0,321.2373810058874,1644.844762011775,2.0357610213779376,0.964767422922981,3.000528444300919,6.4,3.3994715556990815,True,True,NONE
T02,C,S001,S001-WAT-01;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-03;S001-HYG-01;S001-HYG-02,7,76.0,80.0,0.95,0.20600000000000002,0.25,0.8240000000000001,510.0,315.6073810058874,432.0,321.2373810058874,1578.844762011775,1.9575992295267381,0.964767422922981,2.9223666524497194,6.4,3.477633347550281,True,True,NONE
T03,B,S002,S002-MED-01;S002-WAT-01;S002-FOD-01,3,25.0,30.0,0.8333333333333334,0.067,0.073,0.9178082191780823,390.0,589.8141474152922,240.0,595.934147415292,1815.7482948305842,1.6305118172337976,1.0793437695188148,2.7098555867526124,3.2,0.4901444132473878,True,True,NONE
T04,C,S002,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,5,56.0,68.98985475301743,0.8117135512240039,0.14400000000000002,0.25,0.5760000000000001,450.0,610.8916211701749,360.0,620.0716211701749,2040.9632423403498,3.4125812196701975,2.3009545810074616,5.7135358006776595,6.4,0.6864641993223408,True,True,NONE
T05,B,S003,S003-MED-01;S003-WAT-01;S003-FOD-01,3,25.0,30.0,0.8333333333333334,0.067,0.073,0.9178082191780823,390.0,717.8722127655038,240.0,731.9255460988372,2079.7977588643407,1.6860819217386287,1.091698037731085,2.7777799594697137,3.2,0.4222200405302865,True,True,NONE
T06,C,S003,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01,5,56.0,68.28207433223724,0.8201273987009113,0.14400000000000002,0.25,0.5760000000000001,450.0,769.1429024627695,360.0,790.2229024627694,2369.365804925539,3.4684087425360697,2.292165407981051,5.760574150517121,6.4,0.6394258494828797,True,True,NONE
T07,C,S004,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,6,59.0,63.759460151195526,0.9253528787742366,0.156,0.25,0.624,480.0,713.8859703758803,396.0,723.9459703758803,2313.8319407517606,3.732457805981255,2.417137772192897,6.149595578174152,6.4,0.25040442182584854,True,True,NONE
T08,C,S005,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,6,59.0,80.0,0.7375,0.156,0.25,0.624,480.0,494.0701966526721,396.0,500.80019665267207,1870.8703933053444,2.557319624460736,1.6562658030855584,4.2135854275462945,6.4,2.186414572453706,True,True,NONE
T09,C,S006,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,6,59.0,80.0,0.7375,0.156,0.25,0.624,480.0,333.3140909030925,396.0,352.02409090309254,1561.3381818061853,1.6031712815481667,0.9934311264019877,2.5966024079501544,6.4,3.803397592049846,True,True,NONE
T10,C,S007,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,5,45.0,80.0,0.5625,0.129,0.25,0.516,450.0,537.5086750048932,360.0,559.5886750048932,1907.0973500097862,1.9708574757977873,1.437339164837427,3.4081966406352144,6.4,2.991803359364786,True,True,NONE
