sid,stage,status,objective_value,wall_time_s,n_candidates
S001,L1,OPTIMAL,2.0,8.2182075,18332
S001,L2,OPTIMAL,5922895.0,3.0643757000000003,18332
S001,L3,OPTIMAL,3223690.0,3.319529,18332
S002,L1,OPTIMAL,2.0,0.0289363,316
S002,L2,OPTIMAL,8423392.0,0.0242127,316
S002,L3,OPTIMAL,3856711.0,0.024053300000000003,316
S003,L1,OPTIMAL,2.0,0.024615400000000003,316
S003,L2,OPTIMAL,8538354.0,0.0245357,316
S003,L3,OPTIMAL,4449164.0,0.023674300000000002,316
S004,L1,OPTIMAL,1.0,0.0165117,101
S004,L2,OPTIMAL,6149596.0,0.013175300000000001,101
S004,L3,OPTIMAL,2313832.0,0.0138668,101
S005,L1,OPTIMAL,1.0,0.0080135,101
S005,L2,OPTIMAL,4213585.0,0.0129473,101
S005,L3,OPTIMAL,1870870.0,0.0128149,101
S006,L1,OPTIMAL,1.0,0.0050394,101
S006,L2,OPTIMAL,2596602.0,0.012845500000000001,101
S006,L3,OPTIMAL,1561338.0,0.013953400000000001,101
S007,L1,OPTIMAL,1.0,0.00447,59
S007,L2,OPTIMAL,3408197.0,0.013946700000000001,59
S007,L3,OPTIMAL,1907097.0,0.0140744,59
S008,L1,OPTIMAL,1.0,0.0189981,59
S008,L2,OPTIMAL,5827400.0,0.014427500000000001,59
S008,L3,OPTIMAL,2198100.0,0.013337600000000002,59
S009,L1,OPTIMAL,1.0,0.015699,20
S009,L2,OPTIMAL,2092996.0,0.014009,20
S009,L3,OPTIMAL,1556373.0,0.014441500000000001,20
S010,L1,OPTIMAL,1.0,0.013549400000000001,20
S010,L2,OPTIMAL,1820302.0,0.014408800000000001,20
S010,L3,OPTIMAL,1550525.0,0.014877800000000002,20
S011,L1,OPTIMAL,1.0,0.0170837,20
S011,L2,OPTIMAL,1071312.0,0.0145734,20
S011,L3,OPTIMAL,1184950.0,0.0144066,20
S012,L1,OPTIMAL,1.0,0.013388700000000002,20
S012,L2,OPTIMAL,2750853.0,0.0150244,20
S012,L3,OPTIMAL,1924723.9999999998,0.0150097,20
S013,L1,OPTIMAL,1.0,0.0133544,20
S013,L2,OPTIMAL,1823309.0,0.015134300000000002,20
S013,L3,OPTIMAL,1509967.0,0.014672500000000002,20
S014,L1,OPTIMAL,1.0,0.012575500000000002,20
S014,L2,OPTIMAL,2139183.0,0.0142929,20
S014,L3,OPTIMAL,1869386.9999999998,0.0142909,20
S015,L1,OPTIMAL,1.0,0.014965000000000001,20
S015,L2,OPTIMAL,2304940.0,0.015137300000000001,20
S015,L3,OPTIMAL,1827400.0,0.0146374,20
