figure_id,output_pdf,output_png,output_svg,width_mm,height_mm,dpi
Fig_Q2_01_method_comparison,implementation/q2/figures/Fig_Q2_01_method_comparison.pdf,implementation/q2/figures/Fig_Q2_01_method_comparison.png,implementation/q2/figures/Fig_Q2_01_method_comparison.svg,180,105,600
Fig_Q2_02_global_pareto,implementation/q2/figures/Fig_Q2_02_global_pareto.pdf,implementation/q2/figures/Fig_Q2_02_global_pareto.png,implementation/q2/figures/Fig_Q2_02_global_pareto.svg,90,78,600
Fig_Q2_03_multiseed_stability,implementation/q2/figures/Fig_Q2_03_multiseed_stability.pdf,implementation/q2/figures/Fig_Q2_03_multiseed_stability.png,implementation/q2/figures/Fig_Q2_03_multiseed_stability.svg,180,94,600
Fig_Q2_04_route_structure_map,implementation/q2/figures/Fig_Q2_04_route_structure_map.pdf,implementation/q2/figures/Fig_Q2_04_route_structure_map.png,implementation/q2/figures/Fig_Q2_04_route_structure_map.svg,105,90,600
Fig_Q2_05_uav_gantt,implementation/q2/figures/Fig_Q2_05_uav_gantt.pdf,implementation/q2/figures/Fig_Q2_05_uav_gantt.png,implementation/q2/figures/Fig_Q2_05_uav_gantt.svg,180,90,600
Fig_Q2_06_battery_timeline,implementation/q2/figures/Fig_Q2_06_battery_timeline.pdf,implementation/q2/figures/Fig_Q2_06_battery_timeline.png,implementation/q2/figures/Fig_Q2_06_battery_timeline.svg,180,92,600
Fig_Q2_07_delivery_timeliness,implementation/q2/figures/Fig_Q2_07_delivery_timeliness.pdf,implementation/q2/figures/Fig_Q2_07_delivery_timeliness.png,implementation/q2/figures/Fig_Q2_07_delivery_timeliness.svg,95,86,600
Fig_Q2_08_multistop_examples,implementation/q2/figures/Fig_Q2_08_multistop_examples.pdf,implementation/q2/figures/Fig_Q2_08_multistop_examples.png,implementation/q2/figures/Fig_Q2_08_multistop_examples.svg,180,72,600
Fig_Q2_09_exact_benchmark,implementation/q2/figures/Fig_Q2_09_exact_benchmark.pdf,implementation/q2/figures/Fig_Q2_09_exact_benchmark.png,implementation/q2/figures/Fig_Q2_09_exact_benchmark.svg,180,78,600
Fig_Q2_10_operator_multistop_audit,implementation/q2/figures/Fig_Q2_10_operator_multistop_audit.pdf,implementation/q2/figures/Fig_Q2_10_operator_multistop_audit.png,implementation/q2/figures/Fig_Q2_10_operator_multistop_audit.svg,180,86,600
