case_id,gtype,route,n_stops,n_boxes,initial_payload_kg,initial_volume_m3,leg_payloads,leg_times_s,leg_energies_kwh,delivery_offsets_s,total_energy_kwh,energy_limit_kwh,energy_margin_kwh,route_duration_s,mass_feasible,volume_feasible,energy_feasible,route_feasible,expected_outcome,actual_outcome,pass
single-A-S001,A,O01-S001-O01,1,1,3.0,0.012,3.000;0.000,346.061;349.815,0.596638;0.575366,856.061,1.1720042092881144,3.6,2.4279957907118854,1205.8757589824106,True,True,True,True,match-Q1-direct,match-Q1-direct,True
single-A-S015,A,O01-S015-O01,1,1,3.0,0.012,3.000;0.000,687.187;710.307,1.212136;1.106256,1197.187,2.3183921700380745,3.6,1.2816078299619256,1907.4930174861213,True,True,True,True,match-Q1-direct,match-Q1-direct,True
single-B-S008,B,O01-S008-O01,1,1,3.0,0.012,3.000;0.000,660.342;669.889,1.231308;1.177502,1170.342,2.408810031971773,3.2,0.791189968028227,1840.230471734119,True,True,True,True,match-Q1-direct,match-Q1-direct,True
single-B-S012,B,O01-S012-O01,1,1,3.0,0.012,3.000;0.000,642.292;652.432,1.143171;1.088038,1152.292,2.231208498987308,3.2,0.9687915010126922,1804.7244397521567,True,True,True,True,match-Q1-direct,match-Q1-direct,True
single-C-S002,C,O01-S002-O01,1,1,3.0,0.012,3.000;0.000,610.892;620.072,2.336214;2.300955,1156.892,4.6371689357077175,6.4,1.7628310642922829,1776.9632423403498,True,True,True,True,match-Q1-direct,match-Q1-direct,True
single-C-S008,C,O01-S008-O01,1,1,8.0,0.028,8.000;0.000,686.890;701.210,2.597381;2.509121,1232.890,5.106501757043816,6.4,1.2934982429561845,1934.100249159249,True,True,True,True,match-Q1-direct,match-Q1-direct,True
two-stop-payload,C,O01-S001-S002-O01,2,4,22.0,0.08,22.000;11.000;0.000,315.607;391.294;620.072,1.071630;1.418013;2.300955,987.607;1630.901,4.790597441802537,6.4,1.6094025581974636,2250.9725989759127,True,True,True,True,"payloads=[22,11,0]","payloads=[22.0, 11.0, 0.0]",True
three-stop-payload,C,O01-S002-S005-S008-O01,3,3,9.0,0.036000000000000004,9.000;6.000;3.000;0.000,610.892;412.368;319.081;701.210,2.378622;1.134390;0.985275;2.509121,1216.892;1845.260;2380.341,7.007408730470651,6.4,-0.6074087304706506,3081.5512565629588,True,True,False,False,"payloads=[9,6,3,0]","payloads=[9.0, 6.0, 3.0, 0.0]",True
handover-accumulation,C,O01-S001-S002-O01,2,4,22.0,0.08,22.000;11.000;0.000,315.607;391.294;620.072,1.071630;1.418013;2.300955,987.607;1630.901,4.790597441802537,6.4,1.6094025581974636,2250.9725989759127,True,True,True,True,S2-offset-includes-hand1,handover-included,True
order-A-S001-S005,C,O01-S001-S005-O01,2,2,17.0,0.039,17.000;3.000;0.000,315.607;308.381;500.800,1.041930;0.939754;1.656266,891.607;1415.989,3.6379498268997974,6.4,2.762050173100203,1916.7887591376875,True,True,True,True,"payloads=[17,3,0]",E=3.6379,True
order-B-S005-S001,C,O01-S005-S001-O01,2,2,17.0,0.039,17.000;14.000;0.000,494.070;309.481;321.237,1.776973;0.975154;0.964767,1070.070;1595.551,3.716893709999108,6.4,2.683106290000892,1916.7887591376875,True,True,True,True,"payloads=[17,14,0]",E=3.7169,True
mass-infeasible,A,O01-S001-O01,1,4,56.0,0.108,56.000;0.000,346.061;349.815,0.760546;0.575366,1036.061,1.335912198641878,3.6,2.264087801358122,1385.8757589824106,False,False,True,False,"mass=False,route=False",mass-rejected,True
volume-infeasible,A,O01-S001-O01,1,2,12.0,0.07,12.000;0.000,346.061;349.815,0.636460;0.575366,916.061,1.2118253955865685,3.6,2.3881746044134315,1265.8757589824106,True,False,True,False,"volume=False,route=False",volume-rejected,True
energy-infeasible,C,O01-S008-S012-O01,2,8,70.0,0.196,70.000;25.000;0.000,686.890;589.836;690.229,4.567872;2.654666;2.307547,1586.890;2464.726,9.530085014343747,6.4,-3.130085014343747,3154.955239929327,True,True,False,False,"energy=False,margin<0",energy-rejected,True
duplicate-box,C,O01-S001-S002-O01,2,,,,,,,,,,,,,,,,ValueError,duplicate-rejected,True
sid-mismatch,C,O01-S002-O01,1,,,,,,,,,,,,,,,,ValueError,mismatch-rejected,True
unknown-box,C,O01-S001-O01,1,,,,,,,,,,,,,,,,ValueError,unknown-rejected,True
empty-stop,C,O01-S001-S005-O01,2,,,,,,,,,,,,,,,,ValueError,empty-rejected,True
