battery_id,previous_trip,previous_charge_end,next_trip,next_start,margin_s,pass
BAT-A-06,T001,2192.508647086876,T008,3918.9,1726.3913529131241,True
BAT-C-04,T002,4357.215759417021,T009,4602.9,245.68424058297842,True
BAT-C-04,T009,9111.877516799837,T011,9112.0,0.1224832001626055,True
BAT-C-03,T003,2819.351561211336,T015,2827.8,8.448438788664134,True
BAT-B-04,T004,3656.6857157567165,T021,3911.0,254.3142842432835,True
BAT-C-02,T005,5851.112521690549,T017,5851.2,0.08747830945048918,True
BAT-B-03,T025,5775.310083693774,T006,5775.4,0.08991630622585944,True
BAT-C-01,T013,2892.7854827440206,T007,3470.5,577.7145172559794,True
BAT-C-01,T007,8233.354637357259,T023,10850.9,2617.5453626427407,True
BAT-A-03,T012,2191.8995403542476,T014,2192.0,0.10045964575238031,True
BAT-A-01,T024,3464.862012285833,T016,3760.9,296.03798771416723,True
BAT-A-01,T016,7353.0896545164505,T022,7616.7,263.6103454835493,True
BAT-A-01,T022,9667.129256640454,T018,9667.3,0.17074335954566777,True
BAT-B-02,T026,3128.4630023068503,T027,3540.7,412.23699769314953,True
BAT-B-02,T027,6738.085540635027,T019,7855.2,1117.1144593649724,True
BAT-B-01,T028,5041.055945342727,T029,5964.3,923.2440546572734,True
