source_seed,solution_id,iteration,WTD,Cmax_s,total_energy_kwh,n_trips,total_operation_time_s,normalized_ideal_distance
20260924,seed-20260924-iter-0,0,144642.23258293286,11652.199291929717,81.6982031042468,30.0,53591.82026044627,0.3371077764939835
20260924,seed-20260924-best,best,107687.97659223761,11016.020128819668,82.00180610289718,30.0,53591.82026044627,0.27837843532639595
20260925,seed-20260925-iter-0,0,77240.32818952942,13141.599291929717,79.15177570180603,29.0,51509.78800583729,0.33582522317226865
20260925,seed-20260925-best,best,14791.774700396316,11992.999291929716,79.33154169469012,29.0,51509.78800583729,0.22007939173028065
20260926,seed-20260926-iter-1,1,128467.91609485447,10992.485695754884,80.26173007627483,28.0,53737.11781511894,0.2412793739874408
20260927,seed-20260927-init,-1,1020178.5413075668,33880.1634517862,95.35881824993719,31.0,54978.07795934852,2.7926788864347927
20260927,seed-20260927-iter-1,1,594911.6379196332,14091.563451786196,101.34682424038509,35.0,61838.29061385626,1.348852088123707
20260928,seed-20260928-iter-1,1,96057.88970623327,11263.100249159248,83.37715969474769,28.0,53528.72509852278,0.27174508259760916
20260929,seed-20260929-iter-0,0,99368.3441061495,11924.85339060251,70.51735076544813,23.0,43650.979660180405,0.46284891655929067
20260929,seed-20260929-best,best,23386.478389937558,9589.423959490892,70.57480010239354,23.0,43650.979660180405,0.39410273001792306
20260930,seed-20260930-iter-0,0,79213.05374067595,13190.43400068497,87.87186798615528,29.0,53849.1766528014,0.46997669621980487
20261001,seed-20261001-iter-0,0,305113.5737416088,15940.048925022338,86.57844515674186,29.0,54635.240362259465,0.7927539836318787
20261001,seed-20261001-best,best,74014.08266534124,10992.485695754884,86.61902601066122,29.0,54635.240362259465,0.3341921470024992
