seed,operator_type,operator_name,times_used,times_accepted,times_improved,times_global_best,final_weight
20260924,destroy,random,2,1,1,1,1.791
20260924,destroy,related,0,0,0,0,1.0
20260924,destroy,high-wtd,0,0,0,0,1.0
20260924,destroy,high-energy,0,0,0,0,1.0
20260924,destroy,whole-route,0,0,0,0,1.0
20260924,destroy,stop-removal,0,0,0,0,1.0
20260924,repair,cheapest-delta,2,1,1,1,1.791
20260924,repair,regret-2,0,0,0,0,1.0
20260924,repair,deadline-first,0,0,0,0,1.0
20260924,repair,energy-aware,0,0,0,0,1.0
20260924,repair,new-trip,0,0,0,0,1.0
20260925,destroy,random,1,1,1,1,1.8
20260925,destroy,related,0,0,0,0,1.0
20260925,destroy,high-wtd,0,0,0,0,1.0
20260925,destroy,high-energy,0,0,0,0,1.0
20260925,destroy,whole-route,1,0,0,0,0.995
20260925,destroy,stop-removal,1,1,0,0,1.0
20260925,repair,cheapest-delta,2,2,1,1,1.6400000000000001
20260925,repair,regret-2,0,0,0,0,1.0
20260925,repair,deadline-first,0,0,0,0,1.0
20260925,repair,energy-aware,1,0,0,0,0.995
20260925,repair,new-trip,0,0,0,0,1.0
20260926,destroy,random,2,1,0,0,0.995
20260926,destroy,related,1,0,0,0,0.995
20260926,destroy,high-wtd,1,0,0,0,0.995
20260926,destroy,high-energy,2,2,0,0,1.0
20260926,destroy,whole-route,1,1,0,0,1.0
20260926,destroy,stop-removal,1,1,0,0,1.0
20260926,repair,cheapest-delta,2,0,0,0,0.990025
20260926,repair,regret-2,2,2,0,0,1.0
20260926,repair,deadline-first,2,1,0,0,0.996
20260926,repair,energy-aware,0,0,0,0,1.0
20260926,repair,new-trip,2,2,0,0,1.0
20260927,destroy,random,1,0,0,0,0.995
20260927,destroy,related,1,1,0,0,1.0
20260927,destroy,high-wtd,2,1,1,1,1.796
20260927,destroy,high-energy,0,0,0,0,1.0
20260927,destroy,whole-route,0,0,0,0,1.0
20260927,destroy,stop-removal,4,4,1,0,1.32
20260927,repair,cheapest-delta,2,2,1,1,1.6400000000000001
20260927,repair,regret-2,1,0,0,0,0.995
20260927,repair,deadline-first,2,1,1,0,1.3960000000000001
20260927,repair,energy-aware,0,0,0,0,1.0
20260927,repair,new-trip,3,3,0,0,1.0
20260928,destroy,random,1,1,0,0,1.0
20260928,destroy,related,0,0,0,0,1.0
20260928,destroy,high-wtd,0,0,0,0,1.0
20260928,destroy,high-energy,2,2,2,2,2.4400000000000004
20260928,destroy,whole-route,0,0,0,0,1.0
20260928,destroy,stop-removal,1,1,1,1,1.8
20260928,repair,cheapest-delta,2,2,2,2,2.4400000000000004
20260928,repair,regret-2,1,1,0,0,1.0
20260928,repair,deadline-first,0,0,0,0,1.0
20260928,repair,energy-aware,1,1,1,1,1.8
20260928,repair,new-trip,0,0,0,0,1.0
20260929,destroy,random,2,1,1,1,1.791
20260929,destroy,related,1,1,0,0,1.0
20260929,destroy,high-wtd,2,0,0,0,0.990025
20260929,destroy,high-energy,1,0,0,0,0.995
20260929,destroy,whole-route,1,1,0,0,1.0
20260929,destroy,stop-removal,2,1,1,1,1.4400000000000002
20260929,repair,cheapest-delta,2,2,0,0,1.0
20260929,repair,regret-2,2,0,0,0,0.990025
20260929,repair,deadline-first,1,1,1,1,1.8
20260929,repair,energy-aware,2,0,0,0,0.990025
20260929,repair,new-trip,2,1,1,1,1.4400000000000002
20260930,destroy,random,1,0,0,0,0.995
20260930,destroy,related,1,0,0,0,0.995
20260930,destroy,high-wtd,4,3,2,1,1.9062400000000002
20260930,destroy,high-energy,0,0,0,0,1.0
20260930,destroy,whole-route,1,1,0,0,1.0
20260930,destroy,stop-removal,2,2,1,0,1.4000000000000001
20260930,repair,cheapest-delta,2,1,1,0,1.3960000000000001
20260930,repair,regret-2,2,2,2,1,2.04
20260930,repair,deadline-first,3,1,0,0,0.99102
20260930,repair,energy-aware,1,1,0,0,1.0
20260930,repair,new-trip,1,1,0,0,1.0
20261001,destroy,random,0,0,0,0,1.0
20261001,destroy,related,0,0,0,0,1.0
20261001,destroy,high-wtd,0,0,0,0,1.0
20261001,destroy,high-energy,1,1,1,1,1.8
20261001,destroy,whole-route,0,0,0,0,1.0
20261001,destroy,stop-removal,0,0,0,0,1.0
20261001,repair,cheapest-delta,0,0,0,0,1.0
20261001,repair,regret-2,0,0,0,0,1.0
20261001,repair,deadline-first,0,0,0,0,1.0
20261001,repair,energy-aware,1,1,1,1,1.8
20261001,repair,new-trip,0,0,0,0,1.0
