seed,WTD,Cmax_s,total_energy_kwh,n_trips,total_operation_time_s
20260924,1538343.3966092768,15111.36324234035,95.35881824993719,31.0,54978.07795934852
20260924,1436094.9837173827,17761.36149600892,113.37703255723693,44.0,73299.18777228965
20260925,1054801.6773719618,14661.36580492554,95.35881824993719,31.0,54978.07795934852
20260925,491437.69967409596,12813.427822427877,107.60322797016207,41.0,69867.17788120094
20260926,1054801.6773719618,14661.36580492554,95.35881824993719,31.0,54978.07795934852
20260926,790036.4387084916,14818.997758864341,115.34629194936397,44.0,77674.23927753611
20260927,1054801.6773719618,14661.36580492554,95.35881824993719,31.0,54978.07795934852
20260927,705017.4918843816,13610.699291929717,113.99195361151621,45.0,74326.7767941532
20260928,1391310.080698698,15179.170393305343,95.35881824993719,31.0,54978.07795934852
20260928,709764.2167922497,13892.73400068497,99.46874589241105,35.0,60257.55846887084
