trip_id,box,sid,gtype,uid,battery_id,delivery_time_s
T001,S001-MED-01,S001,A,U03,BAT-A-06,976.0612128245386
T001,S001-MED-02,S001,A,U03,BAT-A-06,976.0612128245386
T001,S001-WAT-01,S001,A,U03,BAT-A-06,976.0612128245386
T002,S001-WAT-02,S001,C,U07,BAT-C-04,2506.5073810058875
T002,S001-WAT-03,S001,C,U07,BAT-C-04,2506.5073810058875
T002,S001-WAT-04,S001,C,U07,BAT-C-04,2506.5073810058875
T002,S001-WAT-06,S001,C,U07,BAT-C-04,2506.5073810058875
T002,S001-FOD-01,S001,C,U07,BAT-C-04,2506.5073810058875
T003,S001-WAT-07,S001,C,U07,BAT-C-03,1059.6073810058874
T003,S001-WAT-08,S001,C,U07,BAT-C-03,1059.6073810058874
T003,S001-FOD-02,S001,C,U07,BAT-C-03,1059.6073810058874
T003,S001-FOD-03,S001,C,U07,BAT-C-03,1059.6073810058874
T004,S002-MED-01,S002,B,U05,BAT-B-04,1219.8141474152922
T004,S002-WAT-01,S002,B,U05,BAT-B-04,1219.8141474152922
T004,S002-FOD-01,S002,B,U05,BAT-B-04,1219.8141474152922
T005,S002-WAT-02,S002,C,U08,BAT-C-02,2850.291621170175
T005,S002-WAT-03,S002,C,U08,BAT-C-02,2850.291621170175
T005,S002-WAT-04,S002,C,U08,BAT-C-02,2850.291621170175
T005,S002-FOD-02,S002,C,U08,BAT-C-02,2850.291621170175
T005,S002-HYG-01,S002,C,U08,BAT-C-02,2850.291621170175
T006,S003-MED-01,S003,B,U06,BAT-B-03,7123.272212765503
T006,S003-WAT-01,S003,B,U06,BAT-B-03,7123.272212765503
T006,S003-FOD-02,S003,B,U06,BAT-B-03,7123.272212765503
T007,S003-WAT-02,S003,C,U08,BAT-C-01,5049.64290246277
T007,S003-WAT-03,S003,C,U08,BAT-C-01,5049.64290246277
T007,S003-WAT-04,S003,C,U08,BAT-C-01,5049.64290246277
T007,S003-FOD-01,S003,C,U08,BAT-C-01,5049.64290246277
T007,S003-HYG-01,S003,C,U08,BAT-C-01,5049.64290246277
T008,S004-MED-01,S004,A,U02,BAT-A-06,5294.808857063682
T008,S004-WAT-01,S004,A,U02,BAT-A-06,5294.808857063682
T009,S004-WAT-03,S004,C,U07,BAT-C-04,6060.78597037588
T009,S004-FOD-01,S004,C,U07,BAT-C-04,6060.78597037588
T009,S004-HYG-01,S004,C,U07,BAT-C-04,6060.78597037588
