trip_id,gtype,stop_order,sid,delivery_offset_s,delivery_time_s
T001,A,1,S001,976.0612128245386,976.0612128245386
T002,C,1,S001,1125.6073810058874,2506.5073810058875
T003,C,1,S001,1059.6073810058874,1059.6073810058874
T004,B,1,S002,1219.8141474152922,1219.8141474152922
T005,C,1,S002,1420.8916211701749,2850.291621170175
T006,B,1,S003,1347.8722127655037,7123.272212765503
T007,C,1,S003,1579.1429024627696,5049.64290246277
T008,A,1,S004,1375.9088570636818,5294.808857063682
T009,C,1,S004,1457.8859703758803,6060.78597037588
T010,A,1,S005,1126.0416017118364,7056.141601711837
T011,C,1,S005,1238.0701966526722,10350.070196652672
T012,A,1,S006,935.3676265479737,935.3676265479737
T013,C,1,S006,1077.3140909030926,1077.3140909030926
T014,A,1,S007,1141.0588501953255,3333.0588501953252
T015,C,1,S007,1215.5086750048931,4043.3086750048933
T016,A,1,S008,1364.7923339166691,5125.69233391667
T017,C,1,S008,1364.8901245796246,7216.090124579625
T018,A,1,S009,1124.7328478774411,10792.03284787744
T019,B,1,S001,835.2307795451127,8690.430779545113
T019,B,2,S009,1252.9208297595123,9108.120829759511
T020,A,1,S010,1102.4952740181948,3213.395274018195
T021,B,1,S010,992.7993508063527,4903.799350806353
T021,B,2,S014,1426.136087336266,5337.136087336266
T022,A,1,S011,891.3978542191755,8508.097854219175
T023,C,1,S011,839.8296459648586,11690.729645964859
T024,A,1,S012,1335.3443079464978,1335.3443079464978
T025,B,1,S012,1182.2922198760784,2998.092219876078
T025,B,2,S013,1647.6831950532592,3463.483195053259
T026,B,1,S001,835.2307795451127,835.2307795451127
T026,B,2,S013,1283.8371051405982,1283.8371051405982
T027,B,1,S001,835.2307795451127,4375.930779545112
T027,B,2,S013,1283.8371051405982,4824.537105140598
T028,B,1,S014,1182.2500532545223,2913.550053254522
T029,B,1,S015,1217.1397644488757,7181.439764448876
