trip_id,gtype,stop_sequence,uid,battery_id,start_time_s,departure_time_s,return_time_s,charge_start_s,charge_end_s,charge_time_s,route_duration_s,total_energy_kwh,soc_after,delivery_offset_by_sid_s,wtd_contribution
T001,A,"[""S001""]",U03,BAT-A-06,0.0,390.0,1325.8757589824106,1325.8757589824106,2192.508647086876,866.6328881044653,1325.8757589824106,1.2691138434385338,0.7179747014581036,"{""S001"": 976.0612128245386}",0.0
T002,C,"[""S001""]",U07,BAT-C-04,1380.9,1830.9,2827.744762011775,2827.744762011775,4357.215759417021,1529.4709974052462,1446.844762011775,2.570354451957833,0.6787056935052709,"{""S001"": 1125.6073810058874}",0.0
T003,C,"[""S001""]",U07,BAT-C-03,0.0,420.0,1380.844762011775,1380.844762011775,2819.351561211336,1438.5067991995613,1380.844762011775,2.2344866431983808,0.7206891696002025,"{""S001"": 1059.6073810058874}",0.0
T004,B,"[""S002""]",U05,BAT-B-04,0.0,390.0,1815.7482948305842,1815.7482948305842,3656.6857157567165,1840.937420926132,1815.7482948305842,2.7098555867526124,0.3225361033118469,"{""S002"": 1219.8141474152922}",0.0
T005,C,"[""S002""]",U08,BAT-C-02,1429.4,1879.4,3470.3632423403496,3470.3632423403496,5851.112521690549,2380.7492793501992,2040.9632423403498,5.7135358006776595,0.28580802491529256,"{""S002"": 1420.8916211701749}",0.0
T006,B,"[""S003""]",U06,BAT-B-03,5775.4,6165.4,7855.19775886434,7855.19775886434,9725.56907463455,1870.3713157702093,2079.7977588643407,2.7777799594697137,0.3055550101325716,"{""S003"": 1347.8722127655037}",0.0
T007,C,"[""S003""]",U08,BAT-C-01,3470.5,3920.5,5839.865804925539,5839.865804925539,8233.354637357259,2393.48883243172,2369.365804925539,5.760574150517121,0.2799282311853599,"{""S003"": 1579.1429024627696}",0.0
T008,A,"[""S004""]",U02,BAT-A-06,3918.9,4278.9,6107.42438079403,6107.42438079403,7499.1882366729515,1391.7638558789215,2188.52438079403,3.086874885734728,0.3140278031700604,"{""S004"": 1375.9088570636818}",0.0
T009,C,"[""S004""]",U07,BAT-C-04,4602.9,5022.9,6784.731940751761,6784.731940751761,9111.877516799837,2327.1455760480762,2181.8319407517606,5.515614434639051,0.3105481956701186,"{""S004"": 1457.8859703758803}",0.0
T010,A,"[""S005""]",U01,BAT-A-04,5930.1,6290.1,7616.66987009034,7616.66987009034,8728.071601040125,1111.4017309497851,1686.5698700903392,2.116390607133871,0.5296909761924731,"{""S005"": 1126.0416017118364}",0.0
T011,C,"[""S005""]",U08,BAT-C-04,9112.0,9532.0,10850.870393305344,10850.870393305344,12707.765328648853,1856.8949353435091,1738.8703933053444,3.7793043766529575,0.5275869529183803,"{""S005"": 1238.0701966526722}",0.0
T012,A,"[""S006""]",U02,BAT-A-03,0.0,360.0,1313.2085864292808,1313.2085864292808,2191.8995403542476,878.690953924967,1313.2085864292808,1.3108533020479625,0.7086992662115639,"{""S006"": 935.3676265479737}",0.0
T013,C,"[""S006""]",U08,BAT-C-01,0.0,420.0,1429.3381818061853,1429.3381818061853,2892.7854827440206,1463.4473009378353,1429.3381818061853,2.326574649616623,0.7091781687979222,"{""S006"": 1077.3140909030926}",0.0
T014,A,"[""S007""]",U02,BAT-A-03,2192.0,2552.0,3918.8377003906508,3918.8377003906508,4968.831096995131,1049.99339660448,1726.837700390651,1.9038232959385848,0.5769281564580923,"{""S007"": 1141.0588501953255}",0.0
T015,C,"[""S007""]",U07,BAT-C-03,2827.8,3217.8,4602.897350009786,4602.897350009786,6288.992206328454,1686.0948563186673,1775.0973500097862,3.148657931022772,0.6064177586221535,"{""S007"": 1215.5086750048931}",5319.70410005872
T016,A,"[""S008""]",U01,BAT-A-01,3760.9,4120.9,5930.031334500005,5930.031334500005,7353.0896545164505,1423.0583200164454,2169.1313345000053,3.1952018769800032,0.2899551384488882,"{""S008"": 1364.7923339166691}",0.0
T017,C,"[""S008""]",U08,BAT-C-02,5851.2,6241.2,7917.300249159249,7917.300249159249,10211.379699048943,2294.0794498896935,2066.100249159249,5.393524122669637,0.32580948466629533,"{""S008"": 1364.8901245796246}",160.901245796249
T018,A,"[""S009""]",U01,BAT-A-01,9667.3,10027.3,11353.585695754882,11353.585695754882,12503.979921542648,1150.394225787766,1686.285695754882,2.2513646277268817,0.4996967493940263,"{""S009"": 1124.7328478774411}",0.0
T019,B,"[""S001"", ""S009""]",U06,BAT-B-02,7855.2,8215.2,9574.717104806257,9574.717104806257,11026.767945314867,1452.0508405086102,1719.5171048062568,1.8124250165583313,0.5468937458604172,"{""S001"": 835.2307795451127, ""S009"": 1252.9208297595123}",0.0
T020,A,"[""S010""]",U01,BAT-A-02,2110.9,2470.9,3760.8172147030564,3760.8172147030564,4824.6902884815,1063.8730737784433,1649.9172147030563,1.9518683323099966,0.5662514817088897,"{""S010"": 1102.4952740181948}",0.0
T021,B,"[""S010"", ""S014""]",U05,BAT-B-04,3911.0,4271.0,5964.2728072574555,5964.2728072574555,7525.137723388309,1560.8649161308535,2053.272807257455,2.0635344218404312,0.4841163945398922,"{""S010"": 992.7993508063527, ""S014"": 1426.136087336266}",0.0
T022,A,"[""S011""]",U01,BAT-A-01,7616.7,7976.7,8835.122375105017,8835.122375105017,9667.129256640454,832.0068815354375,1218.4223751050176,1.1492545899303606,0.7446100911265865,"{""S011"": 891.3978542191755}",0.0
T023,C,"[""S011""]",U08,BAT-C-01,10850.9,11180.9,11992.999291929716,11992.999291929716,13316.773475673803,1323.7741837440867,1142.0992919297173,1.8108585245935513,0.7736426844258061,"{""S011"": 839.8296459648586}",0.0
T024,A,"[""S012""]",U01,BAT-A-01,0.0,360.0,2110.8286158929955,2110.8286158929955,3464.862012285833,1354.0333963928374,2110.8286158929955,2.95626944905213,0.34305123354397116,"{""S012"": 1335.3443079464978}",0.0
T025,B,"[""S012"", ""S013""]",U05,BAT-B-03,1815.8,2175.8,3910.9334689787865,3910.9334689787865,5775.310083693774,1864.3766147149868,2095.1334689787864,2.7639460339576623,0.30901349151058444,"{""S012"": 1182.2922198760784, ""S013"": 1647.6831950532592}",0.0
T026,B,"[""S001"", ""S013""]",U06,BAT-B-02,0.0,360.0,1731.2873790661256,1731.2873790661256,3128.4630023068503,1397.1756232407247,1731.2873790661256,1.6857898997862877,0.578552525053428,"{""S001"": 835.2307795451127, ""S013"": 1283.8371051405982}",0.0
T027,B,"[""S001"", ""S013""]",U06,BAT-B-02,3540.7,3900.7,5271.987379066126,5271.987379066126,6738.085540635027,1466.098161568902,1731.2873790661256,1.8448419113128516,0.5387895221717871,"{""S001"": 835.2307795451127, ""S013"": 1283.8371051405982}",9311.169354541347
T028,B,"[""S014""]",U06,BAT-B-01,1731.3,2091.3,3540.686773175711,3540.686773175711,5041.055945342727,1500.3691721670154,1809.3867731757114,1.9239288588469585,0.5190177852882604,"{""S014"": 1182.2500532545223}",0.0
T029,B,"[""S015""]",U05,BAT-B-01,5964.3,6354.3,7791.699528897751,7791.699528897751,9457.173576705956,1665.4740478082053,1827.3995288977512,2.304940110326628,0.423764972418343,"{""S015"": 1217.1397644488757}",0.0
