trip_id,uid,gtype,start_time_s,departure_time_s,return_time_s
T001,U04,A,0.0,390.0,1325.8757589824106
T002,U07,C,2819.5,3269.5,4266.344762011775
T003,U07,C,0.0,420.0,1380.844762011775
T004,U04,A,2192.6,2552.6,4195.048926277488
T005,U07,C,6912.5,7362.5,8953.46324234035
T006,U03,A,4824.8,5154.8,7026.522347913109
T007,U07,C,4274.0,4724.0,6643.365804925539
T008,U02,A,3760.9,4120.9,5949.42438079403
T009,U08,C,2652.4,3012.4,4702.231940751761
T010,U02,A,8367.2,8727.2,10053.76987009034
T011,U08,C,4702.3,5122.3,6441.170393305345
T012,U03,A,2582.9,2942.9,3896.108586429281
T013,U07,C,1380.9,1800.9,2810.2381818061854
T014,U03,A,0.0,360.0,1726.837700390651
T015,U08,C,8507.4,8897.4,10282.497350009786
T016,U01,A,4774.9,5134.9,6944.031334500005
T017,U08,C,6441.2,6831.2,8507.300249159249
T018,U01,A,7783.6,8143.6,9469.885695754881
T019,U08,C,1142.1,1472.1,2652.3634517861974
T020,U02,A,2110.9,2470.9,3760.8172147030564
T021,U07,C,9036.9,9366.9,10567.73400068497
T022,U01,A,9469.9,9829.9,10688.322375105017
T023,U08,C,0.0,330.0,1142.0992919297173
T024,U02,A,0.0,360.0,2110.8286158929955
T025,U07,C,10801.5,11131.5,12712.748925022339
T026,U01,A,0.0,330.0,1551.4823494459802
T027,U08,C,11334.3,11664.3,12813.427822427877
T028,U01,A,1551.5,1881.5,3481.447757648025
T029,U04,A,4602.7,4962.7,6570.193017486121
T030,U05,B,9077.7,9407.7,10949.461496008922
T031,U05,B,1959.8,2289.8,3349.767214517721
T032,U06,B,6562.9,6892.9,7667.114892423559
T033,U06,B,3709.2,4039.2,4813.414892423559
T034,U06,B,9363.0,9693.0,11234.761496008921
T035,U06,B,1959.8,2289.8,3709.186773175711
T036,U05,B,0.0,330.0,1959.797758864341
T037,U06,B,0.0,330.0,1959.797758864341
T038,U06,B,4813.5,5143.5,6562.886773175711
T039,U06,B,7667.2,7997.2,9362.948294830585
T040,U05,B,5185.4,5515.4,6289.614892423559
T041,U05,B,7370.3,7700.3,9077.699528897752
