rank,solution_id,stage,operator,WTD,joint_Cmax_s,total_energy_kwh,transport_n_trips,relay_sorties
1,C2A-BASE,C2-A,baseline_wave_repair,2919779.443347478,24147.775014499995,78.36614435853768,25,6
2,C2A-SINGLE-T003-C,C2-A,single_type_adjustment_T003_C,2919779.443347478,24147.775014499995,78.36614435853768,25,6
3,C2A-SINGLE-T005-C,C2-A,single_type_adjustment_T005_C,2919779.443347478,24147.775014499995,78.36614435853768,25,6
4,C2A-SINGLE-T009-C,C2-A,single_type_adjustment_T009_C,2919779.443347478,24147.775014499995,78.36614435853768,25,6
5,C2A-SINGLE-T023-B,C2-A,single_type_adjustment_T023_B,2919779.443347478,24147.775014499995,78.36614435853768,25,6
6,C2A-SINGLE-T014-C,C2-A,single_type_adjustment_T014_C,2919779.443347478,24147.775014499995,79.49768242020434,25,6
7,C2A-SINGLE-T015-C,C2-A,single_type_adjustment_T015_C,2919779.443347478,24147.775014499995,80.7571493233229,25,6
8,C2A-SINGLE-T016-C,C2-A,single_type_adjustment_T016_C,2937216.165255878,24147.775014499995,79.78916161431938,25,6
9,C2B-COMB-03,C2-B,combination_T023-B+T016-C,2937216.165255878,24147.775014499995,79.78916161431938,25,6
10,C2B-COMB-02,C2-B,combination_T015-C+T016-C,2937216.165255878,24147.775014499995,82.18016657910461,25,6
