candidate_id,coverable_demand_count,total_contiguous_windows,physics_feasible_options,physics_rejected_options,energy_rejected_options,arrival_rejected_options
P0001,0,0,0,0,0,0
P0002,0,0,0,0,0,0
P0003,0,0,0,0,0,0
P0004,0,0,0,0,0,0
P0005,0,0,0,0,0,0
P0006,0,0,0,0,0,0
P0007,1,1,1,0,0,0
P0008,1,1,1,0,0,0
P0009,5,15,15,0,0,0
P0010,3,6,6,0,0,0
P0011,3,6,6,0,0,0
P0012,5,15,15,0,0,0
P0013,0,0,0,0,0,0
P0014,0,0,0,0,0,0
P0015,0,0,0,0,0,0
P0016,0,0,0,0,0,0
P0017,0,0,0,0,0,0
P0018,0,0,0,0,0,0
P0019,1,1,1,0,0,0
P0020,1,1,1,0,0,0
P0021,5,15,15,0,0,0
P0022,3,6,6,0,0,0
P0023,3,6,6,0,0,0
P0024,7,28,28,0,0,0
P0025,3,6,6,0,0,0
P0026,6,21,21,0,0,0
P0027,11,66,66,0,0,0
P0028,9,45,45,0,0,0
P0029,9,45,45,0,0,0
P0030,6,21,21,0,0,0
P0031,0,0,0,0,0,0
P0032,0,0,0,0,0,0
P0033,0,0,0,0,0,0
P0034,0,0,0,0,0,0
P0035,0,0,0,0,0,0
P0036,1,1,1,0,0,0
P0037,2,3,2,1,1,0
P0038,2,3,2,1,1,0
P0039,3,6,5,1,1,0
P0040,1,1,1,0,0,0
P0041,2,3,2,1,1,0
P0042,5,15,14,1,1,0
P0043,3,6,6,0,0,0
P0044,4,10,9,1,1,0
P0045,8,36,34,2,2,0
P0046,0,0,0,0,0,0
P0047,2,3,3,0,0,0
P0048,4,10,10,0,0,0
P0049,6,21,15,6,0,6
P0050,0,0,0,0,0,0
P0051,0,0,0,0,0,0
P0052,0,0,0,0,0,0
P0053,0,0,0,0,0,0
P0054,0,0,0,0,0,0
P0055,2,3,2,1,1,0
P0056,0,0,0,0,0,0
P0057,2,3,2,1,1,0
P0058,2,3,2,1,1,0
P0059,1,1,1,0,0,0
P0060,2,3,2,1,1,0
P0061,4,10,9,1,1,0
P0062,3,6,6,0,0,0
P0063,3,6,6,0,0,0
P0064,6,21,19,2,2,0
P0065,2,3,3,0,0,0
P0066,3,6,6,0,0,0
P0067,6,21,19,2,2,0
P0068,10,55,45,10,0,10
P0069,10,55,45,10,0,10
P0070,0,0,0,0,0,0
P0071,0,0,0,0,0,0
P0072,2,3,3,0,0,0
P0073,0,0,0,0,0,0
P0074,2,3,3,0,0,0
P0075,5,15,14,1,1,0
P0076,0,0,0,0,0,0
P0077,3,6,6,0,0,0
P0078,4,10,9,1,1,0
P0079,1,1,1,0,0,0
P0080,2,3,2,1,1,0
P0081,4,10,9,1,1,0
P0082,4,10,9,1,1,0
P0083,4,10,9,1,1,0
P0084,4,10,9,1,1,0
P0085,6,21,19,2,2,0
P0086,6,21,19,2,2,0
P0087,6,21,19,2,2,0
P0088,9,45,28,17,0,17
P0089,8,36,28,8,0,8
P0090,2,3,3,0,0,0
P0091,2,3,3,0,0,0
P0092,2,3,3,0,0,0
P0093,0,0,0,0,0,0
P0094,3,6,5,1,1,0
P0095,3,6,5,1,1,0
P0096,1,1,1,0,0,0
P0097,2,3,3,0,0,0
P0098,5,15,14,1,1,0
P0099,1,1,1,0,0,0
P0100,2,3,2,1,1,0
P0101,2,3,2,1,1,0
P0102,2,3,2,1,1,0
P0103,2,3,2,1,1,0
P0104,3,6,4,2,2,0
P0105,3,6,5,1,1,0
P0106,4,10,8,2,2,0
P0107,7,28,24,4,4,0
P0108,1,1,1,0,0,0
P0109,1,1,1,0,0,0
P0110,1,1,1,0,0,0
P0111,2,3,3,0,0,0
P0112,2,3,3,0,0,0
P0113,5,15,13,2,2,0
P0114,3,6,6,0,0,0
P0115,3,6,6,0,0,0
P0116,4,10,8,2,2,0
P0117,2,3,3,0,0,0
P0118,2,3,3,0,0,0
P0119,4,10,8,2,2,0
P0120,1,1,1,0,0,0
P0121,2,3,3,0,0,0
P0122,4,10,10,0,0,0
P0123,10,55,28,27,0,27
P0124,1,1,1,0,0,0
P0125,1,1,1,0,0,0
P0126,1,1,1,0,0,0
P0127,1,1,1,0,0,0
P0128,1,1,1,0,0,0
P0129,1,1,1,0,0,0
P0130,4,10,10,0,0,0
P0131,4,10,10,0,0,0
P0132,5,15,6,9,0,9
P0133,1,1,1,0,0,0
P0134,3,6,6,0,0,0
P0135,4,10,3,7,0,7
