option_id,candidate_id,covered_demand_ids,service_start_s,service_end_s,launch_start_s,relay_ready_s,return_end_s,resource_end_s,charge_start_s,charge_end_s,energy_kwh,soc_after
SO-00001,P0007,"[""D-T014-01""]",2131.391058349609,2556.8499085449344,1411.10897263053,2131.391058349609,3096.512913148291,3396.512913148291,3396.512913148291,4059.4013906934974,0.40095625241897004,0.8747011711190719
SO-00002,P0008,"[""D-T014-01""]",2131.391058349609,2556.8499085449344,1441.10897263053,2131.391058349609,3074.012913148291,3374.012913148291,3374.012913148291,4033.6528012837753,0.3929597246411922,0.8772000860496274
SO-00003,P0009,"[""D-T014-01""]",2131.391058349609,2556.8499085449344,1441.072776239742,2131.391058349609,3086.5491095390785,3386.5491095390785,3386.5491095390785,4046.966950856374,0.39487468631949707,0.8766016605251572
SO-00004,P0009,"[""D-T025-01""]",3812.691058349609,4650.540049007688,3122.372776239742,3812.691058349609,5180.239250001832,5480.239250001832,5480.239250001832,6191.847881324487,0.5208827847942274,0.8372241297518039
SO-00005,P0009,"[""D-T025-01"", ""D-T007-01""]",3812.691058349609,5233.779741859949,3122.372776239742,3812.691058349609,5763.4789428540935,6063.4789428540935,6063.4789428540935,6847.48625132768,0.6990949131657516,0.7815328396357026
SO-00006,P0009,"[""D-T025-01"", ""D-T007-01"", ""D-T024-01""]",3812.691058349609,6188.419593866759,3122.372776239742,3812.691058349609,6718.118794860903,7018.118794860903,7018.118794860903,7920.627404408252,0.9907904235011656,0.6903779926558857
SO-00007,P0009,"[""D-T007-01""]",3953.5092700195314,5233.779741859949,3263.1909879096647,3953.5092700195314,5763.4789428540935,6063.4789428540935,6063.4789428540935,6830.006212899903,0.6560671262666087,0.7949790230416848
SO-00008,P0009,"[""D-T007-01"", ""D-T024-01""]",3953.5092700195314,6188.419593866759,3263.1909879096647,3953.5092700195314,6718.118794860903,7018.118794860903,7018.118794860903,7903.147365980475,0.9477626366020229,0.7038241760618679
SO-00009,P0009,"[""D-T007-01"", ""D-T024-01"", ""D-T006-01""]",3953.5092700195314,6890.898709755457,3263.1909879096647,3953.5092700195314,7420.597910749601,7720.597910749601,7720.597910749601,8692.82658045605,1.1624090331235695,0.6367471771488846
SO-00010,P0009,"[""D-T024-01""]",5562.833085123698,6188.419593866759,4872.514803013831,5562.833085123698,6718.118794860903,7018.118794860903,7018.118794860903,7703.378871570843,0.45602480420908303,0.8574922486846616
SO-00011,P0009,"[""D-T024-01"", ""D-T006-01""]",5562.833085123698,6890.898709755457,4872.514803013831,5562.833085123698,7420.597910749601,7720.597910749601,7720.597910749601,8493.05808604642,0.6706712007306297,0.7904152497716782
SO-00012,P0009,"[""D-T006-01""]",5874.491058349609,6890.898709755457,5184.172776239742,5874.491058349609,7420.597910749601,7720.597910749601,7720.597910749601,8454.371375828272,0.5754423755782678,0.8201742576317913
SO-00013,P0010,"[""D-T014-01""]",2131.391058349609,2556.8499085449344,1370.4920769084806,2131.391058349609,3127.401087251688,3427.401087251688,3427.401087251688,4099.586436272392,0.4238408591278888,0.8675497315225348
SO-00014,P0010,"[""D-T007-01""]",3953.5092700195314,5233.779741859949,3192.610288578403,3953.5092700195314,5804.330920566703,6104.330920566703,6104.330920566703,6882.625698315922,0.6850332990750004,0.7859270940390624
