trip_id,box,sid,gtype,uid,battery_id,delivery_time_s
T001,S001-MED-01,S001,A,U01,BAT-A-01,976.0612128245386
T001,S001-MED-02,S001,A,U01,BAT-A-01,976.0612128245386
T001,S001-WAT-01,S001,A,U01,BAT-A-01,976.0612128245386
T002,S001-WAT-02,S001,C,U07,BAT-C-01,9191.607381005888
T002,S001-WAT-03,S001,C,U07,BAT-C-01,9191.607381005888
T002,S001-WAT-04,S001,C,U07,BAT-C-01,9191.607381005888
T002,S001-WAT-05,S001,C,U07,BAT-C-01,9191.607381005888
T002,S001-WAT-06,S001,C,U07,BAT-C-01,9191.607381005888
T002,S001-FOD-01,S001,C,U07,BAT-C-01,9191.607381005888
T003,S001-WAT-07,S001,C,U08,BAT-C-04,14191.607381005888
T003,S001-WAT-08,S001,C,U08,BAT-C-04,14191.607381005888
T003,S001-FOD-02,S001,C,U08,BAT-C-04,14191.607381005888
T003,S001-FOD-03,S001,C,U08,BAT-C-04,14191.607381005888
T003,S001-HYG-01,S001,C,U08,BAT-C-04,14191.607381005888
T003,S001-HYG-02,S001,C,U08,BAT-C-04,14191.607381005888
T004,S002-MED-01,S002,A,U03,BAT-A-03,2683.164463138744
T004,S002-WAT-01,S002,A,U03,BAT-A-03,2683.164463138744
T005,S002-WAT-02,S002,C,U07,BAT-C-01,17486.891621170176
T005,S002-WAT-03,S002,C,U07,BAT-C-01,17486.891621170176
T005,S002-WAT-04,S002,C,U07,BAT-C-01,17486.891621170176
T005,S002-FOD-01,S002,C,U07,BAT-C-01,17486.891621170176
T005,S002-FOD-02,S002,C,U07,BAT-C-01,17486.891621170176
T005,S002-HYG-01,S002,C,U07,BAT-C-01,17486.891621170176
T006,S007-FOD-01,S007,B,U05,BAT-B-02,6065.543145830088
T006,S003-MED-01,S003,B,U05,BAT-B-02,6504.063997027592
T006,S003-WAT-01,S003,B,U05,BAT-B-02,6504.063997027592
T007,S007-HYG-01,S007,C,U07,BAT-C-03,11693.508675004894
T007,S003-WAT-02,S003,C,U07,BAT-C-03,12328.65808658651
T007,S003-WAT-03,S003,C,U07,BAT-C-03,12328.65808658651
T007,S003-WAT-04,S003,C,U07,BAT-C-03,12328.65808658651
T007,S003-FOD-01,S003,C,U07,BAT-C-03,12328.65808658651
T007,S003-FOD-02,S003,C,U07,BAT-C-03,12328.65808658651
T007,S003-HYG-01,S003,C,U07,BAT-C-03,12328.65808658651
T008,S004-MED-01,S004,A,U02,BAT-A-05,5175.908857063681
T008,S004-WAT-01,S004,A,U02,BAT-A-05,5175.908857063681
T009,S004-WAT-02,S004,C,U08,BAT-C-02,20457.88597037588
T009,S004-WAT-03,S004,C,U08,BAT-C-02,20457.88597037588
T009,S004-FOD-01,S004,C,U08,BAT-C-02,20457.88597037588
T009,S004-HYG-01,S004,C,U08,BAT-C-02,20457.88597037588
T010,S005-MED-01,S005,A,U03,BAT-A-02,7126.041601711837
T010,S005-WAT-01,S005,A,U03,BAT-A-02,7126.041601711837
T011,S005-WAT-02,S005,C,U07,BAT-C-03,23238.070196652672
T011,S005-WAT-03,S005,C,U07,BAT-C-03,23238.070196652672
T011,S005-FOD-01,S005,C,U07,BAT-C-03,23238.070196652672
T011,S005-HYG-01,S005,C,U07,BAT-C-03,23238.070196652672
T012,S006-MED-01,S006,A,U02,BAT-A-02,935.3676265479737
T012,S006-WAT-01,S006,A,U02,BAT-A-02,935.3676265479737
T013,S006-WAT-02,S006,C,U08,BAT-C-02,10077.314090903092
T013,S006-WAT-03,S006,C,U08,BAT-C-02,10077.314090903092
T013,S006-FOD-01,S006,C,U08,BAT-C-02,10077.314090903092
T013,S006-HYG-01,S006,C,U08,BAT-C-02,10077.314090903092
T014,S007-MED-01,S007,A,U04,BAT-A-04,2741.0588501953252
T014,S007-WAT-01,S007,A,U04,BAT-A-04,2741.0588501953252
T015,S008-MED-01,S008,B,U06,BAT-B-01,5590.341902533726
T015,S008-WAT-01,S008,B,U06,BAT-B-01,5590.341902533726
T015,S008-FOD-01,S008,B,U06,BAT-B-01,5590.341902533726
T016,S009-MED-01,S009,A,U02,BAT-A-03,9124.732847877442
T016,S009-WAT-01,S009,A,U02,BAT-A-03,9124.732847877442
T017,S009-FOD-01,S009,B,U05,BAT-B-04,16999.776275046745
T017,S008-HYG-01,S008,B,U05,BAT-B-04,17614.020067522706
T018,S010-MED-01,S010,B,U05,BAT-B-01,1682.7993508063528
T018,S010-WAT-01,S010,B,U05,BAT-B-01,1682.7993508063528
T018,S010-FOD-01,S010,B,U05,BAT-B-01,1682.7993508063528
T019,S011-MED-01,S011,A,U01,BAT-A-06,5891.397854219175
T019,S011-WAT-01,S011,A,U01,BAT-A-06,5891.397854219175
T020,S011-FOD-01,S011,B,U06,BAT-B-03,14814.661474374689
T020,S008-WAT-02,S008,B,U06,BAT-B-03,15473.014504741937
T021,S012-MED-01,S012,B,U05,BAT-B-04,3599.2922198760784
T021,S012-WAT-01,S012,B,U05,BAT-B-04,3599.2922198760784
T021,S012-FOD-01,S012,B,U05,BAT-B-04,3599.2922198760784
T022,S013-MED-01,S013,B,U06,BAT-B-02,1662.516940592194
T022,S013-WAT-01,S013,B,U06,BAT-B-02,1662.516940592194
T022,S013-FOD-01,S013,B,U06,BAT-B-02,1662.516940592194
T023,S014-MED-01,S014,B,U06,BAT-B-03,3392.2500532545223
T023,S014-WAT-01,S014,B,U06,BAT-B-03,3392.2500532545223
T023,S014-FOD-01,S014,B,U06,BAT-B-03,3392.2500532545223
T024,S015-MED-01,S015,A,U04,BAT-A-01,7197.186508743061
T024,S015-WAT-01,S015,A,U04,BAT-A-01,7197.186508743061
T025,S007-WAT-02,S007,B,U06,BAT-B-01,19035.543145830088
T025,S015-FOD-01,S015,B,U06,BAT-B-01,19421.50696388399
