trip_id,dt_s,n_samples,direct_coverage_ratio,relay_needed_duration_s,outage_duration_s,n_outage_intervals,communication_feasible_without_relay
Q2BASE-01,5.0,190,1.0,0,0.0,0,True
Q2BASE-01,2.0,473,1.0,0,0.0,0,True
Q2BASE-01,1.0,941,1.0,0,0.0,0,True
Q2BASE-02,5.0,374,0.446524064171123,1020.4076514058476,1020.4076514058476,1,False
Q2BASE-02,2.0,929,0.4477933261571582,1018.4076514058476,1018.4076514058476,1,False
Q2BASE-02,1.0,1853,0.44846195358877494,1017.4076514058476,1017.4076514058476,1,False
Q2BASE-03,5.0,442,0.4095022624434389,1284.270471840418,1284.270471840418,1,False
Q2BASE-03,2.0,1094,0.4113345521023766,1282.270471840418,1282.270471840418,1,False
Q2BASE-03,1.0,2185,0.41189931350114417,1281.270471840418,1281.270471840418,1,False
Q2BASE-04,5.0,389,0.37017994858611825,1213.0822765884627,1213.0822765884627,1,False
Q2BASE-04,2.0,968,0.37086776859504134,1211.0822765884627,1211.0822765884627,1,False
Q2BASE-04,1.0,1930,0.3704663212435233,1211.0822765884627,1211.0822765884627,1,False
