候选编号,服务区编号,机型编号,货箱列表,箱数,总质量_kg,总体积_m3,往返能耗_kWh,累计作业时间_s,质量上限_kg,体积上限_m3,首批箱数,优先级总分
0,S001,A,S001-MED-01,1,3.0,0.012,1.1769138990181305,1208.1392753432838,25.0,0.06,1,24.0
1,S001,B,S001-MED-01,1,3.0,0.012,0.945900897394533,1106.0257055122574,30.0,0.073,1,24.0
2,S001,C,S001-MED-01,1,3.0,0.012,1.9582416316657505,1184.6555751004735,80.0,0.25,1,24.0
3,S001,A,S001-MED-01|S001-WAT-01,2,17.0,0.039,1.2502020680401666,1268.1392753432838,25.0,0.06,2,36.0
4,S001,B,S001-MED-01|S001-WAT-01,2,17.0,0.039,1.0460521626009203,1166.0257055122574,30.0,0.073,2,36.0
5,S001,C,S001-MED-01|S001-WAT-01,2,17.0,0.039,2.0152875119404836,1250.6555751004735,80.0,0.25,2,36.0
6,S001,A,S001-MED-01|S001-WAT-01|S001-MED-02,3,20.0,0.051000000000000004,1.2744113078287553,1328.1392753432838,25.0,0.06,2,60.0
7,S001,B,S001-MED-01|S001-WAT-01|S001-MED-02,3,20.0,0.051000000000000004,1.0830732160254333,1226.0257055122574,30.0,0.073,2,60.0
8,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02,3,20.0,0.051000000000000004,2.0325925633799073,1316.6555751004735,80.0,0.25,2,60.0
9,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02,4,34.0,0.078,2.13811272192632,1382.6555751004735,80.0,0.25,2,72.0
10,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03,5,48.0,0.105,2.2957117349510248,1448.6555751004735,80.0,0.25,2,84.0
11,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04,6,62.0,0.132,2.536719201172764,1514.6555751004735,80.0,0.25,2,96.0
12,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-05,7,76.0,0.159,2.9348794824245474,1580.6555751004735,80.0,0.25,2,108.0
