返航余量,机型编号,服务区编号,最大安全载荷_kg,质量上限_kg,能量上限_kWh,qmax对应往返能耗_kWh,往返飞行时间_s,限制因素
0.2,A,S001,25.0,25.0,3.6,1.3231236417233758,698.1392753432838,质量上限
0.2,A,S002,25.0,25.0,3.6,3.100243212467143,1438.1571437611522,质量上限
0.2,A,S003,25.0,25.0,3.6,3.1557537630071693,1692.2769928282455,质量上限
0.2,A,S004,25.0,25.0,3.6,3.2841113429470754,1625.6519139938182,质量上限
0.2,A,S005,25.0,25.0,3.6,2.2516524105051587,1121.4899650200268,质量上限
0.2,A,S006,25.0,25.0,3.6,1.3875214581217326,742.6149834599574,质量上限
0.2,A,S007,25.0,25.0,3.6,2.0174866991697793,1157.3175960060048,质量上限
0.2,A,S008,25.0,25.0,3.6,3.3994047462417294,1606.2040179476103,质量上限
0.2,A,S009,25.0,25.0,3.6,2.39343101306826,1120.4987155683764,质量上限
0.2,A,S010,25.0,25.0,3.6,2.066202572624765,1079.363532812597,质量上限
0.2,A,S011,25.0,25.0,3.6,1.2219464471165122,650.5832156503662,质量上限
0.2,A,S012,25.0,25.0,3.6,3.1355448348139445,1543.3809588767704,质量上限
0.2,A,S013,25.0,25.0,3.6,2.0738015966934094,1042.0233919046514,质量上限
0.2,A,S014,25.0,25.0,3.6,2.4219370019761683,1418.9611053702408,质量上限
0.2,A,S015,25.0,25.0,3.6,2.6230015535909765,1400.2098469768193,质量上限
0.2,B,S001,30.0,30.0,3.2,1.2840396174199462,596.0257055122573,质量上限
0.2,B,S002,30.0,30.0,3.2,3.008261246998943,1190.3148688175154,质量上限
0.2,B,S003,30.0,30.0,3.2,3.06336226833235,1450.2414747964503,质量上限
0.2,B,S004,30.0,30.0,3.2,3.186693707386918,1367.4635225687525,质量上限
0.2,B,S005,30.0,30.0,3.2,2.1848416061649996,944.7562047634173,质量上限
0.2,B,S006,30.0,30.0,3.2,1.3479249276253424,636.5806863122368,质量上限
0.2,B,S007,30.0,30.0,3.2,1.9593428013634226,1006.1902081524602,质量上限
0.2,B,S008,28.63362928890164,30.0,3.2,3.2,1335.888618492203,返航安全能量上限
0.2,B,S009,30.0,30.0,3.2,2.3227594692765274,929.7429659442844,质量上限
0.2,B,S010,30.0,30.0,3.2,2.006647945326335,920.0824227670047,质量上限
0.2,B,S011,30.0,30.0,3.2,1.1862022656842752,556.6782878523243,质量上限
0.2,B,S012,30.0,30.0,3.2,3.0431446638923942,1296.7663141391768,质量上限
0.2,B,S013,30.0,30.0,3.2,2.014026909953532,880.4000484846586,质量上限
0.2,B,S014,30.0,30.0,3.2,2.3516781526833643,1238.5974513534843,质量上限
0.2,B,S015,30.0,30.0,3.2,2.5480730373869243,1199.5729924903098,质量上限
0.2,C,S001,80.0,80.0,6.4,3.0996533080482007,638.6555751004735,质量上限
0.2,C,S002,68.55217730748696,80.0,6.4,6.4,1235.529816327281,返航安全能量上限
0.2,C,S003,68.23862860852454,80.0,6.4,6.4,1559.8095208576483,返航安全能量上限
0.2,C,S004,63.15304863420328,80.0,6.4,6.400000000000015,1443.5339673115911,返航安全能量上限
0.2,C,S005,80.0,80.0,6.4,5.310994662249125,998.8064692490943,质量上限
0.2,C,S006,80.0,80.0,6.4,3.2481335303041092,684.8632994307266,质量上限
0.2,C,S007,80.0,80.0,6.4,4.678560298017442,1097.4812665020695,质量上限
0.2,C,S008,58.438003413633844,80.0,6.4,6.400000000000011,1393.758395917333,返航安全能量上限
0.2,C,S009,80.0,80.0,6.4,5.685874470178949,967.6338676369926,质量上限
0.2,C,S010,80.0,80.0,6.4,4.850098760857013,984.3910551726037,质量上限
0.2,C,S011,80.0,80.0,6.4,2.8602678063468168,597.8279643659962,质量上限
0.2,C,S012,67.99211128222288,80.0,6.4,6.3999999999999995,1367.290799409359,返航安全能量上限
0.2,C,S013,80.0,80.0,6.4,4.890786007051431,933.5606563948148,质量上限
0.2,C,S014,80.0,80.0,6.4,5.598959427268229,1356.1299139185885,质量上限
0.2,C,S015,80.0,80.0,6.4,6.142178012450937,1289.8060776140076,质量上限
