批次编号,候选编号,服务区编号,机型编号,货箱列表,箱数,总质量_kg,总体积_m3,往返能耗_kWh,累计作业时间_s,质量上限_kg,体积上限_m3,首批箱数,优先级总分
S001-B01,1357,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,9,70.0,0.232,2.736852121903949,1712.6555751004735,80.0,0.25,2,118.0
S001-B02,15693,S001,C,S001-WAT-02|S001-WAT-04|S001-WAT-05|S001-WAT-07|S001-WAT-08,5,70.0,0.135,2.736852121903949,1448.6555751004735,80.0,0.25,0,60.0
S001-B03,16466,S001,B,S001-WAT-03,1,14.0,0.027,1.015631395420148,1106.0257055122574,30.0,0.073,0,12.0
S002-B04,18446,S002,B,S002-MED-01|S002-WAT-03|S002-FOD-01,3,25.0,0.067,2.7220079020752035,1820.3148688175154,30.0,0.073,1,46.0
S002-B05,18504,S002,C,S002-WAT-01|S002-WAT-02|S002-WAT-04|S002-FOD-02|S002-HYG-01,5,56.0,0.14400000000000002,5.739466361600769,2045.529816327281,68.55217730748696,0.25,1,54.0
S003-B06,18742,S003,B,S003-MED-01|S003-WAT-02|S003-FOD-01,3,25.0,0.067,2.778960751883476,2080.2414747964503,30.0,0.073,1,38.0
S003-B07,18837,S003,C,S003-WAT-01|S003-WAT-03|S003-WAT-04|S003-FOD-02|S003-HYG-01,5,56.0,0.14400000000000002,5.7630937205586985,2369.8095208576483,68.23862860852454,0.25,1,44.0
S004-B08,18973,S004,C,S004-MED-01|S004-WAT-01|S004-WAT-02|S004-WAT-03|S004-FOD-01|S004-HYG-01,6,59.0,0.156,6.182722541785859,2319.5339673115914,63.15304863420328,0.25,2,64.0
S005-B09,19074,S005,C,S005-MED-01|S005-WAT-01|S005-WAT-02|S005-WAT-03|S005-FOD-01|S005-HYG-01,6,59.0,0.156,4.236452778863122,1874.8064692490943,80.0,0.25,2,50.0
S006-B10,19175,S006,C,S006-MED-01|S006-WAT-01|S006-WAT-02|S006-WAT-03|S006-FOD-01|S006-HYG-01,6,59.0,0.156,2.593843492149502,1560.8632994307266,80.0,0.25,2,78.0
S007-B11,19275,S007,C,S007-MED-01|S007-WAT-01|S007-WAT-02|S007-FOD-01|S007-HYG-01,5,45.0,0.129,3.410228977611351,1907.4812665020695,80.0,0.25,2,66.0
S008-B12,19334,S008,C,S008-MED-01|S008-WAT-01|S008-WAT-02|S008-FOD-01|S008-HYG-01,5,45.0,0.129,5.8573529940718405,2203.758395917333,58.438003413633844,0.25,2,54.0
S009-B13,19391,S009,B,S009-MED-01|S009-WAT-01|S009-FOD-01,3,25.0,0.067,2.101965646795054,1559.7429659442844,30.0,0.073,2,30.0
S010-B14,19411,S010,B,S010-MED-01|S010-WAT-01|S010-FOD-01,3,25.0,0.067,1.8191233084846394,1550.0824227670046,30.0,0.073,2,46.0
S011-B15,19431,S011,B,S011-MED-01|S011-WAT-01|S011-FOD-01,3,25.0,0.067,1.07591263328871,1186.6782878523243,30.0,0.073,2,30.0
S012-B16,19451,S012,B,S012-MED-01|S012-WAT-01|S012-FOD-01,3,25.0,0.067,2.7562868659572217,1926.7663141391768,30.0,0.073,2,44.0
S013-B17,19471,S013,B,S013-MED-01|S013-WAT-01|S013-FOD-01,3,25.0,0.067,1.824460762156876,1510.4000484846586,30.0,0.073,2,46.0
S014-B18,19491,S014,B,S014-MED-01|S014-WAT-01|S014-FOD-01,3,25.0,0.067,2.1370826883983343,1868.5974513534843,30.0,0.073,2,44.0
S015-B19,19511,S015,B,S015-MED-01|S015-WAT-01|S015-FOD-01,3,25.0,0.067,2.310724011998763,1829.5729924903098,30.0,0.073,2,32.0
