返航余量,机型编号,平均最大安全载荷_kg,最小最大安全载荷_kg,能量受限服务区数,场景是否可行,最少架次,平衡方案架次数,平衡方案总能耗_kWh,平衡方案累计作业时间_s
0.1,A,25.0,25.0,0,True,18.0,19.0,59.79902107690747,33881.51641795416
0.1,B,30.0,30.0,0,True,18.0,19.0,59.79902107690747,33881.51641795416
0.1,C,78.68205828456172,71.11009277667222,5,True,18.0,19.0,59.79902107690747,33881.51641795416
0.15,A,25.0,25.0,0,True,18.0,19.0,59.79902107690747,33881.51641795416
0.15,B,30.0,30.0,0,True,18.0,19.0,59.79902107690747,33881.51641795416
0.15,C,77.0844239396925,65.51705188546495,5,True,18.0,19.0,59.79902107690747,33881.51641795416
0.2,A,25.0,25.0,0,True,18.0,19.0,59.79902107690747,33881.51641795416
0.2,B,29.90890861926011,28.63362928890164,1,True,18.0,19.0,59.79902107690747,33881.51641795416
0.2,C,75.0915979497381,58.438003413633844,5,True,18.0,19.0,59.79902107690747,33881.51641795416
0.3,A,23.845222135919062,13.521647536872168,3,True,20.0,21.0,67.92024972675704,37711.651552586074
0.3,B,28.11675162194339,20.733706296889217,5,True,20.0,21.0,67.92024972675704,37711.651552586074
0.3,C,68.50522770933334,36.0046148876741,7,True,20.0,21.0,67.92024972675704,37711.651552586074
0.4,A,16.666666666666668,0.0,0,False,,,,
0.4,B,23.146268480785555,0.0,5,False,,,,
0.4,C,52.7094798188079,0.0,9,False,,,,
