服务区编号,水平距离_m,路径最高地面高程_m,巡航海拔_m,去程爬升_m,去程下降_m,返程爬升_m,返程下降_m
S001,3063.407094930797,233.73960876464844,283.73960876464844,156.03960876464845,99.73960876464844,99.73960876464844,156.03960876464845
S002,7435.2682483091,259.2448425292969,309.2448425292969,181.5448425292969,89.74484252929688,89.74484252929688,181.5448425292969
S003,7261.065540953848,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,223.30413818359375,434.10413818359376
S004,7745.651742751971,356.2113342285156,406.2113342285156,278.51133422851564,177.9113342285156,177.9113342285156,278.51133422851564
S005,5302.0128076982855,273.50079345703125,323.50079345703125,195.80079345703126,128.50079345703125,128.50079345703125,195.80079345703126
S006,3181.0289144316203,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,51.29783935546874,238.39783935546876
S007,4533.821635606341,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,163.47317504882812,384.27317504882814
S008,8109.461983662224,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,102.00933227539065,245.20933227539064
S009,5722.672488722757,242.522705078125,292.522705078125,164.822705078125,62.522705078125,62.522705078125,164.822705078125
S010,4778.43330136777,382.5758972167969,432.5758972167969,304.8758972167969,80.97589721679685,80.97589721679685,304.8758972167969
S011,2817.14783394126,243.34902954101562,293.3490295410156,165.64902954101564,81.24902954101563,81.24902954101563,165.64902954101564
S012,7398.43934212781,365.3234558105469,415.3234558105469,287.6234558105469,135.52345581054686,135.52345581054686,287.6234558105469
S013,4848.700302599784,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,47.48182373046876,271.48182373046876
S014,5410.909620502694,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,240.9473876953125,464.2473876953125
S015,6019.105634595291,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,97.29925537109375,444.09925537109376
