候选编号,服务区编号,机型编号,货箱列表,箱数,总质量_kg,总体积_m3,E_batch_kWh,T_batch_s
0,S001,A,"('S001-HYG-02',)",1,6.0,0.035,1.182109161672361,1205.7465002314902
1,S001,A,"('S001-HYG-01',)",1,6.0,0.035,1.182109161672361,1205.7465002314902
2,S001,A,"('S001-FOD-03',)",1,8.0,0.028,1.190688648852193,1205.7465002314902
3,S001,A,"('S001-FOD-02',)",1,8.0,0.028,1.190688648852193,1205.7465002314902
4,S001,A,"('S001-FOD-02', 'S001-FOD-03')",2,16.0,0.056,1.2374037642226043,1265.7465002314902
5,S001,A,"('S001-FOD-01',)",1,8.0,0.028,1.190688648852193,1205.7465002314902
6,S001,A,"('S001-FOD-01', 'S001-FOD-03')",2,16.0,0.056,1.2374037642226043,1265.7465002314902
7,S001,A,"('S001-FOD-01', 'S001-FOD-02')",2,16.0,0.056,1.2374037642226043,1265.7465002314902
8,S001,A,"('S001-WAT-08',)",1,14.0,0.027,1.2238194119446362,1205.7465002314902
9,S001,A,"('S001-WAT-08', 'S001-FOD-03')",2,22.0,0.055,1.286864089933675,1265.7465002314902
10,S001,A,"('S001-WAT-08', 'S001-FOD-02')",2,22.0,0.055,1.286864089933675,1265.7465002314902
11,S001,A,"('S001-WAT-08', 'S001-FOD-01')",2,22.0,0.055,1.286864089933675,1265.7465002314902
12,S001,A,"('S001-WAT-07',)",1,14.0,0.027,1.2238194119446362,1205.7465002314902
13,S001,A,"('S001-WAT-07', 'S001-FOD-03')",2,22.0,0.055,1.286864089933675,1265.7465002314902
14,S001,A,"('S001-WAT-07', 'S001-FOD-02')",2,22.0,0.055,1.286864089933675,1265.7465002314902
15,S001,A,"('S001-WAT-07', 'S001-FOD-01')",2,22.0,0.055,1.286864089933675,1265.7465002314902
16,S001,A,"('S001-WAT-06',)",1,14.0,0.027,1.2238194119446362,1205.7465002314902
17,S001,A,"('S001-WAT-06', 'S001-FOD-03')",2,22.0,0.055,1.286864089933675,1265.7465002314902
18,S001,A,"('S001-WAT-06', 'S001-FOD-02')",2,22.0,0.055,1.286864089933675,1265.7465002314902
19,S001,A,"('S001-WAT-06', 'S001-FOD-01')",2,22.0,0.055,1.286864089933675,1265.7465002314902
20,S001,A,"('S001-WAT-05',)",1,14.0,0.027,1.2238194119446362,1205.7465002314902
21,S001,A,"('S001-WAT-05', 'S001-FOD-03')",2,22.0,0.055,1.286864089933675,1265.7465002314902
22,S001,A,"('S001-WAT-05', 'S001-FOD-02')",2,22.0,0.055,1.286864089933675,1265.7465002314902
23,S001,A,"('S001-WAT-05', 'S001-FOD-01')",2,22.0,0.055,1.286864089933675,1265.7465002314902
24,S001,A,"('S001-WAT-04',)",1,14.0,0.027,1.2238194119446362,1205.7465002314902
25,S001,A,"('S001-WAT-04', 'S001-FOD-03')",2,22.0,0.055,1.286864089933675,1265.7465002314902
26,S001,A,"('S001-WAT-04', 'S001-FOD-02')",2,22.0,0.055,1.286864089933675,1265.7465002314902
27,S001,A,"('S001-WAT-04', 'S001-FOD-01')",2,22.0,0.055,1.286864089933675,1265.7465002314902
28,S001,A,"('S001-WAT-03',)",1,14.0,0.027,1.2238194119446362,1205.7465002314902
29,S001,A,"('S001-WAT-03', 'S001-FOD-03')",2,22.0,0.055,1.286864089933675,1265.7465002314902
30,S001,A,"('S001-WAT-03', 'S001-FOD-02')",2,22.0,0.055,1.286864089933675,1265.7465002314902
31,S001,A,"('S001-WAT-03', 'S001-FOD-01')",2,22.0,0.055,1.286864089933675,1265.7465002314902
32,S001,A,"('S001-WAT-02',)",1,14.0,0.027,1.2238194119446362,1205.7465002314902
33,S001,A,"('S001-WAT-02', 'S001-FOD-03')",2,22.0,0.055,1.286864089933675,1265.7465002314902
34,S001,A,"('S001-WAT-02', 'S001-FOD-02')",2,22.0,0.055,1.286864089933675,1265.7465002314902
35,S001,A,"('S001-WAT-02', 'S001-FOD-01')",2,22.0,0.055,1.286864089933675,1265.7465002314902
36,S001,A,"('S001-WAT-01',)",1,14.0,0.027,1.2238194119446362,1205.7465002314902
37,S001,A,"('S001-WAT-01', 'S001-FOD-03')",2,22.0,0.055,1.286864089933675,1265.7465002314902
38,S001,A,"('S001-WAT-01', 'S001-FOD-02')",2,22.0,0.055,1.286864089933675,1265.7465002314902
39,S001,A,"('S001-WAT-01', 'S001-FOD-01')",2,22.0,0.055,1.286864089933675,1265.7465002314902
40,S001,A,"('S001-MED-02',)",1,3.0,0.012,1.171723840048078,1205.7465002314902
41,S001,A,"('S001-MED-02', 'S001-HYG-02')",2,9.0,0.047,1.195442403380032,1265.7465002314902
42,S001,A,"('S001-MED-02', 'S001-HYG-01')",2,9.0,0.047,1.195442403380032,1265.7465002314902
43,S001,A,"('S001-MED-02', 'S001-FOD-03')",2,11.0,0.04,1.2058649879323782,1265.7465002314902
44,S001,A,"('S001-MED-02', 'S001-FOD-02')",2,11.0,0.04,1.2058649879323782,1265.7465002314902
45,S001,A,"('S001-MED-02', 'S001-FOD-01')",2,11.0,0.04,1.2058649879323782,1265.7465002314902
46,S001,A,"('S001-MED-02', 'S001-WAT-08')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
47,S001,A,"('S001-MED-02', 'S001-WAT-07')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
48,S001,A,"('S001-MED-02', 'S001-WAT-06')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
49,S001,A,"('S001-MED-02', 'S001-WAT-05')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
50,S001,A,"('S001-MED-02', 'S001-WAT-04')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
51,S001,A,"('S001-MED-02', 'S001-WAT-03')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
52,S001,A,"('S001-MED-02', 'S001-WAT-02')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
53,S001,A,"('S001-MED-02', 'S001-WAT-01')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
54,S001,A,"('S001-MED-01',)",1,3.0,0.012,1.171723840048078,1205.7465002314902
55,S001,A,"('S001-MED-01', 'S001-HYG-02')",2,9.0,0.047,1.195442403380032,1265.7465002314902
56,S001,A,"('S001-MED-01', 'S001-HYG-01')",2,9.0,0.047,1.195442403380032,1265.7465002314902
57,S001,A,"('S001-MED-01', 'S001-FOD-03')",2,11.0,0.04,1.2058649879323782,1265.7465002314902
58,S001,A,"('S001-MED-01', 'S001-FOD-02')",2,11.0,0.04,1.2058649879323782,1265.7465002314902
59,S001,A,"('S001-MED-01', 'S001-FOD-01')",2,11.0,0.04,1.2058649879323782,1265.7465002314902
60,S001,A,"('S001-MED-01', 'S001-WAT-08')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
