N,E_total,T_total,candidate_ids,service,local_id,candidate_ids_text
2,5.921446423235194,3223.4827100220773,"[3934, 16716]",S001,1,3934|16716
2,8.421232982803302,3856.193902191937,"[18394, 18507]",S002,1,18394|18507
2,8.537773117579356,4449.024228473005,"[18707, 18831]",S003,1,18707|18831
1,6.147778242554963,2313.519129227885,[19064],S004,1,19064
1,4.212332678253565,1870.6547620200963,[19165],S005,1,19165
1,2.596601829343914,1561.3380822127485,[19266],S006,1,19266
1,3.4079406274199755,1907.0489881009462,[19325],S007,1,19325
1,5.825742233328683,2197.7869981986423,[19384],S008,1,19384
2,5.728621142124297,3859.8344415470247,"[19341, 19353]",S008,2,19341|19353
1,2.0924839199484895,1556.1799406261198,[19397],S009,1,19397
1,1.8202689637505212,1550.5129349283739,[19417],S010,1,19417
1,1.0710516142839759,1184.8516233568985,[19437],S011,1,19437
1,2.750471619951881,1924.5810720325776,[19457],S012,1,19457
1,1.8231685972549476,1509.91448121033,[19477],S013,1,19477
1,2.1391805071457104,1869.385765700731,[19497],S014,1,19497
1,2.304567577698274,1827.2595392937324,[19517],S015,1,19517
