批次编号,候选编号,服务区编号,机型编号,货箱列表,箱数,总质量_kg,总体积_m3,E_batch_kWh,T_batch_s
S001-B01,3934,S001,C,"('S001-WAT-01', 'S001-WAT-04', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-01')",7,78.0,0.199,2.9997943195296233,1578.7413550110386
S001-B02,16716,S001,C,"('S001-MED-01', 'S001-MED-02', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-03', 'S001-HYG-02')",8,76.0,0.195,2.9216521037055703,1644.7413550110386
S002-B01,18394,S002,B,"('S002-MED-01', 'S002-WAT-03', 'S002-FOD-01')",3,25.0,0.067,2.709166835896415,1815.4894773410856
S002-B02,18507,S002,C,"('S002-WAT-01', 'S002-WAT-02', 'S002-WAT-04', 'S002-FOD-02', 'S002-HYG-01')",5,56.0,0.14400000000000002,5.712066146906887,2040.7044248508514
S003-B01,18707,S003,B,"('S003-MED-01', 'S003-WAT-04', 'S003-FOD-01')",3,25.0,0.067,2.777594563732003,2079.7280912059036
S003-B02,18831,S003,C,"('S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-FOD-02', 'S003-HYG-01')",5,56.0,0.14400000000000002,5.760178553847352,2369.296137267101
S004-B01,19064,S004,C,"('S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01')",6,59.0,0.156,6.147778242554963,2313.519129227885
S005-B01,19165,S005,C,"('S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01')",6,59.0,0.156,4.212332678253565,1870.6547620200963
S006-B01,19266,S006,C,"('S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01')",6,59.0,0.156,2.596601829343914,1561.3380822127485
S007-B01,19325,S007,C,"('S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01')",5,45.0,0.129,3.4079406274199755,1907.0489881009462
S008-B01,19384,S008,C,"('S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01')",5,45.0,0.129,5.825742233328683,2197.7869981986423
S009-B01,19397,S009,B,"('S009-MED-01', 'S009-WAT-01', 'S009-FOD-01')",3,25.0,0.067,2.0924839199484895,1556.1799406261198
S010-B01,19417,S010,B,"('S010-MED-01', 'S010-WAT-01', 'S010-FOD-01')",3,25.0,0.067,1.8202689637505212,1550.5129349283739
S011-B01,19437,S011,B,"('S011-MED-01', 'S011-WAT-01', 'S011-FOD-01')",3,25.0,0.067,1.0710516142839759,1184.8516233568985
S012-B01,19457,S012,B,"('S012-MED-01', 'S012-WAT-01', 'S012-FOD-01')",3,25.0,0.067,2.750471619951881,1924.5810720325776
S013-B01,19477,S013,B,"('S013-MED-01', 'S013-WAT-01', 'S013-FOD-01')",3,25.0,0.067,1.8231685972549476,1509.91448121033
S014-B01,19497,S014,B,"('S014-MED-01', 'S014-WAT-01', 'S014-FOD-01')",3,25.0,0.067,2.1391805071457104,1869.385765700731
S015-B01,19517,S015,B,"('S015-MED-01', 'S015-WAT-01', 'S015-FOD-01')",3,25.0,0.067,2.304567577698274,1827.2595392937324
