货箱编号,服务区编号,批次编号,机型编号
S001-WAT-01,S001,S001-B01,C
S001-WAT-04,S001,S001-B01,C
S001-WAT-07,S001,S001-B01,C
S001-WAT-08,S001,S001-B01,C
S001-FOD-01,S001,S001-B01,C
S001-FOD-02,S001,S001-B01,C
S001-HYG-01,S001,S001-B01,C
S001-MED-01,S001,S001-B02,C
S001-MED-02,S001,S001-B02,C
S001-WAT-02,S001,S001-B02,C
S001-WAT-03,S001,S001-B02,C
S001-WAT-05,S001,S001-B02,C
S001-WAT-06,S001,S001-B02,C
S001-FOD-03,S001,S001-B02,C
S001-HYG-02,S001,S001-B02,C
S002-MED-01,S002,S002-B01,B
S002-WAT-03,S002,S002-B01,B
S002-FOD-01,S002,S002-B01,B
S002-WAT-01,S002,S002-B02,C
S002-WAT-02,S002,S002-B02,C
S002-WAT-04,S002,S002-B02,C
S002-FOD-02,S002,S002-B02,C
S002-HYG-01,S002,S002-B02,C
S003-MED-01,S003,S003-B01,B
S003-WAT-04,S003,S003-B01,B
S003-FOD-01,S003,S003-B01,B
S003-WAT-01,S003,S003-B02,C
S003-WAT-02,S003,S003-B02,C
S003-WAT-03,S003,S003-B02,C
S003-FOD-02,S003,S003-B02,C
S003-HYG-01,S003,S003-B02,C
S004-MED-01,S004,S004-B01,C
S004-WAT-01,S004,S004-B01,C
S004-WAT-02,S004,S004-B01,C
S004-WAT-03,S004,S004-B01,C
S004-FOD-01,S004,S004-B01,C
S004-HYG-01,S004,S004-B01,C
S005-MED-01,S005,S005-B01,C
S005-WAT-01,S005,S005-B01,C
S005-WAT-02,S005,S005-B01,C
S005-WAT-03,S005,S005-B01,C
S005-FOD-01,S005,S005-B01,C
S005-HYG-01,S005,S005-B01,C
S006-MED-01,S006,S006-B01,C
S006-WAT-01,S006,S006-B01,C
S006-WAT-02,S006,S006-B01,C
S006-WAT-03,S006,S006-B01,C
S006-FOD-01,S006,S006-B01,C
S006-HYG-01,S006,S006-B01,C
S007-MED-01,S007,S007-B01,C
S007-WAT-01,S007,S007-B01,C
S007-WAT-02,S007,S007-B01,C
S007-FOD-01,S007,S007-B01,C
S007-HYG-01,S007,S007-B01,C
S008-MED-01,S008,S008-B01,C
S008-WAT-01,S008,S008-B01,C
S008-WAT-02,S008,S008-B01,C
S008-FOD-01,S008,S008-B01,C
S008-HYG-01,S008,S008-B01,C
S009-MED-01,S009,S009-B01,B
S009-WAT-01,S009,S009-B01,B
S009-FOD-01,S009,S009-B01,B
S010-MED-01,S010,S010-B01,B
S010-WAT-01,S010,S010-B01,B
S010-FOD-01,S010,S010-B01,B
S011-MED-01,S011,S011-B01,B
S011-WAT-01,S011,S011-B01,B
S011-FOD-01,S011,S011-B01,B
S012-MED-01,S012,S012-B01,B
S012-WAT-01,S012,S012-B01,B
S012-FOD-01,S012,S012-B01,B
S013-MED-01,S013,S013-B01,B
S013-WAT-01,S013,S013-B01,B
S013-FOD-01,S013,S013-B01,B
S014-MED-01,S014,S014-B01,B
S014-WAT-01,S014,S014-B01,B
S014-FOD-01,S014,S014-B01,B
S015-MED-01,S015,S015-B01,B
S015-WAT-01,S015,S015-B01,B
S015-FOD-01,S015,S015-B01,B
