路线编号,机型编号,停靠序列,箱数,总质量_kg,总体积_m3,路线能耗_kWh,路线时间_s,货箱列表
P21-R001,C,O01->S001->O01,7,54,0.17600000000000002,2.3752191585594096,1578.7413550110386,S001-WAT-07|S001-WAT-08|S001-FOD-03|S001-HYG-01|S001-HYG-02|S001-MED-01|S001-MED-02
P21-R002,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,S001-WAT-01
P21-R003,C,O01->S001->S011->O01,6,61,0.149,3.2573029381338188,1902.7760990459105,S001-WAT-02|S001-WAT-05|S001-FOD-02|S011-WAT-01|S011-FOD-01|S011-MED-01
P21-R004,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,S001-WAT-03
P21-R005,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,S001-WAT-04
P21-R006,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,S001-WAT-06
P21-R007,B,O01->S001->O01,1,8,0.028,0.9660550724182919,1104.1114854228224,S001-FOD-01
P21-R008,C,O01->S002->O01,6,59,0.156,5.843700142785153,2106.7044248508514,S002-WAT-01|S002-WAT-02|S002-WAT-04|S002-FOD-02|S002-HYG-01|S002-MED-01
P21-R009,B,O01->S002->O01,1,14,0.027,2.357571326055035,1695.4894773410856,S002-WAT-03
P21-R010,C,O01->S009->S002->O01,4,33,0.095,4.9763136630839,2228.697074524347,S002-FOD-01|S009-WAT-01|S009-FOD-01|S009-MED-01
P21-R011,B,O01->S003->O01,1,3,0.012,2.254219703804606,1959.7280912059034,S003-MED-01
P21-R012,C,O01->S003->O01,5,56,0.14400000000000002,5.760178553847352,2369.2961372671016,S003-WAT-01|S003-WAT-02|S003-WAT-04|S003-FOD-02|S003-HYG-01
P21-R013,B,O01->S003->O01,1,14,0.027,2.4220916211692547,1959.7280912059034,S003-WAT-03
P21-R014,B,O01->S003->O01,1,8,0.028,2.313205415506137,1959.7280912059034,S003-FOD-01
P21-R015,B,O01->S004->O01,1,3,0.012,2.3305959028793892,1871.4486844850467,S004-MED-01
P21-R016,C,O01->S004->O01,5,56,0.14400000000000002,6.009765093584634,2247.5191292278855,S004-WAT-01|S004-WAT-02|S004-WAT-03|S004-FOD-01|S004-HYG-01
P21-R017,C,O01->S005->O01,5,53,0.121,4.03213852236201,1804.6547620200963,S005-WAT-01|S005-WAT-02|S005-WAT-03|S005-FOD-01|S005-MED-01
P21-R018,B,O01->S005->O01,1,6,0.035,1.620119464891468,1450.6044975344194,S005-HYG-01
P21-R019,C,O01->S006->S007->O01,7,62,0.168,4.2223250477381935,2415.0589732457174,S006-WAT-01|S006-MED-01|S007-WAT-01|S007-WAT-02|S007-FOD-01|S007-HYG-01|S007-MED-01
P21-R020,B,O01->S006->O01,2,22,0.055,1.1684381371800523,1207.0554690942588,S006-WAT-02|S006-FOD-01
P21-R021,B,O01->S006->O01,1,14,0.027,1.0656891307004104,1147.0554690942588,S006-WAT-03
P21-R022,B,O01->S006->O01,1,6,0.035,1.004619611588103,1147.0554690942588,S006-HYG-01
P21-R023,B,O01->S008->O01,3,25,0.067,2.9700117999079167,1959.9172207735123,S008-WAT-01|S008-FOD-01|S008-MED-01
P21-R024,B,O01->S008->O01,2,20,0.062,2.7586093422163795,1899.9172207735123,S008-WAT-02|S008-HYG-01
P21-R025,C,O01->S013->S010->O01,5,42,0.106,3.979477987305926,2177.8831567676207,S010-WAT-01|S010-MED-01|S013-WAT-01|S013-FOD-01|S013-MED-01
P21-R026,B,O01->S010->O01,1,8,0.028,1.5130787506846008,1430.5129349283739,S010-FOD-01
P21-R027,B,O01->S012->O01,3,25,0.067,2.750471619951881,1924.5810720325776,S012-WAT-01|S012-FOD-01|S012-MED-01
P21-R028,B,O01->S014->O01,3,25,0.067,2.1391805071457104,1869.385765700731,S014-WAT-01|S014-FOD-01|S014-MED-01
P21-R029,B,O01->S015->O01,2,17,0.039,2.0681951729098254,1767.2595392937324,S015-WAT-01|S015-MED-01
P21-R030,B,O01->S015->O01,1,8,0.028,1.9150460155106366,1707.2595392937324,S015-FOD-01
