货箱编号,服务区编号,物资类型,期望送达时间_s,硬约束时限_s,实际送达时刻_s,是否硬约束超时
S001-MED-01,S001,医疗物资,3600,3600.0,2248.3193293499453,False
S001-MED-02,S001,医疗物资,3600,3600.0,2248.3193293499453,False
S001-WAT-01,S001,饮用水,3600,3600.0,2429.760148077322,False
S001-WAT-02,S001,饮用水,3600,,11858.849434691369,False
S001-WAT-03,S001,饮用水,3600,,11858.849434691369,False
S001-WAT-04,S001,饮用水,3600,,8172.988893884744,False
S001-WAT-05,S001,饮用水,3600,,8179.329433675101,False
S001-WAT-06,S001,饮用水,3600,,9850.04975946243,False
S001-WAT-07,S001,饮用水,3600,,11858.849434691369,False
S001-WAT-08,S001,饮用水,3600,,9889.520906825775,False
S001-FOD-01,S001,应急食品,7200,,9850.04975946243,False
S001-FOD-02,S001,应急食品,7200,,9850.04975946243,False
S001-FOD-03,S001,应急食品,7200,,11858.849434691369,False
S001-HYG-01,S001,生活卫生用品,10800,,11858.849434691369,False
S001-HYG-02,S001,生活卫生用品,10800,,13322.872598343216,False
S002-MED-01,S002,医疗物资,3600,3600.0,3541.963946649741,False
S002-WAT-01,S002,饮用水,3600,3600.0,3541.963946649741,False
S002-WAT-02,S002,饮用水,3600,,8649.424758555957,False
S002-WAT-03,S002,饮用水,3600,,3541.963946649741,False
S002-WAT-04,S002,饮用水,3600,,3541.963946649741,False
S002-FOD-01,S002,应急食品,7200,,14069.582376389873,False
S002-FOD-02,S002,应急食品,7200,,15436.189632099691,False
S002-HYG-01,S002,生活卫生用品,10800,,12374.092899048788,False
S003-MED-01,S003,医疗物资,7200,7200.0,5731.727174004821,False
S003-WAT-01,S003,饮用水,7200,7200.0,5731.727174004821,False
S003-WAT-02,S003,饮用水,7200,,5731.727174004821,False
S003-WAT-03,S003,饮用水,7200,,11785.802810028854,False
S003-WAT-04,S003,饮用水,7200,,18902.572428592597,False
S003-FOD-01,S003,应急食品,10800,,23151.175527991993,False
S003-FOD-02,S003,应急食品,10800,,4802.342424587226,False
S003-HYG-01,S003,生活卫生用品,14400,,24271.06836182959,False
S004-MED-01,S004,医疗物资,7200,7200.0,6274.880331843092,False
S004-WAT-01,S004,饮用水,7200,7200.0,6683.732142264143,False
S004-WAT-02,S004,饮用水,7200,,6274.880331843092,False
S004-WAT-03,S004,饮用水,7200,,6274.880331843092,False
S004-FOD-01,S004,应急食品,10800,,20821.834149771406,False
S004-HYG-01,S004,生活卫生用品,14400,,6274.880331843092,False
S005-MED-01,S005,医疗物资,10800,10800.0,10527.453601735358,False
S005-WAT-01,S005,饮用水,10800,10800.0,10527.453601735358,False
S005-WAT-02,S005,饮用水,10800,,17010.05328620411,False
S005-WAT-03,S005,饮用水,10800,,10527.453601735358,False
S005-FOD-01,S005,应急食品,14400,,22483.97074078114,False
S005-HYG-01,S005,生活卫生用品,18000,,10527.453601735358,False
S006-MED-01,S006,医疗物资,3600,3600.0,3574.819047961839,False
S006-WAT-01,S006,饮用水,3600,3600.0,3574.819047961839,False
S006-WAT-02,S006,饮用水,3600,,3574.819047961839,False
S006-WAT-03,S006,饮用水,3600,,3574.819047961839,False
S006-FOD-01,S006,应急食品,7200,,11486.356623143089,False
S006-HYG-01,S006,生活卫生用品,10800,,11040.744384084315,False
S007-MED-01,S007,医疗物资,3600,3600.0,885.5189648756684,False
S007-WAT-01,S007,饮用水,3600,3600.0,885.5189648756684,False
S007-WAT-02,S007,饮用水,3600,,10123.826590386958,False
S007-FOD-01,S007,应急食品,7200,,7737.399736688844,False
S007-HYG-01,S007,生活卫生用品,10800,,7737.399736688844,False
S008-MED-01,S008,医疗物资,7200,7200.0,6704.418413910266,False
S008-WAT-01,S008,饮用水,7200,7200.0,4796.629189634863,False
S008-WAT-02,S008,饮用水,7200,,17677.03616309556,False
S008-FOD-01,S008,应急食品,10800,,19516.953383869073,False
S008-HYG-01,S008,生活卫生用品,14400,,4796.629189634863,False
S009-MED-01,S009,医疗物资,10800,10800.0,8189.590317616449,False
S009-WAT-01,S009,饮用水,10800,10800.0,8189.590317616449,False
S009-FOD-01,S009,应急食品,14400,,21156.365297902223,False
S010-MED-01,S010,医疗物资,3600,3600.0,961.2157836669865,False
S010-WAT-01,S010,饮用水,3600,3600.0,961.2157836669865,False
S010-FOD-01,S010,应急食品,7200,,961.2157836669865,False
S011-MED-01,S011,医疗物资,10800,10800.0,2696.239624955322,False
S011-WAT-01,S011,饮用水,10800,10800.0,10367.049531067536,False
S011-FOD-01,S011,应急食品,14400,,10367.049531067536,False
S012-MED-01,S012,医疗物资,7200,3600.0,972.2205360162889,False
S012-WAT-01,S012,饮用水,3600,3600.0,1531.5070167174845,False
S012-FOD-01,S012,应急食品,7200,,15854.490350025848,False
S013-MED-01,S013,医疗物资,3600,3600.0,935.3375445602431,False
S013-WAT-01,S013,饮用水,3600,3600.0,935.3375445602431,False
S013-FOD-01,S013,应急食品,7200,,935.3375445602431,False
S014-MED-01,S014,医疗物资,7200,3600.0,1533.5776200913976,False
S014-WAT-01,S014,饮用水,3600,3600.0,1533.5776200913976,False
S014-FOD-01,S014,应急食品,7200,,1533.5776200913976,False
S015-MED-01,S015,医疗物资,7200,7200.0,4385.040482900964,False
S015-WAT-01,S015,饮用水,10800,10800.0,8207.407769748195,False
S015-FOD-01,S015,应急食品,14400,,1301.4373769633403,False
