资源编号,资源类型,事件类型,开始_s,结束_s
U07,无人机,飞行,0.0,2821.5050068554647
U08,无人机,飞行,0.0,2511.2017342243153
U05,无人机,飞行,0.0,2091.627146610206
U06,无人机,飞行,0.0,1804.5810720325776
U06,无人机,飞行,1804.5810720325776,2908.6925574553998
U05,无人机,飞行,2091.627146610206,3156.4787699671047
U08,无人机,飞行,2511.2017342243153,4485.906159075166
U07,无人机,飞行,2821.5050068554647,4250.843089068213
U06,无人机,飞行,3437.970713254098,5714.233136856844
U05,无人机,飞行,3776.4439125814406,5676.3611333549525
U07,无人机,飞行,4572.61910537127,6809.915242638372
U08,无人机,飞行,5141.150767229149,7322.669896457035
U05,无人机,飞行,5676.3611333549525,7547.80981784
U06,无人机,飞行,5714.233136856844,7554.150357630357
U07,无人机,飞行,6809.915242638372,9084.494081956911
U08,无人机,飞行,7322.669896457035,9485.366970981382
U05,无人机,飞行,7547.80981784,8651.921303262821
U06,无人机,飞行,7554.150357630357,8658.261843053178
U07,无人机,飞行,9084.494081956911,10921.270181002821
U05,无人机,飞行,9264.341830781032,10368.453316203853
U06,无人机,飞行,9298.30762551129,10814.065555262627
U08,无人机,飞行,9613.491220725311,11352.145982745407
U05,无人机,飞行,10368.453316203853,12697.693522298472
U06,无人机,飞行,10814.065555262627,13149.89763771933
U07,无人机,飞行,11093.29375718585,12540.035112196889
U05,无人机,飞行,12697.693522298472,13801.805007721294
U06,无人机,飞行,13149.89763771933,14845.387115060415
U05,无人机,飞行,14516.504893429148,16211.994370770233
U06,无人机,飞行,14882.269814009558,16686.850886042135
U05,无人机,飞行,16211.994370770233,17662.598868304653
U06,无人机,飞行,16686.850886042135,18526.76810681565
U05,无人机,飞行,17854.735049656312,19814.463140862215
U06,无人机,飞行,18526.76810681565,20366.685327589163
U05,无人机,飞行,19814.463140862215,21685.911825347262
U06,无人机,飞行,20366.685327589163,21802.865268215282
U05,无人机,飞行,21685.911825347262,23136.516322881682
U06,无人机,飞行,22103.338149055708,24063.06624026161
U05,无人机,飞行,23223.230982893307,25182.95907409921
C-电池01,电池,飞行,0.0,2821.5050068554647
C-电池01,电池,充电,2821.5050068554647,5141.150767229149
C-电池02,电池,飞行,0.0,2511.2017342243153
C-电池02,电池,充电,2511.2017342243153,4572.61910537127
B-电池01,电池,飞行,0.0,2091.627146610206
B-电池01,电池,充电,2091.627146610206,3776.4439125814406
B-电池02,电池,飞行,0.0,1804.5810720325776
B-电池02,电池,充电,1804.5810720325776,3437.970713254098
B-电池03,电池,飞行,1804.5810720325776,2908.6925574553998
B-电池03,电池,充电,2908.6925574553998,4013.548031161182
B-电池04,电池,飞行,2091.627146610206,3156.4787699671047
B-电池04,电池,充电,3156.4787699671047,4199.730738732379
C-电池03,电池,飞行,2511.2017342243153,4485.906159075166
C-电池03,电池,充电,4485.906159075166,6761.439677496689
C-电池04,电池,飞行,2821.5050068554647,4250.843089068213
C-电池04,电池,充电,4250.843089068213,5724.667101752537
B-电池02,电池,飞行,3437.970713254098,5714.233136856844
B-电池02,电池,充电,5714.233136856844,7493.2470980033695
B-电池01,电池,飞行,3776.4439125814406,5676.3611333549525
B-电池01,电池,充电,5676.3611333549525,7538.425181648717
C-电池02,电池,飞行,4572.61910537127,6809.915242638372
C-电池02,电池,充电,6809.915242638372,9003.895922093365
C-电池01,电池,飞行,5141.150767229149,7322.669896457035
C-电池01,电池,充电,7322.669896457035,9613.491220725311
B-电池03,电池,飞行,5676.3611333549525,7547.80981784
B-电池03,电池,充电,7547.80981784,9298.30762551129
B-电池04,电池,飞行,5714.233136856844,7554.150357630357
B-电池04,电池,充电,7554.150357630357,9264.341830781032
C-电池04,电池,飞行,6809.915242638372,9084.494081956911
C-电池04,电池,充电,9084.494081956911,11093.29375718585
C-电池03,电池,飞行,7322.669896457035,9485.366970981382
C-电池03,电池,充电,9485.366970981382,11661.990410388153
B-电池02,电池,飞行,7547.80981784,8651.921303262821
B-电池02,电池,充电,8651.921303262821,9756.776776968603
B-电池01,电池,飞行,7554.150357630357,8658.261843053178
B-电池01,电池,充电,8658.261843053178,9763.11731675896
C-电池02,电池,飞行,9084.494081956911,10921.270181002821
C-电池02,电池,充电,10921.270181002821,12589.080360168698
B-电池04,电池,飞行,9264.341830781032,10368.453316203853
B-电池04,电池,充电,10368.453316203853,11473.308789909635
B-电池03,电池,飞行,9298.30762551129,10814.065555262627
B-电池03,电池,充电,10814.065555262627,12153.189721492628
C-电池01,电池,飞行,9613.491220725311,11352.145982745407
C-电池01,电池,充电,11352.145982745407,13184.149065465454
B-电池02,电池,飞行,10368.453316203853,12697.693522298472
B-电池02,电池,充电,12697.693522298472,14516.504893429148
B-电池01,电池,飞行,10814.065555262627,13149.89763771933
B-电池01,电池,充电,13149.89763771933,15143.065359744034
C-电池04,电池,飞行,11093.29375718585,12540.035112196889
C-电池04,电池,充电,12540.035112196889,14025.835398441768
B-电池04,电池,飞行,12697.693522298472,13801.805007721294
B-电池04,电池,充电,13801.805007721294,14882.269814009558
B-电池03,电池,飞行,13149.89763771933,14845.387115060415
B-电池03,电池,充电,14845.387115060415,16488.127793946493
B-电池02,电池,飞行,14516.504893429148,16211.994370770233
B-电池02,电池,充电,16211.994370770233,17854.735049656312
B-电池04,电池,飞行,14882.269814009558,16686.850886042135
B-电池04,电池,充电,16686.850886042135,18344.979558709496
B-电池01,电池,飞行,16211.994370770233,17662.598868304653
B-电池01,电池,充电,17662.598868304653,19072.512119064515
B-电池03,电池,飞行,16686.850886042135,18526.76810681565
B-电池03,电池,充电,18526.76810681565,20313.523116464283
B-电池02,电池,飞行,17854.735049656312,19814.463140862215
B-电池02,电池,充电,19814.463140862215,21530.702843368894
B-电池04,电池,飞行,18526.76810681565,20366.685327589163
B-电池04,电池,充电,20366.685327589163,22103.338149055708
B-电池01,电池,飞行,19814.463140862215,21685.911825347262
B-电池01,电池,充电,21685.911825347262,23388.133453113034
B-电池03,电池,飞行,20366.685327589163,21802.865268215282
B-电池03,电池,充电,21802.865268215282,23223.230982893307
B-电池02,电池,飞行,21685.911825347262,23136.516322881682
B-电池02,电池,充电,23136.516322881682,24513.334663655725
B-电池04,电池,飞行,22103.338149055708,24063.06624026161
B-电池04,电池,充电,24063.06624026161,25732.121920314272
B-电池03,电池,飞行,23223.230982893307,25182.95907409921
B-电池03,电池,充电,25182.95907409921,26840.323306117305
