架次编号,机型编号,无人机编号,电池编号,起飞时刻_s,返航时刻_s,停靠序列
P22-T001,C,U07,C-电池01,0.0,2821.5050068554647,O01->S013->S012->S001->O01
P22-T002,C,U08,C-电池02,0.0,2511.2017342243153,O01->S010->S014->O01
P22-T003,B,U05,B-电池01,0.0,2091.627146610206,O01->S007->S015->O01
P22-T004,B,U06,B-电池02,0.0,1804.5810720325776,O01->S012->O01
P22-T005,B,U06,B-电池03,1804.5810720325776,2908.6925574553998,O01->S001->O01
P22-T006,B,U05,B-电池04,2091.627146610206,3156.4787699671047,O01->S011->O01
P22-T007,C,U08,C-电池03,2511.2017342243153,4485.906159075166,O01->S002->O01
P22-T008,C,U07,C-电池04,2821.5050068554647,4250.843089068213,O01->S006->O01
P22-T009,B,U06,B-电池02,3437.970713254098,5714.233136856844,O01->S015->S003->O01
P22-T010,B,U05,B-电池01,3776.4439125814406,5676.3611333549525,O01->S008->O01
P22-T011,C,U07,C-电池02,4572.61910537127,6809.915242638372,O01->S003->O01
P22-T012,C,U08,C-电池01,5141.150767229149,7322.669896457035,O01->S004->O01
P22-T013,B,U05,B-电池03,5676.3611333549525,7547.80981784,O01->S004->O01
P22-T014,B,U06,B-电池04,5714.233136856844,7554.150357630357,O01->S008->O01
P22-T015,C,U07,C-电池04,6809.915242638372,9084.494081956911,O01->S007->S015->O01
P22-T016,C,U08,C-电池03,7322.669896457035,9485.366970981382,O01->S009->S002->O01
P22-T017,B,U05,B-电池02,7547.80981784,8651.921303262821,O01->S001->O01
P22-T018,B,U06,B-电池01,7554.150357630357,8658.261843053178,O01->S001->O01
P22-T019,C,U07,C-电池02,9084.494081956911,10921.270181002821,O01->S001->S011->O01
P22-T020,B,U05,B-电池04,9264.341830781032,10368.453316203853,O01->S001->O01
P22-T021,B,U06,B-电池03,9298.30762551129,10814.065555262627,O01->S007->O01
P22-T022,C,U08,C-电池01,9613.491220725311,11352.145982745407,O01->S005->O01
P22-T023,B,U05,B-电池02,10368.453316203853,12697.693522298472,O01->S006->S003->O01
P22-T024,B,U06,B-电池01,10814.065555262627,13149.89763771933,O01->S006->S002->O01
P22-T025,C,U07,C-电池04,11093.29375718585,12540.035112196889,O01->S001->O01
P22-T026,B,U05,B-电池04,12697.693522298472,13801.805007721294,O01->S001->O01
P22-T027,B,U06,B-电池03,13149.89763771933,14845.387115060415,O01->S002->O01
P22-T028,B,U05,B-电池02,14516.504893429148,16211.994370770233,O01->S002->O01
P22-T029,B,U06,B-电池04,14882.269814009558,16686.850886042135,O01->S012->O01
P22-T030,B,U05,B-电池01,16211.994370770233,17662.598868304653,O01->S005->O01
P22-T031,B,U06,B-电池03,16686.850886042135,18526.76810681565,O01->S008->O01
P22-T032,B,U05,B-电池02,17854.735049656312,19814.463140862215,O01->S003->O01
P22-T033,B,U06,B-电池04,18526.76810681565,20366.685327589163,O01->S008->O01
P22-T034,B,U05,B-电池01,19814.463140862215,21685.911825347262,O01->S004->O01
P22-T035,B,U06,B-电池03,20366.685327589163,21802.865268215282,O01->S009->O01
P22-T036,B,U05,B-电池02,21685.911825347262,23136.516322881682,O01->S005->O01
P22-T037,B,U06,B-电池04,22103.338149055708,24063.06624026161,O01->S003->O01
P22-T038,B,U05,B-电池03,23223.230982893307,25182.95907409921,O01->S003->O01
