架次编号,路线编号,候选排名,中继点,经度,纬度,悬停高度_m,通信中断_s,覆盖率,是否需要中继,中继能耗_kWh
T007,R001,1,O01,109.2308517,23.0085095,80.0,0.0,1.0,False,0.0
T007,R001,2,S001,109.2432319,23.0335927,80.0,0.0,1.0,False,0.0
T007,R001,3,S002,109.2585519,23.0703271,80.0,0.0,1.0,False,0.0
T007,R001,4,S003,109.1688578,23.0402714,80.0,0.0,1.0,False,0.0
T007,R001,5,S004,109.2381714,23.0778414,80.0,0.0,1.0,False,0.0
T007,R001,6,S005,109.2283003,23.0561338,80.0,0.0,1.0,False,0.0
T007,R001,7,S006,109.1997836,23.007714,80.0,0.0,1.0,False,0.0
T007,R001,8,S007,109.1928191,23.0294186,80.0,0.0,1.0,False,0.0
T007,R001,9,S008,109.2127472,23.0795113,80.0,0.0,1.0,False,0.0
T007,R001,10,S009,109.2541424,23.0552989,80.0,0.0,1.0,False,0.0
T007,R001,11,S010,109.2760168,23.0194009,80.0,0.0,1.0,False,0.0
T007,R001,12,S011,109.2203356,23.0319231,80.0,0.0,1.0,False,0.0
T007,R001,13,S012,109.2831357,23.054464,80.0,0.0,1.0,False,0.0
T007,R001,14,S013,109.2713839,23.0310882,80.0,0.0,1.0,False,0.0
T007,R001,15,S014,109.2835966,23.0052097,80.0,0.0,1.0,False,0.0
T007,R001,16,S015,109.1923786,23.0494548,80.0,0.0,1.0,False,0.0
T007,R001,17,O01-S001-0.35,109.23518477,23.01728862,80.0,0.0,1.0,False,0.0
T007,R001,18,O01-S001-0.50,109.2370418,23.0210511,80.0,0.0,1.0,False,0.0
T007,R001,19,O01-S001-0.65,109.23889883,23.02481358,80.0,0.0,1.0,False,0.0
T007,R001,20,S001-S011-0.35,109.235218195,23.03300834,80.0,0.0,1.0,False,0.0
T008,R002,1,O01,109.2308517,23.0085095,80.0,0.0,1.0,False,0.0
T008,R002,2,S001,109.2432319,23.0335927,80.0,0.0,1.0,False,0.0
T008,R002,3,S002,109.2585519,23.0703271,80.0,0.0,1.0,False,0.0
T008,R002,4,S003,109.1688578,23.0402714,80.0,0.0,1.0,False,0.0
T008,R002,5,S004,109.2381714,23.0778414,80.0,0.0,1.0,False,0.0
T008,R002,6,S005,109.2283003,23.0561338,80.0,0.0,1.0,False,0.0
T008,R002,7,S006,109.1997836,23.007714,80.0,0.0,1.0,False,0.0
T008,R002,8,S007,109.1928191,23.0294186,80.0,0.0,1.0,False,0.0
T008,R002,9,S008,109.2127472,23.0795113,80.0,0.0,1.0,False,0.0
T008,R002,10,S009,109.2541424,23.0552989,80.0,0.0,1.0,False,0.0
T008,R002,11,S010,109.2760168,23.0194009,80.0,0.0,1.0,False,0.0
T008,R002,12,S011,109.2203356,23.0319231,80.0,0.0,1.0,False,0.0
T008,R002,13,S012,109.2831357,23.054464,80.0,0.0,1.0,False,0.0
T008,R002,14,S013,109.2713839,23.0310882,80.0,0.0,1.0,False,0.0
T008,R002,15,S014,109.2835966,23.0052097,80.0,0.0,1.0,False,0.0
T008,R002,16,S015,109.1923786,23.0494548,80.0,0.0,1.0,False,0.0
T008,R002,17,O01-S001-0.35,109.23518477,23.01728862,80.0,0.0,1.0,False,0.0
T008,R002,18,O01-S001-0.50,109.2370418,23.0210511,80.0,0.0,1.0,False,0.0
T008,R002,19,O01-S001-0.65,109.23889883,23.02481358,80.0,0.0,1.0,False,0.0
T008,R002,20,S001-S011-0.35,109.235218195,23.03300834,80.0,0.0,1.0,False,0.0
T019,R003,1,O01,109.2308517,23.0085095,80.0,0.0,1.0,False,0.0
T019,R003,2,S001,109.2432319,23.0335927,80.0,0.0,1.0,False,0.0
T019,R003,3,S002,109.2585519,23.0703271,80.0,0.0,1.0,False,0.0
T019,R003,4,S003,109.1688578,23.0402714,80.0,0.0,1.0,False,0.0
T019,R003,5,S004,109.2381714,23.0778414,80.0,0.0,1.0,False,0.0
T019,R003,6,S005,109.2283003,23.0561338,80.0,0.0,1.0,False,0.0
T019,R003,7,S006,109.1997836,23.007714,80.0,0.0,1.0,False,0.0
T019,R003,8,S007,109.1928191,23.0294186,80.0,0.0,1.0,False,0.0
T019,R003,9,S008,109.2127472,23.0795113,80.0,0.0,1.0,False,0.0
T019,R003,10,S009,109.2541424,23.0552989,80.0,0.0,1.0,False,0.0
T019,R003,11,S010,109.2760168,23.0194009,80.0,0.0,1.0,False,0.0
T019,R003,12,S011,109.2203356,23.0319231,80.0,0.0,1.0,False,0.0
T019,R003,13,S012,109.2831357,23.054464,80.0,0.0,1.0,False,0.0
T019,R003,14,S013,109.2713839,23.0310882,80.0,0.0,1.0,False,0.0
T019,R003,15,S014,109.2835966,23.0052097,80.0,0.0,1.0,False,0.0
T019,R003,16,S015,109.1923786,23.0494548,80.0,0.0,1.0,False,0.0
T019,R003,17,O01-S001-0.35,109.23518477,23.01728862,80.0,0.0,1.0,False,0.0
T019,R003,18,O01-S001-0.50,109.2370418,23.0210511,80.0,0.0,1.0,False,0.0
T019,R003,19,O01-S001-0.65,109.23889883,23.02481358,80.0,0.0,1.0,False,0.0
T019,R003,20,S001-S011-0.35,109.235218195,23.03300834,80.0,0.0,1.0,False,0.0
