route_id,relay_id,battery_id,start,service_start,service_end,end,transport_start,transport_end,energy_kWh,delay_s
R006,R01,R-电池01,0.0,1193.3213784305688,3360.02580328142,4553.347181711989,1223.3213784305688,3330.02580328142,0.7320751710595647,1223.3213784305688
R007,无需中继,无需中继,0.0,0.0,2415.0589732457174,2415.0589732457174,,,0.0,0.0
R027,R02,R-电池02,0.0,1112.1987280369094,3096.779800069487,4208.978528106396,1142.1987280369094,3066.779800069487,0.6827763020972025,1142.1987280369094
R029,R02,R-电池03,4508.978528106396,5505.338077623428,7434.723843324159,8431.083392841192,5535.338077623428,7404.723843324159,0.6088863913715198,5535.338077623428
R026,R01,R-电池04,4853.34718171199,5690.270315842843,7300.783250771217,8137.706384902071,5720.270315842843,7270.783250771217,0.5114530264132995,3850.884550142112
R028,R01,R-电池05,8437.70638490207,9230.99695884057,10800.911440050899,11594.202013989398,9260.99695884057,10770.911440050899,0.48478868407352677,7336.415886807992
R001,无需中继,无需中继,2106.7044248508514,2106.7044248508514,3619.44577986189,3619.44577986189,,,0.0,0.0
R002,无需中继,无需中继,2415.0589732457174,2415.0589732457174,3861.800328256756,3861.800328256756,,,0.0,0.0
R022,R02,R-电池06,8731.083392841192,9831.896966146294,11923.5241127565,13024.337686061604,9861.896966146294,11893.5241127565,0.6727194059086742,6398.866314015755
R023,R01,R-电池02,11894.202013989398,13057.310576396805,15077.227797170317,16240.336359577725,13087.310576396805,15047.227797170317,0.7141631016199153,9304.19180238508
R011,R02,R-电池01,13324.337686061604,14771.21323668376,17358.664433886766,18805.53998450892,14801.21323668376,17328.664433886766,0.8875762610844831,10466.940890996775
R010,R01,R-电池04,16540.336359577726,17880.09995563003,20309.396092897132,21649.15968894944,17910.09995563003,20279.396092897132,0.8213402214973006,13361.514433260792
R013,R02,R-电池03,19105.53998450892,20201.08094543876,22132.529629923807,23228.070590853647,20231.08094543876,22102.529629923807,0.6728717896058471,14736.423146698015
R014,R01,R-电池05,21949.15968894944,23074.70064987928,25066.149334364327,26191.690295294167,23104.70064987928,25036.149334364327,0.6912051229391803,17361.664655094042
R012,R02,R-电池06,23528.070590853647,25068.60182903075,27843.364401343657,29383.89563952076,25098.60182903075,27813.364401343657,0.944810292368063,18236.87828614076
R017,无需中继,无需中继,6917.881659636339,6917.881659636339,8656.536421656434,8656.536421656434,,,0.0,0.0
R005,无需中继,无需中继,7426.106483225792,7426.106483225792,8997.373126400122,8997.373126400122,,,0.0,0.0
R025,R01,R-电池02,26491.690295294167,27308.11359894056,28924.29353956668,29740.71684321307,27338.11359894056,28894.29353956668,0.49892535222835155,19641.405824195223
R003,无需中继,无需中继,9160.858401363812,9160.858401363812,10865.634500409722,10865.634500409722,,,0.0,0.0
R004,无需中继,无需中继,9291.076237184689,9291.076237184689,10395.187722607508,10395.187722607508,,,0.0,0.0
R020,无需中继,无需中继,9407.793439006176,9407.793439006176,10554.848908100435,10554.848908100435,,,0.0,0.0
R016,R02,R-电池01,29683.89563952076,31127.802102019108,33755.98178964117,35199.88825213951,31157.802102019108,33725.98178964117,0.885761818342156,21581.31598681621
R021,R01,R-电池04,30040.71684321307,30883.59580808874,32459.353737840076,33302.232702715744,30913.59580808874,32429.353737840076,0.5150927007573529,20518.40808548123
R008,R01,R-电池03,33602.232702715744,34589.94660739143,36345.436084732515,37333.1499894082,34619.94660739143,36315.436084732515,0.6064261593204695,23793.64919337563
R018,无需中继,无需中继,11910.945652358843,11910.945652358843,13361.550149893264,13361.550149893264,,,0.0,0.0
R024,R02,R-电池05,35499.88825213951,36602.99681454692,38502.91403532043,39606.02259772783,36632.99681454692,38472.91403532043,0.6774964349532486,24111.209923190036
R015,R01,R-电池06,37633.1499894082,38728.690950338045,40660.13963482309,41755.680595752936,38758.690950338045,40630.13963482309,0.6728717896058471,25397.14080044478
R009,R02,R-电池02,39906.02259772783,40893.73650240352,42649.2259797446,43636.93988442029,40923.73650240352,42619.2259797446,0.6064261593204695,26562.03239027312
R019,无需中继,无需中继,15232.998834378312,15232.998834378312,16683.60333191273,16683.60333191273,,,0.0,0.0
