资源编号,资源类型,任务编号,活动,开始_s,结束_s
U08,运输无人机,T007,运输架次,2106.7044248508514,3619.44577986189
U07,运输无人机,T008,运输架次,2415.0589732457174,3861.800328256756
U07,运输无人机,T019,运输架次,9160.858401363812,10865.634500409722
U06,运输无人机,T020,运输架次,9291.076237184689,10395.187722607508
U06,运输无人机,T017,运输架次,7426.106483225792,8997.373126400122
U08,运输无人机,T002,运输架次,1223.3213784305688,3330.02580328142
U07,运输无人机,T001,运输架次,0.0,2415.0589732457174
U05,运输无人机,T024,运输架次,34619.94660739143,36315.436084732515
U05,运输无人机,T028,运输架次,40923.73650240352,42619.2259797446
U07,运输无人机,T012,运输架次,17910.09995563003,20279.396092897132
U08,运输无人机,T011,运输架次,14801.21323668376,17328.664433886766
U08,运输无人机,T015,运输架次,25098.60182903075,27813.364401343657
U06,运输无人机,T013,运输架次,20231.08094543876,22102.529629923807
U05,运输无人机,T014,运输架次,23104.70064987928,25036.149334364327
U06,运输无人机,T027,运输架次,38758.690950338045,40630.13963482309
U08,运输无人机,T022,运输架次,31157.802102019108,33725.98178964117
U07,运输无人机,T016,运输架次,6917.881659636339,8656.536421656434
U06,运输无人机,T025,运输架次,11910.945652358843,13361.550149893264
U06,运输无人机,T029,运输架次,15232.998834378312,16683.60333191273
U05,运输无人机,T021,运输架次,9407.793439006176,10554.848908100435
U06,运输无人机,T023,运输架次,30913.59580808874,32429.353737840076
U06,运输无人机,T009,运输架次,9861.896966146294,11893.5241127565
U05,运输无人机,T010,运输架次,13087.310576396805,15047.227797170317
U05,运输无人机,T026,运输架次,36632.99681454692,38472.91403532043
U05,运输无人机,T018,运输架次,27338.11359894056,28894.29353956668
U06,运输无人机,T005,运输架次,5720.270315842843,7270.783250771217
U05,运输无人机,T003,运输架次,1142.1987280369094,3066.779800069487
U05,运输无人机,T006,运输架次,9260.99695884057,10770.911440050899
U06,运输无人机,T004,运输架次,5535.338077623428,7404.723843324159
R01,中继无人机,R006,中继飞行与服务,0.0,4553.347181711989
R-电池01,中继能源组件,R006,充电周转,4553.347181711989,6353.347181711989
R02,中继无人机,R027,中继飞行与服务,0.0,4208.978528106396
R-电池02,中继能源组件,R027,充电周转,4208.978528106396,6008.978528106396
R02,中继无人机,R029,中继飞行与服务,4508.978528106396,8431.083392841192
R-电池03,中继能源组件,R029,充电周转,8431.083392841192,10231.083392841192
R01,中继无人机,R026,中继飞行与服务,4853.34718171199,8137.706384902071
R-电池04,中继能源组件,R026,充电周转,8137.706384902071,9937.70638490207
R01,中继无人机,R028,中继飞行与服务,8437.70638490207,11594.202013989398
R-电池05,中继能源组件,R028,充电周转,11594.202013989398,13394.202013989398
R02,中继无人机,R022,中继飞行与服务,8731.083392841192,13024.337686061604
R-电池06,中继能源组件,R022,充电周转,13024.337686061604,14824.337686061604
R01,中继无人机,R023,中继飞行与服务,11894.202013989398,16240.336359577725
R-电池02,中继能源组件,R023,充电周转,16240.336359577725,18040.336359577726
R02,中继无人机,R011,中继飞行与服务,13324.337686061604,18805.53998450892
R-电池01,中继能源组件,R011,充电周转,18805.53998450892,20605.53998450892
R01,中继无人机,R010,中继飞行与服务,16540.336359577726,21649.15968894944
R-电池04,中继能源组件,R010,充电周转,21649.15968894944,23449.15968894944
R02,中继无人机,R013,中继飞行与服务,19105.53998450892,23228.070590853647
R-电池03,中继能源组件,R013,充电周转,23228.070590853647,25028.070590853647
R01,中继无人机,R014,中继飞行与服务,21949.15968894944,26191.690295294167
R-电池05,中继能源组件,R014,充电周转,26191.690295294167,27991.690295294167
R02,中继无人机,R012,中继飞行与服务,23528.070590853647,29383.89563952076
R-电池06,中继能源组件,R012,充电周转,29383.89563952076,31183.89563952076
R01,中继无人机,R025,中继飞行与服务,26491.690295294167,29740.71684321307
R-电池02,中继能源组件,R025,充电周转,29740.71684321307,31540.71684321307
R02,中继无人机,R016,中继飞行与服务,29683.89563952076,35199.88825213951
R-电池01,中继能源组件,R016,充电周转,35199.88825213951,36999.88825213951
R01,中继无人机,R021,中继飞行与服务,30040.71684321307,33302.232702715744
R-电池04,中继能源组件,R021,充电周转,33302.232702715744,35102.232702715744
R01,中继无人机,R008,中继飞行与服务,33602.232702715744,37333.1499894082
R-电池03,中继能源组件,R008,充电周转,37333.1499894082,39133.1499894082
R02,中继无人机,R024,中继飞行与服务,35499.88825213951,39606.02259772783
R-电池05,中继能源组件,R024,充电周转,39606.02259772783,41406.02259772783
R01,中继无人机,R015,中继飞行与服务,37633.1499894082,41755.680595752936
R-电池06,中继能源组件,R015,充电周转,41755.680595752936,43555.680595752936
R02,中继无人机,R009,中继飞行与服务,39906.02259772783,43636.93988442029
R-电池02,中继能源组件,R009,充电周转,43636.93988442029,45436.93988442029
