方案编号,及时性,联合完成_s,总能耗_kWh,运输架次,中继架次,通信中断_s,硬时限违反_s
1,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
2,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
3,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
4,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
5,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
6,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
7,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
8,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
9,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
10,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
11,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
12,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
13,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
14,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
15,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
16,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
17,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
18,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
19,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
20,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
21,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
22,5287679.029294432,43636.93988442029,95.66418030025817,29,19,0.0,145177.47294796008
