路线编号,架次编号,机型编号,停靠序列,起飞_s,返航_s,通信中断_s,覆盖率,是否需要中继,中继点,经度,纬度,悬停高度_m
R001,T007,C,O01->S001->O01,2106.7044248508514,3619.44577986189,0.0,1.0,False,O01,109.2308517,23.0085095,80.0
R002,T008,C,O01->S001->O01,2415.0589732457174,3861.800328256756,0.0,1.0,False,O01,109.2308517,23.0085095,80.0
R003,T019,C,O01->S001->S011->O01,9160.858401363812,10865.634500409722,0.0,1.0,False,O01,109.2308517,23.0085095,80.0
R004,T020,B,O01->S001->O01,9291.076237184689,10395.187722607508,0.0,1.0,False,O01,109.2308517,23.0085095,80.0
R005,T017,B,O01->S011->S001->O01,7426.106483225792,8997.373126400122,0.0,1.0,False,O01,109.2308517,23.0085095,80.0
R006,T002,C,O01->S002->O01,1223.3213784305688,3330.02580328142,0.0,1.0,True,O01-S001-0.50,109.2370418,23.0210511,80.0
R007,T001,C,O01->S006->S007->O01,0.0,2415.0589732457174,0.0,1.0,False,O01,109.2308517,23.0085095,80.0
R008,T024,B,O01->S002->O01,34619.94660739143,36315.436084732515,0.0,1.0,True,O01-S001-0.50,109.2370418,23.0210511,80.0
R009,T028,B,O01->S002->O01,40923.73650240352,42619.2259797446,0.0,1.0,True,O01-S001-0.50,109.2370418,23.0210511,80.0
R010,T012,C,O01->S003->O01,17910.09995563003,20279.396092897132,0.0,1.0,True,S011-O01-0.50,109.22559365000001,23.0202163,160.0
R011,T011,C,O01->S003->S015->O01,14801.21323668376,17328.664433886766,0.0,1.0,True,S011-O01-0.35,109.224016235,23.023728339999998,160.0
R012,T015,C,O01->S007->S003->S015->O01,25098.60182903075,27813.364401343657,0.0,1.0,True,S011-O01-0.35,109.224016235,23.023728339999998,160.0
R013,T013,B,O01->S004->O01,20231.08094543876,22102.529629923807,0.0,1.0,True,S011-O01-0.35,109.224016235,23.023728339999998,80.0
R014,T014,B,O01->S004->O01,23104.70064987928,25036.149334364327,0.0,1.0,True,S011-O01-0.35,109.224016235,23.023728339999998,80.0
R015,T027,B,O01->S004->O01,38758.690950338045,40630.13963482309,0.0,1.0,True,S011-O01-0.35,109.224016235,23.023728339999998,80.0
R016,T022,C,O01->S004->S008->O01,31157.802102019108,33725.98178964117,0.0,1.0,True,S011-O01-0.35,109.224016235,23.023728339999998,80.0
R017,T016,C,O01->S005->O01,6917.881659636339,8656.536421656434,0.0,1.0,False,O01,109.2308517,23.0085095,80.0
R018,T025,B,O01->S005->O01,11910.945652358843,13361.550149893264,0.0,1.0,False,O01,109.2308517,23.0085095,80.0
R019,T029,B,O01->S005->O01,15232.998834378312,16683.60333191273,0.0,1.0,False,O01,109.2308517,23.0085095,80.0
R020,T021,B,O01->S006->O01,9407.793439006176,10554.848908100435,0.0,1.0,False,O01,109.2308517,23.0085095,80.0
R021,T023,B,O01->S007->O01,30913.59580808874,32429.353737840076,0.0,1.0,True,O01,109.2308517,23.0085095,240.0
R022,T009,B,O01->S007->S015->O01,9861.896966146294,11893.5241127565,0.0,1.0,True,O01,109.2308517,23.0085095,240.0
R023,T010,B,O01->S008->O01,13087.310576396805,15047.227797170317,0.0,1.0,True,S011-O01-0.35,109.224016235,23.023728339999998,160.0
R024,T026,B,O01->S008->O01,36632.99681454692,38472.91403532043,0.0,1.0,True,S011-O01-0.35,109.224016235,23.023728339999998,160.0
R025,T018,B,O01->S009->O01,27338.11359894056,28894.29353956668,0.0,1.0,True,O01,109.2308517,23.0085095,80.0
R026,T005,B,O01->S010->O01,5720.270315842843,7270.783250771217,0.0,1.0,True,O01,109.2308517,23.0085095,160.0
R027,T003,B,O01->S012->O01,1142.1987280369094,3066.779800069487,0.0,1.0,True,O01-S010-0.35,109.246659485,23.012321489999998,80.0
R028,T006,B,O01->S013->O01,9260.99695884057,10770.911440050899,0.0,1.0,True,O01,109.2308517,23.0085095,80.0
R029,T004,B,O01->S014->O01,5535.338077623428,7404.723843324159,0.0,1.0,True,O01,109.2308517,23.0085095,160.0
