迭代,目标值,通信中断_s,硬时限违反_s,联合完成_s,总能耗_kWh,中继架次
1,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
2,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
3,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
4,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
5,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
6,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
7,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
8,295579.83307259326,0.0,145177.47294796008,43636.93988442029,95.67147950406329,19
9,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
10,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
11,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
12,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
13,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
14,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
15,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
16,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
17,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
18,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
19,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
20,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
21,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
22,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
23,295579.8143485487,0.0,145177.47294796008,43636.93988442029,95.66418030025817,19
24,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
25,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
26,295579.95643558574,0.0,145177.47294796008,43683.60655108696,95.68913400396187,19
27,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
28,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
29,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
30,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
31,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
32,295579.8477411413,0.0,145177.47294796008,43683.60655108696,95.67843955951743,19
