货箱编号,预测送达_s
S001-WAT-01,2902.4121701069225
S001-WAT-02,2902.4121701069225
S001-WAT-04,2902.4121701069225
S001-WAT-05,2902.4121701069225
S001-WAT-06,2902.4121701069225
S001-WAT-07,3247.0667185017887
S001-FOD-02,3247.0667185017887
S001-FOD-03,3247.0667185017887
S001-HYG-01,3247.0667185017887
S001-MED-01,3247.0667185017887
S001-MED-02,3247.0667185017887
S001-WAT-03,10098.485255839063
S001-HYG-02,10098.485255839063
S011-WAT-01,10098.485255839063
S001-WAT-08,9898.337554167241
S001-FOD-01,8290.303136971672
S011-FOD-01,8290.303136971672
S011-MED-01,8290.303136971672
S002-WAT-01,2382.0088120985374
S002-WAT-03,2382.0088120985374
S002-WAT-04,2382.0088120985374
S002-FOD-01,2382.0088120985374
S002-FOD-02,2382.0088120985374
S002-MED-01,2382.0088120985374
S006-WAT-01,1328.2824352851446
S006-WAT-02,1328.2824352851446
S006-FOD-01,1328.2824352851446
S006-HYG-01,1328.2824352851446
S006-MED-01,1328.2824352851446
S007-WAT-01,1328.2824352851446
S007-MED-01,1328.2824352851446
S002-WAT-02,35552.46581992903
S002-HYG-01,42213.0761976426
S003-WAT-04,19213.212831126937
S003-FOD-01,19213.212831126937
S003-FOD-02,19213.212831126937
S003-HYG-01,19213.212831126937
S003-MED-01,19213.212831126937
S003-WAT-01,16191.311450322344
S003-WAT-03,16191.311450322344
S015-FOD-01,16191.311450322344
S003-WAT-02,26591.721243802847
S007-HYG-01,26591.721243802847
S015-WAT-01,26591.721243802847
S004-MED-01,21260.377721905537
S004-WAT-01,24166.997426346057
S004-WAT-02,24166.997426346057
S004-WAT-03,39787.98772680482
S004-FOD-01,32927.12195365584
S004-HYG-01,32927.12195365584
S008-HYG-01,32927.12195365584
S005-WAT-01,7874.141778747392
S005-WAT-03,7874.141778747392
S005-HYG-01,7874.141778747392
S005-MED-01,7874.141778747392
S005-WAT-02,12708.778126002773
S005-FOD-01,16030.831308022242
S006-WAT-03,10038.67394700802
S007-WAT-02,31747.262669451975
S007-FOD-01,10979.29213220655
S015-MED-01,10979.29213220655
S008-WAT-01,14165.265047822235
S008-FOD-01,14165.265047822235
S008-MED-01,14165.265047822235
S008-WAT-02,38001.77194892154
S009-WAT-01,28194.012566284924
S009-FOD-01,28194.012566284924
S009-MED-01,28194.012566284924
S010-WAT-01,6573.052430053449
S010-FOD-01,6573.052430053449
S010-MED-01,6573.052430053449
S012-WAT-01,2200.718435367148
S012-FOD-01,2200.718435367148
S012-MED-01,2200.718435367148
S013-WAT-01,10091.44992350625
S013-FOD-01,10091.44992350625
S013-MED-01,10091.44992350625
S014-WAT-01,6563.500484183472
S014-FOD-01,6563.500484183472
S014-MED-01,6563.500484183472
