架次编号,路线编号,采样点序号,通信状态,相对时间_s
T007,R001,0,直连,0.0
T007,R001,1,直连,103.3386682150742
T007,R001,2,直连,206.6773364301484
T007,R001,3,直连,310.01600464522255
T007,R001,4,直连,413.3546728602968
T007,R001,5,直连,516.693341075371
T007,R001,6,直连,620.0320092904451
T007,R001,7,直连,723.3706775055192
T007,R001,8,直连,826.7093457205935
T007,R001,9,直连,930.0480139356678
T007,R001,10,直连,1033.386682150742
T007,R001,11,直连,1136.725350365816
T007,R001,12,直连,1240.0640185808902
T007,R001,13,直连,1343.4026867959644
T007,R001,14,直连,1446.7413550110384
T008,R002,0,直连,0.0
T008,R002,1,直连,108.0529539293599
T008,R002,2,直连,216.1059078587198
T008,R002,3,直连,324.1588617880797
T008,R002,4,直连,432.2118157174396
T008,R002,5,直连,540.2647696467996
T008,R002,6,直连,648.3177235761594
T008,R002,7,直连,756.3706775055192
T008,R002,8,直连,864.4236314348792
T008,R002,9,直连,972.4765853642392
T008,R002,10,直连,1080.529539293599
T008,R002,11,直连,1188.5824932229589
T008,R002,12,直连,1296.6354471523189
T008,R002,13,直连,1404.6884010816789
T008,R002,14,直连,1512.7413550110384
T019,R003,0,直连,0.0
T019,R003,1,直连,81.17981424028146
T019,R003,2,直连,162.35962848056292
T019,R003,3,直连,243.5394427208444
T019,R003,4,直连,324.71925696112584
T019,R003,5,直连,405.89907120140725
T019,R003,6,直连,487.0788854416888
T019,R003,7,直连,568.2586996819703
T019,R003,8,直连,649.4385139222517
T019,R003,9,直连,730.6183281625331
T019,R003,10,直连,811.7981424028145
T019,R003,11,直连,892.9779566430959
T019,R003,12,直连,974.1577708833776
T019,R003,13,直连,1055.337585123659
T019,R003,14,直连,1136.5173993639405
T019,R003,15,直连,1217.6972136042218
T019,R003,16,直连,1298.8770278445033
T019,R003,17,直连,1380.0568420847846
T019,R003,18,直连,1461.2366563250662
T019,R003,19,直连,1542.4164705653475
T019,R003,20,直连,1623.596284805629
T019,R003,21,直连,1704.7760990459105
T020,R004,0,直连,0.0
T020,R004,1,直连,78.86510610163018
T020,R004,2,直连,157.73021220326035
T020,R004,3,直连,236.5953183048905
T020,R004,4,直连,315.4604244065207
T020,R004,5,直连,394.32553050815085
T020,R004,6,直连,473.190636609781
T020,R004,7,直连,552.0557427114112
T020,R004,8,直连,630.9208488130414
T020,R004,9,直连,709.7859549146715
T020,R004,10,直连,788.6510610163017
T020,R004,11,直连,867.5161671179319
T020,R004,12,直连,946.381273219562
T020,R004,13,直连,1025.2463793211923
T020,R004,14,直连,1104.1114854228224
T017,R005,0,直连,0.0
T017,R005,1,直连,74.82222110353945
T017,R005,2,直连,149.6444422070789
T017,R005,3,直连,224.46666331061837
T017,R005,4,直连,299.2888844141578
T017,R005,5,直连,374.11110551769724
T017,R005,6,直连,448.93332662123674
T017,R005,7,直连,523.7555477247761
T017,R005,8,直连,598.5777688283156
T017,R005,9,直连,673.3999899318551
T017,R005,10,直连,748.2222110353945
T017,R005,11,直连,823.0444321389339
T017,R005,12,直连,897.8666532424735
T017,R005,13,直连,972.6888743460129
T017,R005,14,直连,1047.5110954495522
T017,R005,15,直连,1122.333316553092
T017,R005,16,直连,1197.1555376566312
T017,R005,17,直连,1271.9777587601707
T017,R005,18,直连,1346.7999798637102
T017,R005,19,直连,1421.6222009672497
T017,R005,20,直连,1496.444422070789
T017,R005,21,直连,1571.2666431743285
T002,R006,0,直连,0.0
T002,R006,1,直连,150.47888748934653
T002,R006,2,直连,300.95777497869307
T002,R006,3,直连,451.4366624680396
T002,R006,4,直连,601.9155499573861
T002,R006,5,中继,752.3944374467327
T002,R006,6,中继,902.8733249360791
T002,R006,7,中继,1053.3522124254257
T002,R006,8,中继,1203.8310999147723
T002,R006,9,中继,1354.3099874041186
T002,R006,10,直连,1504.7888748934654
T002,R006,11,直连,1655.2677623828117
T002,R006,12,直连,1805.7466498721583
T002,R006,13,直连,1956.2255373615048
T002,R006,14,直连,2106.7044248508514
T001,R007,0,直连,0.0
T001,R007,1,直连,115.00280824979606
T001,R007,2,直连,230.00561649959212
T001,R007,3,直连,345.0084247493882
T001,R007,4,直连,460.01123299918424
T001,R007,5,直连,575.0140412489803
T001,R007,6,直连,690.0168494987764
T001,R007,7,直连,805.0196577485725
T001,R007,8,直连,920.0224659983685
T001,R007,9,直连,1035.0252742481646
T001,R007,10,直连,1150.0280824979607
T001,R007,11,直连,1265.0308907477568
T001,R007,12,直连,1380.0336989975528
T001,R007,13,直连,1495.0365072473487
T001,R007,14,直连,1610.039315497145
T001,R007,15,直连,1725.0421237469411
T001,R007,16,直连,1840.044931996737
T001,R007,17,直连,1955.047740246533
T001,R007,18,直连,2070.050548496329
T001,R007,19,直连,2185.0533567461252
T001,R007,20,直连,2300.0561649959213
T001,R007,21,直连,2415.0589732457174
T024,R008,0,直连,0.0
T024,R008,1,直连,121.10639123864897
T024,R008,2,直连,242.21278247729794
T024,R008,3,直连,363.31917371594693
T024,R008,4,直连,484.42556495459587
T024,R008,5,中继,605.5319561932448
T024,R008,6,中继,726.6383474318939
T024,R008,7,中继,847.7447386705428
T024,R008,8,中继,968.8511299091917
T024,R008,9,中继,1089.9575211478407
T024,R008,10,直连,1211.0639123864896
T024,R008,11,直连,1332.1703036251386
T024,R008,12,直连,1453.2766948637877
T024,R008,13,直连,1574.3830861024367
T024,R008,14,直连,1695.4894773410856
T028,R009,0,直连,0.0
T028,R009,1,直连,121.10639123864897
T028,R009,2,直连,242.21278247729794
T028,R009,3,直连,363.31917371594693
T028,R009,4,直连,484.42556495459587
T028,R009,5,中继,605.5319561932448
T028,R009,6,中继,726.6383474318939
T028,R009,7,中继,847.7447386705428
T028,R009,8,中继,968.8511299091917
T028,R009,9,中继,1089.9575211478407
T028,R009,10,直连,1211.0639123864896
T028,R009,11,直连,1332.1703036251386
T028,R009,12,直连,1453.2766948637877
T028,R009,13,直连,1574.3830861024367
T028,R009,14,直连,1695.4894773410856
T012,R010,0,直连,0.0
T012,R010,1,直连,169.23543837622154
T012,R010,2,直连,338.4708767524431
T012,R010,3,直连,507.70631512866464
T012,R010,4,中继,676.9417535048862
T012,R010,5,中继,846.1771918811077
T012,R010,6,中继,1015.4126302573293
T012,R010,7,中继,1184.6480686335508
T012,R010,8,中继,1353.8835070097723
T012,R010,9,中继,1523.1189453859938
T012,R010,10,中继,1692.3543837622153
T012,R010,11,直连,1861.589822138437
T012,R010,12,直连,2030.8252605146586
T012,R010,13,直连,2200.06069889088
T012,R010,14,直连,2369.2961372671016
T011,R011,0,直连,0.0
T011,R011,1,直连,120.35481891442889
T011,R011,2,直连,240.70963782885778
T011,R011,3,直连,361.0644567432867
T011,R011,4,直连,481.41927565771556
T011,R011,5,中继,601.7740945721445
T011,R011,6,中继,722.1289134865734
T011,R011,7,中继,842.4837324010022
T011,R011,8,中继,962.8385513154311
T011,R011,9,中继,1083.1933702298602
T011,R011,10,直连,1203.548189144289
T011,R011,11,直连,1323.9030080587177
T011,R011,12,直连,1444.2578269731468
T011,R011,13,直连,1564.6126458875758
T011,R011,14,中继,1684.9674648020043
T011,R011,15,直连,1805.3222837164333
T011,R011,16,直连,1925.6771026308622
T011,R011,17,直连,2046.0319215452914
T011,R011,18,直连,2166.3867404597204
T011,R011,19,直连,2286.741559374149
T011,R011,20,直连,2407.096378288578
T011,R011,21,直连,2527.451197203007
T015,R012,0,直连,0.0
T015,R012,1,直连,96.95580615403232
T015,R012,2,直连,193.91161230806463
T015,R012,3,直连,290.86741846209696
T015,R012,4,直连,387.82322461612927
