route_id,relay_id,battery_id,start,service_start,service_end,end,energy_kWh,delay_s,transport_start,transport_end
R007,无需中继,无需中继,0.0,0.0,2415.0589732457174,2415.0589732457174,0.0,0.0,,
R027,R01,R-电池01,0.0,1112.19884574923,3096.779917781808,4208.978763531038,0.6827763773022963,0.0001177123206161923,1142.19884574923,3066.779917781808
R006,R02,R-电池02,0.0,1193.3213784305688,3360.02580328142,4553.347181711989,0.7320751710595647,0.0,1223.3213784305688,3330.02580328142
R001,无需中继,无需中继,2106.7044248508514,2106.7044248508514,3553.44577986189,3553.44577986189,0.0,0.0,,
R002,无需中继,无需中继,2415.0589732457174,2415.0589732457174,3927.800328256756,3927.800328256756,0.0,0.0,,
R029,R01,R-电池03,4508.978763531038,5505.33831304807,7434.724078748801,8431.083628265833,0.6088863913715198,0.00023542464168713195,5535.33831304807,7404.724078748801
R026,R02,R-电池04,4853.34718171199,5690.270315842843,7300.783250771217,8137.706384902071,0.5114530264132995,0.0,5720.270315842843,7270.783250771217
R017,无需中继,无需中继,6917.881659636339,6917.881659636339,8656.536421656434,8656.536421656434,0.0,0.0,,
R005,无需中继,无需中继,7426.106483225792,7426.106483225792,8997.37312640012,8997.37312640012,0.0,0.0,,
R003,无需中继,无需中继,9160.858401363812,9160.858401363812,10865.634500409722,10865.634500409722,0.0,0.0,,
R028,R02,R-电池05,8437.70638490207,9230.99695884057,10800.911440050899,11594.202013989398,0.48478868407352677,0.0,9260.99695884057,10770.911440050899
R004,无需中继,无需中继,9291.076237184689,9291.076237184689,10395.18772260751,10395.18772260751,0.0,0.0,,
R020,无需中继,无需中继,9407.793439006176,9407.793439006176,10554.848908100435,10554.848908100435,0.0,0.0,,
R022,R01,R-电池06,8731.083628265835,9831.897201570937,11923.524348181143,13024.337921486247,0.6727194059086742,0.00023542464259662665,9861.897201570937,11893.524348181143
R018,无需中继,无需中继,11910.945652358843,11910.945652358843,13361.550149893263,13361.550149893263,0.0,0.0,,
R023,R02,R-电池01,11894.202194237107,13057.310576396803,15077.227797170315,16240.336179330014,0.7141629864616561,0.0,13087.310576396803,15047.227797170315
R011,R01,R-电池02,13324.337921486247,14771.213291860691,17358.664489063696,18805.53985943814,0.8875761459262239,5.517693170986604e-05,14801.213291860691,17328.664489063696
R019,无需中继,无需中继,15232.998834378312,15232.998834378312,16683.60333191273,16683.60333191273,0.0,0.0,,
R010,R02,R-电池04,16540.33622831357,17880.09995563003,20309.396092897132,21649.159820213594,0.821340305360511,0.0,17910.09995563003,20279.396092897132
R013,R01,R-电池03,19105.54016475663,20201.08094543876,22132.529629923807,23228.07041060594,0.672871674447588,0.0,20231.08094543876,22102.529629923807
R014,R02,R-电池05,21949.15986919715,23074.70064987928,25066.149334364327,26191.69011504646,0.6912050077809213,0.0,23104.70064987928,25036.149334364327
R012,R01,R-电池06,23528.070771101357,25068.60182903075,27843.364401343657,29383.89545927305,0.9448101772098039,0.0,25098.60182903075,27813.364401343657
R025,R02,R-电池01,26491.690295294167,27308.11359894056,28924.29353956668,29740.71684321307,0.49892535222835155,0.0,27338.11359894056,28894.29353956668
R021,R01,R-电池02,30040.71684321307,30883.59580808874,32459.353737840076,33302.232702715744,0.5150927007573529,0.0,30913.59580808874,32429.353737840076
R016,R02,R-电池04,30040.71684321307,31484.62312546371,34112.80281308577,35556.70909533641,0.8857617031838969,356.82102344460145,31514.62312546371,34082.80281308577
R008,R01,R-电池03,33602.232702715744,34589.94660739143,36345.436084732515,37333.1499894082,0.6064261593204695,0.0,34619.94660739143,36315.436084732515
R024,R02,R-电池05,35856.70909533641,36959.81747749611,38859.73469826962,39962.84308042932,0.6774963197949895,356.8206629491906,36989.81747749611,38829.73469826962
R015,R01,R-电池06,37633.15016965591,38728.690950338045,40660.13963482309,41755.68041550522,0.672871674447588,0.0,38758.690950338045,40630.13963482309
R009,R02,R-电池01,40262.84308042932,41250.556985105,43006.04646244609,43993.76036712177,0.6064261593204695,356.82048270148516,41280.556985105,42976.04646244609
