资源编号,资源类型,任务编号,活动,开始_s,结束_s
U08,运输无人机,T007,运输架次,2106.7044248508514,3553.44577986189
U07,运输无人机,T008,运输架次,2415.0589732457174,3927.800328256756
U07,运输无人机,T019,运输架次,9160.858401363812,10865.634500409722
U06,运输无人机,T020,运输架次,9291.076237184689,10395.18772260751
U06,运输无人机,T017,运输架次,7426.106483225792,8997.37312640012
U08,运输无人机,T002,运输架次,1223.3213784305688,3330.02580328142
U07,运输无人机,T001,运输架次,0.0,2415.0589732457174
U05,运输无人机,T024,运输架次,34619.94660739143,36315.436084732515
U05,运输无人机,T028,运输架次,41280.556985105,42976.04646244609
U07,运输无人机,T012,运输架次,17910.09995563003,20279.396092897132
U08,运输无人机,T011,运输架次,14801.213291860691,17328.664489063696
U08,运输无人机,T015,运输架次,25098.60182903075,27813.364401343657
U06,运输无人机,T013,运输架次,20231.08094543876,22102.529629923807
U05,运输无人机,T014,运输架次,23104.70064987928,25036.149334364327
U06,运输无人机,T027,运输架次,38758.690950338045,40630.13963482309
U08,运输无人机,T022,运输架次,31514.62312546371,34082.80281308577
U07,运输无人机,T016,运输架次,6917.881659636339,8656.536421656434
U06,运输无人机,T025,运输架次,11910.945652358843,13361.550149893263
U06,运输无人机,T029,运输架次,15232.998834378312,16683.60333191273
U05,运输无人机,T021,运输架次,9407.793439006176,10554.848908100435
U06,运输无人机,T023,运输架次,30913.59580808874,32429.353737840076
U06,运输无人机,T009,运输架次,9861.897201570937,11893.524348181143
U05,运输无人机,T010,运输架次,13087.310576396803,15047.227797170315
U05,运输无人机,T026,运输架次,36989.81747749611,38829.73469826962
U05,运输无人机,T018,运输架次,27338.11359894056,28894.29353956668
U06,运输无人机,T005,运输架次,5720.270315842843,7270.783250771217
U05,运输无人机,T003,运输架次,1142.19884574923,3066.779917781808
U05,运输无人机,T006,运输架次,9260.99695884057,10770.911440050899
U06,运输无人机,T004,运输架次,5535.33831304807,7404.724078748801
R01,中继无人机,R027,中继飞行与服务,0.0,4208.978763531038
R02,中继无人机,R006,中继飞行与服务,0.0,4553.347181711989
R01,中继无人机,R029,中继飞行与服务,4508.978763531038,8431.083628265833
R02,中继无人机,R026,中继飞行与服务,4853.34718171199,8137.706384902071
R02,中继无人机,R028,中继飞行与服务,8437.70638490207,11594.202013989398
R01,中继无人机,R022,中继飞行与服务,8731.083628265835,13024.337921486247
R02,中继无人机,R023,中继飞行与服务,11894.202194237107,16240.336179330014
R01,中继无人机,R011,中继飞行与服务,13324.337921486247,18805.53985943814
R02,中继无人机,R010,中继飞行与服务,16540.33622831357,21649.159820213594
R01,中继无人机,R013,中继飞行与服务,19105.54016475663,23228.07041060594
R02,中继无人机,R014,中继飞行与服务,21949.15986919715,26191.69011504646
R01,中继无人机,R012,中继飞行与服务,23528.070771101357,29383.89545927305
R02,中继无人机,R025,中继飞行与服务,26491.690295294167,29740.71684321307
R01,中继无人机,R021,中继飞行与服务,30040.71684321307,33302.232702715744
R02,中继无人机,R016,中继飞行与服务,30040.71684321307,35556.70909533641
R01,中继无人机,R008,中继飞行与服务,33602.232702715744,37333.1499894082
R02,中继无人机,R024,中继飞行与服务,35856.70909533641,39962.84308042932
R01,中继无人机,R015,中继飞行与服务,37633.15016965591,41755.68041550522
R02,中继无人机,R009,中继飞行与服务,40262.84308042932,43993.76036712177
