路线编号,架次编号,机型编号,停靠序列,起飞_s,返航_s,通信中断_s,覆盖率,是否需要中继,中继点,中继经度,中继纬度,悬停高度_m,路线能耗_kWh,路线时间_s
R001,T007,C,O01->S001->O01,2106.7044248508514,3619.44577986189,0.0,1.0,False,O01-S001-0.35,109.2351848,23.0172886,80.0,2.724536208772231,1446.7413550110386
R002,T008,C,O01->S001->O01,2415.0589732457174,3861.800328256756,0.0,1.0,False,O01-S001-0.35,109.2351848,23.0172886,80.0,2.2103808441599107,1512.7413550110386
R003,T019,C,O01->S001->S011->O01,9160.858401363812,10865.634500409722,0.0,1.0,False,O01-S001-0.35,109.2351848,23.0172886,80.0,2.8320971694728785,1704.7760990459103
R004,T020,B,O01->S001->O01,9291.076237184689,10395.187722607508,0.0,1.0,False,O01-S001-0.35,109.2351848,23.0172886,80.0,1.0112049393210358,1104.1114854228224
R005,T017,B,O01->S011->S001->O01,7426.106483225792,8997.373126400122,0.0,1.0,False,O01-S001-0.35,109.2351848,23.0172886,80.0,1.3994204723776875,1571.2666431743285
R006,T002,C,O01->S002->O01,1223.3213784305688,3330.02580328142,0.0,1.0,True,O01-S001-0.65,109.2388988,23.0248136,80.0,5.939253283144809,2106.7044248508514
R007,T001,C,O01->S006->S007->O01,0.0,2415.0589732457174,0.0,1.0,False,S006,109.1997836,23.007714,80.0,4.009403221321603,2415.0589732457174
R008,T024,B,O01->S002->O01,34619.94660739143,36315.43608473252,0.0,1.0,True,O01-S001-0.65,109.2388988,23.0248136,80.0,2.357571326055035,1695.4894773410856
R009,T028,B,O01->S002->O01,40923.73650240352,42619.2259797446,0.0,1.0,True,O01-S001-0.65,109.2388988,23.0248136,80.0,2.2269447720031303,1695.4894773410856
R010,T012,C,O01->S003->O01,17910.09995563003,20279.39609289713,0.0,1.0,True,S007-O01-0.35,109.2061305,23.0221004,160.0,5.204837200224517,2369.2961372671016
R011,T011,C,O01->S003->S015->O01,14801.21323668376,17328.664433886766,0.0,1.0,True,grid-1-1,109.2071041,23.0299769,160.0,5.5745294947777815,2527.451197203007
R012,T015,C,O01->S007->S003->S015->O01,25098.60182903075,27813.364401343657,0.0,1.0,True,grid-1-1,109.2071041,23.0299769,160.0,5.513626746775261,2714.762572312905
R013,T013,B,O01->S004->O01,20231.08094543876,22102.529629923807,0.0,1.0,True,O01-S005-0.50,109.229576,23.0323217,80.0,2.330595902879389,1871.448684485047
R014,T014,B,O01->S004->O01,23104.70064987928,25036.149334364327,0.0,1.0,True,O01-S005-0.50,109.229576,23.0323217,80.0,3.034662205647039,1931.448684485047
R015,T027,B,O01->S004->O01,38758.690950338045,40630.13963482309,0.0,1.0,True,O01-S005-0.50,109.229576,23.0323217,80.0,2.501148786933749,1871.448684485047
R016,T022,C,O01->S004->S008->O01,31157.802102019108,33725.98178964117,0.0,1.0,True,O01-S005-0.50,109.229576,23.0323217,80.0,6.001077577408823,2568.179687622058
R017,T016,C,O01->S005->O01,6917.881659636339,8656.536421656434,0.0,1.0,False,O01,109.2308517,23.0085095,80.0,3.687395997735556,1738.6547620200963
R018,T025,B,O01->S005->O01,11910.945652358843,13361.550149893264,0.0,1.0,False,O01,109.2308517,23.0085095,80.0,1.715184424830449,1450.6044975344194
R019,T029,B,O01->S005->O01,15232.998834378312,16683.60333191273,0.0,1.0,False,O01,109.2308517,23.0085095,80.0,1.6388115556324068,1450.6044975344194
R020,T021,B,O01->S006->O01,9407.793439006176,10554.848908100435,0.0,1.0,False,S006,109.1997836,23.007714,80.0,1.0656891307004104,1147.0554690942588
R021,T023,B,O01->S007->O01,30913.59580808874,32429.35373784008,0.0,1.0,True,S011-O01-0.50,109.2255936,23.0202163,80.0,1.5518249989923103,1515.7579297513366
R022,T009,B,O01->S007->S015->O01,9861.896966146294,11893.5241127565,0.0,1.0,True,S007-O01-0.50,109.2118354,23.0189641,80.0,2.0659131955309142,2031.6271466102064
R023,T010,B,O01->S008->O01,13087.310576396803,15047.227797170315,0.0,1.0,True,S008-O01-0.65,109.2245151,23.0333601,80.0,2.9700117999079167,1959.9172207735123
R024,T026,B,O01->S008->O01,36632.99681454692,38472.91403532043,0.0,1.0,True,S008-O01-0.65,109.2245151,23.0333601,80.0,2.584819253035307,1839.9172207735123
R025,T018,B,O01->S009->O01,27338.11359894056,28894.29353956668,0.0,1.0,True,O01-S001-0.50,109.2370418,23.0210511,80.0,2.092483919948489,1556.17994062612
R026,T005,B,O01->S010->O01,5720.270315842843,7270.783250771217,0.0,1.0,True,O01-S010-0.35,109.2466595,23.0123215,80.0,1.8202689637505207,1550.512934928374
R027,T003,B,O01->S012->O01,1142.1987280369094,3066.779800069487,0.0,1.0,True,O01-S012-0.35,109.2491511,23.0245936,80.0,2.750471619951881,1924.5810720325776
R028,T006,B,O01->S013->O01,9260.99695884057,10770.9114400509,0.0,1.0,True,O01-S010-0.35,109.2466595,23.0123215,80.0,1.823168597254948,1509.91448121033
R029,T004,B,O01->S014->O01,5535.338077623428,7404.723843324159,0.0,1.0,True,O01-S014-0.35,109.2493124,23.0073546,80.0,2.1391805071457104,1869.385765700731
