方法,任务组数,分区编码,资源缺口,总资源需求,均衡系数,资源冗余
精确枚举,2,0-1-1-0-0-0-1-1-1-0,1,25,0.001966132516047481,30
精确枚举,2,0-1-1-0-0-1-1-0-0-1,0,24,0.0045699268975942465,30
精确枚举,2,0-1-1-0-1-0-0-0-0-0,0,23,0.0067404190156362485,30
精确枚举,2,0-1-1-1-0-0-1-0-0-0,0,22,0.3385779209805628,30
精确枚举,2,0-1-1-1-0-1-1-1-1-1,1,21,0.5645868528660836,30
精确枚举,3,0-0-1-2-0-2-2-1-2-2,1,30,0.013423986227348436,30
精确枚举,3,0-0-1-2-0-2-2-2-2-1,1,29,0.01878958194197869,30
精确枚举,3,0-0-1-2-2-0-0-1-0-2,1,32,0.01255165051547327,30
精确枚举,3,0-0-1-2-2-0-0-1-2-0,1,33,0.005742866701192797,30
精确枚举,3,0-1-1-1-0-2-1-2-2-2,0,22,0.7241143710729032,30
精确枚举,3,0-1-2-1-0-0-0-0-0-2,0,29,0.0319863983990544,30
精确枚举,3,0-1-2-1-0-0-2-0-1-0,0,27,0.08489485524604605,30
精确枚举,3,0-1-2-1-0-1-2-2-1-2,0,25,0.24609069190492797,30
精确枚举,3,0-1-2-1-0-2-1-2-1-2,0,26,0.2456569717699815,30
精确枚举,3,0-1-2-2-0-1-1-2-1-2,0,23,0.5349849512948359,30
精确枚举,3,0-1-2-2-0-1-2-2-1-1,0,24,0.5265869930216651,30
