迭代,目标值,资源缺口,总资源需求,均衡系数,资源冗余,任务组数
2,2528.5717301641207,0,24,0.009857173016412082,30,2
3,2528.5717301641207,0,24,0.009857173016412082,30,2
6,2503.2024915934644,0,24,0.0073202491593464545,30,2
9,4197.716380178634,0,24,0.17677163801786333,30,2
11,4197.716380178634,0,24,0.17677163801786333,30,2
15,4197.716380178634,0,24,0.17677163801786333,30,2
18,4197.716380178634,0,24,0.17677163801786333,30,2
19,4078.8146196092266,0,24,0.16488146196092268,30,2
20,2475.6992689759427,0,24,0.0045699268975942465,30,2
22,2475.6992689759427,0,24,0.0045699268975942465,30,2
26,2475.6992689759427,0,24,0.0045699268975942465,30,2
28,2475.6992689759427,0,24,0.0045699268975942465,30,2
32,2475.6992689759427,0,24,0.0045699268975942465,30,2
33,2475.6992689759427,0,24,0.0045699268975942465,30,2
37,2475.6992689759427,0,24,0.0045699268975942465,30,2
38,2475.6992689759427,0,24,0.0045699268975942465,30,2
39,2475.6992689759427,0,24,0.0045699268975942465,30,2
40,2475.6992689759427,0,24,0.0045699268975942465,30,2
41,2475.6992689759427,0,24,0.0045699268975942465,30,2
43,2475.6992689759427,0,24,0.0045699268975942465,30,2
45,2475.6992689759427,0,24,0.0045699268975942465,30,2
46,2475.6992689759427,0,24,0.0045699268975942465,30,2
49,2475.6992689759427,0,24,0.0045699268975942465,30,2
50,2475.6992689759427,0,24,0.0045699268975942465,30,2
52,2475.6992689759427,0,24,0.0045699268975942465,30,2
55,2959.745336069411,0,24,0.05297453360694111,30,2
62,2959.745336069411,0,24,0.05297453360694111,30,2
63,2959.745336069411,0,24,0.05297453360694111,30,2
64,3594.7685525157576,0,24,0.11647685525157575,30,2
65,3594.7685525157576,0,24,0.11647685525157575,30,2
67,3594.7685525157576,0,24,0.11647685525157575,30,2
68,3594.7685525157576,0,24,0.11647685525157575,30,2
69,3594.7685525157576,0,24,0.11647685525157575,30,2
71,4275.03711355019,0,24,0.184503711355019,30,2
74,4275.03711355019,0,24,0.184503711355019,30,2
75,4275.03711355019,0,24,0.184503711355019,30,2
82,4275.03711355019,0,24,0.184503711355019,30,2
86,4275.03711355019,0,24,0.184503711355019,30,2
88,3713.670313085164,0,24,0.1283670313085164,30,2
89,4275.03711355019,0,24,0.184503711355019,30,2
90,4275.03711355019,0,24,0.184503711355019,30,2
94,4275.03711355019,0,24,0.184503711355019,30,2
96,4759.08318064366,0,24,0.23290831806436593,30,2
99,4759.08318064366,0,24,0.23290831806436593,30,2
100,4223.08561874929,0,24,0.17930856187492902,30,2
102,4223.08561874929,0,24,0.17930856187492902,30,2
104,3442.817057714857,0,23,0.11128170577148572,30,2
105,4078.8146196092266,0,24,0.16488146196092268,30,2
106,4078.8146196092266,0,24,0.16488146196092268,30,2
107,4078.8146196092266,0,24,0.16488146196092268,30,2
112,4078.8146196092266,0,24,0.16488146196092268,30,2
114,4078.8146196092266,0,24,0.16488146196092268,30,2
115,3594.7685525157576,0,24,0.11647685525157575,30,2
116,3594.7685525157576,0,24,0.11647685525157575,30,2
117,3713.670313085164,0,24,0.1283670313085164,30,2
118,3177.6727511907957,0,24,0.07476727511907955,30,2
119,3177.6727511907957,0,24,0.07476727511907955,30,2
125,3177.6727511907957,0,24,0.07476727511907955,30,2
126,2397.4041901563623,0,23,0.0067404190156362485,30,2
127,3376.8411373943736,0,24,0.09468411373943736,30,2
130,2892.7950703009046,0,24,0.04627950703009044,30,2
132,2892.7950703009046,0,24,0.04627950703009044,30,2
139,2892.7950703009046,0,24,0.04627950703009044,30,2
140,2892.7950703009046,0,24,0.04627950703009044,30,2
142,3376.8411373943736,0,24,0.09468411373943736,30,2
144,3376.8411373943736,0,24,0.09468411373943736,30,2
146,3376.8411373943736,0,24,0.09468411373943736,30,2
147,3376.8411373943736,0,24,0.09468411373943736,30,2
153,3376.8411373943736,0,24,0.09468411373943736,30,2
154,2892.7950703009046,0,24,0.04627950703009044,30,2
156,2892.7950703009046,0,24,0.04627950703009044,30,2
157,2503.2024915934644,0,24,0.0073202491593464545,30,2
160,2503.2024915934644,0,24,0.0073202491593464545,30,2
161,2503.2024915934644,0,24,0.0073202491593464545,30,2
162,2503.2024915934644,0,24,0.0073202491593464545,30,2
165,2503.2024915934644,0,24,0.0073202491593464545,30,2
170,2503.2024915934644,0,24,0.0073202491593464545,30,2
171,2503.2024915934644,0,24,0.0073202491593464545,30,2
173,2503.2024915934644,0,24,0.0073202491593464545,30,2
175,2503.2024915934644,0,24,0.0073202491593464545,30,2
176,2503.2024915934644,0,24,0.0073202491593464545,30,2
178,2503.2024915934644,0,24,0.0073202491593464545,30,2
180,2503.2024915934644,0,24,0.0073202491593464545,30,2
181,2503.2024915934644,0,24,0.0073202491593464545,30,2
182,2503.2024915934644,0,24,0.0073202491593464545,30,2
187,2503.2024915934644,0,24,0.0073202491593464545,30,2
188,3037.0660694409685,0,24,0.06070660694409684,30,2
189,3037.0660694409685,0,24,0.06070660694409684,30,2
193,3037.0660694409685,0,24,0.06070660694409684,30,2
196,3521.112136534437,0,24,0.1091112136534437,30,2
197,2840.843575500004,0,24,0.04108435755000041,30,2
199,2840.843575500004,0,24,0.04108435755000041,30,2
200,2840.843575500004,0,24,0.04108435755000041,30,2
202,2840.843575500004,0,24,0.04108435755000041,30,2
204,2840.843575500004,0,24,0.04108435755000041,30,2
206,2840.843575500004,0,24,0.04108435755000041,30,2
207,2840.843575500004,0,24,0.04108435755000041,30,2
208,2840.843575500004,0,24,0.04108435755000041,30,2
211,2580.5232249650217,0,24,0.01505232249650218,30,2
214,2580.5232249650217,0,24,0.01505232249650218,30,2
218,2815.474336929348,0,24,0.03854743369293478,30,2
219,2815.474336929348,0,24,0.03854743369293478,30,2
220,2815.474336929348,0,24,0.03854743369293478,30,2
221,2815.474336929348,0,24,0.03854743369293478,30,2
225,2815.474336929348,0,24,0.03854743369293478,30,2
230,2815.474336929348,0,24,0.03854743369293478,30,2
231,2815.474336929348,0,24,0.03854743369293478,30,2
233,2815.474336929348,0,24,0.03854743369293478,30,2
234,2815.474336929348,0,24,0.03854743369293478,30,2
236,2815.474336929348,0,24,0.03854743369293478,30,2
240,2815.474336929348,0,24,0.03854743369293478,30,2
242,2815.474336929348,0,24,0.03854743369293478,30,2
245,2815.474336929348,0,24,0.03854743369293478,30,2
246,2580.5232249650217,0,24,0.01505232249650218,30,2
247,2580.5232249650217,0,24,0.01505232249650218,30,2
248,2815.474336929348,0,24,0.03854743369293478,30,2
250,2815.474336929348,0,24,0.03854743369293478,30,2
255,2815.474336929348,0,24,0.03854743369293478,30,2
258,2815.474336929348,0,24,0.03854743369293478,30,2
262,2815.474336929348,0,24,0.03854743369293478,30,2
266,2815.474336929348,0,24,0.03854743369293478,30,2
267,2815.474336929348,0,24,0.03854743369293478,30,2
269,2580.5232249650217,0,24,0.01505232249650218,30,2
271,2580.5232249650217,0,24,0.01505232249650218,30,2
274,2580.5232249650217,0,24,0.01505232249650218,30,2
275,2580.5232249650217,0,24,0.01505232249650218,30,2
277,2580.5232249650217,0,24,0.01505232249650218,30,2
280,2580.5232249650217,0,24,0.01505232249650218,30,2
282,2580.5232249650217,0,24,0.01505232249650218,30,2
283,2580.5232249650217,0,24,0.01505232249650218,30,2
284,2580.5232249650217,0,24,0.01505232249650218,30,2
287,2580.5232249650217,0,24,0.01505232249650218,30,2
288,2580.5232249650217,0,24,0.01505232249650218,30,2
291,2580.5232249650217,0,24,0.01505232249650218,30,2
294,2580.5232249650217,0,24,0.01505232249650218,30,2
295,2528.5717301641207,0,24,0.009857173016412082,30,2
298,2528.5717301641207,0,24,0.009857173016412082,30,2
299,2528.5717301641207,0,24,0.009857173016412082,30,2
300,2528.5717301641207,0,24,0.009857173016412082,30,2
1,1003419.8936121612,1,32,0.018989361216111014,30,3
2,5765.399704645482,0,28,0.29353997046454827,30,3
4,6219.714610322437,0,28,0.3389714610322436,30,3
5,6520.554509041635,0,28,0.36905545090416353,30,3
9,6520.554509041635,0,28,0.36905545090416353,30,3
11,7109.514840649549,0,29,0.4179514840649549,30,3
12,7109.514840649549,0,29,0.4179514840649549,30,3
13,7109.514840649549,0,29,0.4179514840649549,30,3
15,7109.514840649549,0,29,0.4179514840649549,30,3
16,6736.286782590321,0,32,0.3506286782590321,30,3
17,5830.141182310013,0,31,0.2700141182310013,30,3
18,4884.493663275052,0,30,0.18544936632750525,30,3
19,4865.915795974501,0,29,0.19359157959745008,30,3
20,4865.915795974501,0,29,0.19359157959745008,30,3
22,4865.915795974501,0,29,0.19359157959745008,30,3
23,5404.359513122708,0,29,0.2474359513122708,30,3
24,5404.359513122708,0,29,0.2474359513122708,30,3
25,5887.660737420281,0,31,0.2757660737420281,30,3
27,5887.660737420281,0,31,0.2757660737420281,30,3
29,5887.660737420281,0,31,0.2757660737420281,30,3
30,7911.564097693514,0,26,0.5281564097693514,30,3
31,7911.564097693514,0,26,0.5281564097693514,30,3
32,7911.564097693514,0,26,0.5281564097693514,30,3
33,5887.660737420281,0,31,0.2757660737420281,30,3
35,6046.051236383893,0,29,0.3116051236383893,30,3
36,6046.051236383893,0,29,0.3116051236383893,30,3
37,6409.674103361207,0,28,0.35796741033612073,30,3
38,6409.674103361207,0,28,0.35796741033612073,30,3
40,5914.451904380065,0,29,0.29844519043800644,30,3
41,8644.19431774897,0,27,0.5914194317748971,30,3
44,8873.429311589916,0,27,0.6143429311589915,30,3
45,7134.8514445965775,0,29,0.4204851444596578,30,3
51,7134.8514445965775,0,29,0.4204851444596578,30,3
52,7134.8514445965775,0,29,0.4204851444596578,30,3
53,7134.8514445965775,0,29,0.4204851444596578,30,3
54,7134.8514445965775,0,29,0.4204851444596578,30,3
56,4718.0362349392835,0,28,0.18880362349392835,30,3
57,4718.0362349392835,0,28,0.18880362349392835,30,3
59,9410.811296752287,0,24,0.6980811296752286,30,3
60,9410.811296752287,0,24,0.6980811296752286,30,3
62,9410.811296752287,0,24,0.6980811296752286,30,3
63,9410.811296752287,0,24,0.6980811296752286,30,3
64,10086.145280757013,0,24,0.7656145280757012,30,3
66,10086.145280757013,0,24,0.7656145280757012,30,3
67,10086.145280757013,0,24,0.7656145280757012,30,3
69,9890.664187985753,0,24,0.7460664187985753,30,3
72,7905.96050149527,0,26,0.527596050149527,30,3
73,7905.96050149527,0,26,0.527596050149527,30,3
74,8568.154043585035,0,27,0.5838154043585034,30,3
76,8568.154043585035,0,27,0.5838154043585034,30,3
77,8568.154043585035,0,27,0.5838154043585034,30,3
78,5949.225391742361,0,29,0.3019225391742361,30,3
79,5949.225391742361,0,29,0.3019225391742361,30,3
80,5242.983418305337,0,28,0.24129834183053375,30,3
83,5242.983418305337,0,28,0.24129834183053375,30,3
