任务组数,分区编码,资源缺口,总资源需求,通信风险均衡系数,工作量均衡系数,资源冗余
2,0-0-0-0-0-0-0-0-0-1,4,24,0.9048163707556957,0.9438633199534974,30
2,0-0-0-0-0-0-0-0-1-0,2,22,0.9048163707556957,0.9517543604538621,30
2,0-0-0-0-0-0-0-0-1-1,2,22,0.8096327419873095,0.8956176804073595,30
2,0-0-0-0-0-0-0-1-0-0,4,24,0.8413606182434382,0.9319731438965567,30
2,0-0-0-0-0-0-0-1-0-1,4,24,0.7461769894750522,0.8758364638500542,30
2,0-0-0-0-0-0-0-1-1-0,2,22,0.7461769894750522,0.8837275043504188,30
2,0-0-0-0-0-0-0-1-1-1,2,22,0.6509933607066659,0.8275908243039163,30
2,0-0-0-0-0-0-1-0-0-0,4,24,0.9048163707556957,0.9515953932906531,30
2,0-0-0-0-0-0-1-0-0-1,4,27,0.8096327419873095,0.8954587132441505,30
2,0-0-0-0-0-0-1-0-1-0,2,22,0.8096327419873095,0.9033497537445151,30
2,0-0-0-0-0-0-1-0-1-1,2,25,0.7144491132189233,0.8472130736980125,30
2,0-0-0-0-0-0-1-1-0-0,4,24,0.7461769894750522,0.8835685371872097,30
2,0-0-0-0-0-0-1-1-0-1,4,27,0.6509933607066659,0.8274318571407073,30
2,0-0-0-0-0-0-1-1-1-0,2,22,0.6509933607066659,0.8353228976410718,30
2,0-0-0-0-0-0-1-1-1-1,2,25,0.5558097319382798,0.7791862175945692,30
2,0-0-0-0-0-1-0-0-0-0,4,24,0.9048163707556957,0.9464002438105632,30
2,0-0-0-0-0-1-0-0-0-1,4,24,0.8096327419873095,0.8902635637640606,30
2,0-0-0-0-0-1-0-0-1-0,2,22,0.8096327419873095,0.8981546042644251,30
2,0-0-0-0-0-1-0-0-1-1,2,22,0.7144491132189233,0.8420179242179224,30
2,0-0-0-0-0-1-0-1-0-0,4,23,0.7461769894750522,0.8783733877071199,30
2,0-0-0-0-0-1-0-1-0-1,4,23,0.6509933607066659,0.8222367076606173,30
2,0-0-0-0-0-1-0-1-1-0,2,21,0.6509933607066659,0.830127748160982,30
2,0-0-0-0-0-1-0-1-1-1,2,21,0.5558097319382798,0.7739910681144793,30
2,0-0-0-0-0-1-1-0-0-0,4,24,0.8096327419873095,0.8979956371012161,30
2,0-0-0-0-0-1-1-0-0-1,4,27,0.7144491132189233,0.8418589570547136,30
2,0-0-0-0-0-1-1-0-1-0,2,22,0.7144491132189233,0.8497499975550782,30
2,0-0-0-0-0-1-1-0-1-1,2,25,0.6192654844505372,0.7936133175085757,30
