批次编号,服务区编号,机型编号,箱数,总质量_kg,总体积_m3,质量上限_kg,体积上限_m3,质量利用率,体积利用率,货箱列表
S001-B01,S001,C,7,76,0.159,80.0,0.25,0.95,0.636,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-05
S001-B02,S001,C,8,78,0.23500000000000001,80.0,0.25,0.975,0.9400000000000001,S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02
S002-B01,S002,C,6,67,0.148,69.01455353898965,0.25,0.9708097287356713,0.592,S002-MED-01|S002-WAT-01|S002-WAT-02|S002-WAT-03|S002-WAT-04|S002-FOD-01
S002-B02,S002,B,2,14,0.063,30.0,0.073,0.4666666666666667,0.863013698630137,S002-FOD-02|S002-HYG-01
S003-B01,S003,C,6,67,0.148,68.2888927521957,0.25,0.9811258800626219,0.592,S003-MED-01|S003-WAT-01|S003-WAT-02|S003-WAT-03|S003-WAT-04|S003-FOD-01
S003-B02,S003,B,2,14,0.063,30.0,0.073,0.4666666666666667,0.863013698630137,S003-FOD-02|S003-HYG-01
S004-B01,S004,C,6,59,0.156,63.79253380318082,0.25,0.924873123585791,0.624,S004-MED-01|S004-WAT-01|S004-WAT-02|S004-WAT-03|S004-FOD-01|S004-HYG-01
S005-B01,S005,C,6,59,0.156,80.0,0.25,0.7375,0.624,S005-MED-01|S005-WAT-01|S005-WAT-02|S005-WAT-03|S005-FOD-01|S005-HYG-01
S006-B01,S006,C,6,59,0.156,80.0,0.25,0.7375,0.624,S006-MED-01|S006-WAT-01|S006-WAT-02|S006-WAT-03|S006-FOD-01|S006-HYG-01
S007-B01,S007,C,5,45,0.129,80.0,0.25,0.5625,0.516,S007-MED-01|S007-WAT-01|S007-WAT-02|S007-FOD-01|S007-HYG-01
S008-B01,S008,C,5,45,0.129,59.12736351578968,0.25,0.7610689420978997,0.516,S008-MED-01|S008-WAT-01|S008-WAT-02|S008-FOD-01|S008-HYG-01
S009-B01,S009,B,3,25,0.067,30.0,0.073,0.8333333333333334,0.9178082191780823,S009-MED-01|S009-WAT-01|S009-FOD-01
S010-B01,S010,B,3,25,0.067,30.0,0.073,0.8333333333333334,0.9178082191780823,S010-MED-01|S010-WAT-01|S010-FOD-01
S011-B01,S011,B,3,25,0.067,30.0,0.073,0.8333333333333334,0.9178082191780823,S011-MED-01|S011-WAT-01|S011-FOD-01
S012-B01,S012,B,3,25,0.067,30.0,0.073,0.8333333333333334,0.9178082191780823,S012-MED-01|S012-WAT-01|S012-FOD-01
S013-B01,S013,B,3,25,0.067,30.0,0.073,0.8333333333333334,0.9178082191780823,S013-MED-01|S013-WAT-01|S013-FOD-01
S014-B01,S014,B,3,25,0.067,30.0,0.073,0.8333333333333334,0.9178082191780823,S014-MED-01|S014-WAT-01|S014-FOD-01
S015-B01,S015,B,3,25,0.067,30.0,0.073,0.8333333333333334,0.9178082191780823,S015-MED-01|S015-WAT-01|S015-FOD-01
