机型编号,服务区编号,q_max_kg,可用装载体积_m3,限制因素,水平距离_m,巡航海拔_m,往返总能耗_kWh_at_qmax,能量上限_kWh
A,S001,25.0,0.06,mass_cap,3049.050444260036,283.73960876464844,1.3173091982017175,3.6
A,S002,25.0,0.06,mass_cap,7399.077812235877,309.2448425292969,3.0855860858574875,3.6
A,S003,25.0,0.06,mass_cap,7257.215164024745,561.8041381835938,3.154194360350883,3.6
A,S004,25.0,0.06,mass_cap,7700.540457124178,406.2113342285156,3.265841272267819,3.6
A,S005,25.0,0.06,mass_cap,5270.8750034808,323.50079345703125,2.239041599797077,3.6
A,S006,25.0,0.06,mass_cap,3184.589785296785,366.09783935546875,1.3889636108221244,3.6
A,S007,25.0,0.06,mass_cap,4530.579547597916,511.9731750488281,2.016173653526367,3.6
A,S008,25.0,0.06,mass_cap,8064.676500772045,372.9093322753906,3.381266625671207,3.6
A,S009,25.0,0.06,mass_cap,5695.949798836525,292.522705078125,2.3826083236643356,3.6
A,S010,25.0,0.06,mass_cap,4781.662142578038,432.5758972167969,2.067510253314923,3.6
A,S011,25.0,0.06,mass_cap,2803.4478502255656,293.3490295410156,1.2163979537116558,3.6
A,S012,25.0,0.06,mass_cap,7382.0500263283175,415.3234558105469,3.1289071619151496,3.6
A,S013,25.0,0.06,mass_cap,4845.058548042319,399.18182373046875,2.072326686097636,3.6
A,S014,25.0,0.06,mass_cap,5416.821978107045,591.9473876953125,2.4243315068059306,3.6
A,S015,25.0,0.06,mass_cap,6001.754735620962,571.7992553710938,2.615974439506373,3.6
B,S001,30.0,0.073,mass_cap,3049.050444260036,283.73960876464844,1.2783995046564327,3.2
B,S002,30.0,0.073,mass_cap,7399.077812235877,309.2448425292969,2.9940435756844628,3.2
B,S003,30.0,0.073,mass_cap,7257.215164024745,561.8041381835938,3.061849620253059,3.2
B,S004,30.0,0.073,mass_cap,7700.540457124178,406.2113342285156,3.1689714166045704,3.2
B,S005,30.0,0.073,mass_cap,5270.8750034808,323.50079345703125,2.172608897365273,3.2
B,S006,30.0,0.073,mass_cap,3184.589785296785,366.09783935546875,1.3493238411795145,3.2
B,S007,30.0,0.073,mass_cap,4530.579547597916,511.9731750488281,1.958069123931541,3.2
B,S008,28.882330393008136,0.073,energy_margin,8064.676500772045,372.9093322753906,3.1999999999924427,3.2
B,S009,30.0,0.073,mass_cap,5695.949798836525,292.522705078125,2.3122612696783644,3.2
B,S010,30.0,0.073,mass_cap,4781.662142578038,432.5758972167969,2.00791641865894,3.2
B,S011,30.0,0.073,mass_cap,2803.4478502255656,293.3490295410156,1.1808201292245382,3.2
B,S012,30.0,0.073,mass_cap,7382.0500263283175,415.3234558105469,3.0367060041140217,3.2
B,S013,30.0,0.073,mass_cap,4845.058548042319,399.18182373046875,2.012596220663099,3.2
B,S014,30.0,0.073,mass_cap,5416.821978107045,591.9473876953125,2.354000864599359,3.2
B,S015,30.0,0.073,mass_cap,6001.754735620962,571.7992553710938,2.5412566127898666,3.2
C,S001,80.0,0.25,mass_cap,3049.050444260036,283.73960876464844,3.0856647766254075,6.4
C,S002,69.01455353898965,0.25,energy_margin,7399.077812235877,309.2448425292969,6.400000000018442,6.4
C,S003,68.2888927521957,0.25,energy_margin,7257.215164024745,561.8041381835938,6.4000000000207224,6.4
C,S004,63.79253380318082,0.25,energy_margin,7700.540457124178,406.2113342285156,6.400000001266019,6.4
C,S005,80.0,0.25,mass_cap,5270.8750034808,323.50079345703125,5.280655263267985,6.4
C,S006,80.0,0.25,mass_cap,3184.589785296785,366.09783935546875,3.2516030967881155,6.4
C,S007,80.0,0.25,mass_cap,4530.579547597916,511.9731750488281,4.675401340470771,6.4
C,S008,59.12736351578968,0.25,energy_margin,8064.676500772045,372.9093322753906,6.4000000000000465,6.4
C,S009,80.0,0.25,mass_cap,5695.949798836525,292.522705078125,5.659836977469286,6.4
C,S010,80.0,0.25,mass_cap,4781.662142578038,432.5758972167969,4.853244811267018,6.4
C,S011,80.0,0.25,mass_cap,2803.4478502255656,293.3490295410156,2.846919104264858,6.4
C,S012,68.20515973568078,0.25,energy_margin,7382.0500263283175,415.3234558105469,6.400000000033873,6.4
C,S013,80.0,0.25,mass_cap,4845.058548042319,399.18182373046875,4.887237630815953,6.4
C,S014,80.0,0.25,mass_cap,5416.821978107045,591.9473876953125,5.604720185959646,6.4
C,S015,80.0,0.25,mass_cap,6001.754735620962,571.7992553710938,6.125272008322103,6.4
