批次编号,服务区编号,机型编号,箱数,总质量_kg,总体积_m3,E_batch_kWh,T_batch_s,货箱列表
S001-G01,S001,C,9,78,0.224,2.9997943195296233,1710.7413550110386,S001-MED-01|S001-MED-02|S001-WAT-01|S001-WAT-04|S001-WAT-07|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01
S001-G02,S001,C,6,76,0.17,2.9216521037055703,1512.7413550110386,S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-HYG-02
S002-G01,S002,B,3,25,0.067,2.709166835896415,1815.4894773410856,S002-MED-01|S002-WAT-01|S002-FOD-01
S002-G02,S002,C,5,56,0.14400000000000002,5.712066146906887,2040.7044248508514,S002-WAT-02|S002-WAT-03|S002-WAT-04|S002-FOD-02|S002-HYG-01
S003-G01,S003,B,3,25,0.067,2.777594563732003,2079.7280912059036,S003-MED-01|S003-WAT-02|S003-FOD-01
S003-G02,S003,C,5,56,0.14400000000000002,5.760178553847352,2369.296137267101,S003-WAT-01|S003-WAT-03|S003-WAT-04|S003-FOD-02|S003-HYG-01
S004-G01,S004,C,6,59,0.156,6.147778242554963,2313.519129227885,S004-MED-01|S004-WAT-01|S004-WAT-02|S004-WAT-03|S004-FOD-01|S004-HYG-01
S005-G01,S005,C,6,59,0.156,4.212332678253565,1870.6547620200963,S005-MED-01|S005-WAT-01|S005-WAT-02|S005-WAT-03|S005-FOD-01|S005-HYG-01
S006-G01,S006,C,6,59,0.156,2.596601829343914,1561.3380822127485,S006-MED-01|S006-WAT-01|S006-WAT-02|S006-WAT-03|S006-FOD-01|S006-HYG-01
S007-G01,S007,C,5,45,0.129,3.4079406274199755,1907.0489881009462,S007-MED-01|S007-WAT-01|S007-WAT-02|S007-FOD-01|S007-HYG-01
S008-G01,S008,C,5,45,0.129,5.825742233328683,2197.7869981986423,S008-MED-01|S008-WAT-01|S008-WAT-02|S008-FOD-01|S008-HYG-01
S009-G01,S009,B,3,25,0.067,2.0924839199484895,1556.1799406261198,S009-MED-01|S009-WAT-01|S009-FOD-01
S010-G01,S010,B,3,25,0.067,1.8202689637505212,1550.5129349283739,S010-MED-01|S010-WAT-01|S010-FOD-01
S011-G01,S011,B,3,25,0.067,1.0710516142839759,1184.8516233568985,S011-MED-01|S011-WAT-01|S011-FOD-01
S012-G01,S012,B,3,25,0.067,2.750471619951881,1924.5810720325776,S012-MED-01|S012-WAT-01|S012-FOD-01
S013-G01,S013,B,3,25,0.067,1.8231685972549476,1509.91448121033,S013-MED-01|S013-WAT-01|S013-FOD-01
S014-G01,S014,B,3,25,0.067,2.1391805071457104,1869.385765700731,S014-MED-01|S014-WAT-01|S014-FOD-01
S015-G01,S015,B,3,25,0.067,2.304567577698274,1827.2595392937324,S015-MED-01|S015-WAT-01|S015-FOD-01
