货箱编号,服务区编号,物资类型,期望送达时间_s,硬约束时限_s,实际送达时刻_s,是否硬约束超时
S001-MED-01,S001,医疗物资,3600,3600.0,2902.2601023563707,False
S001-MED-02,S001,医疗物资,3600,3600.0,2902.2601023563707,False
S001-WAT-01,S001,饮用水,3600,3600.0,3180.6146507512367,False
S001-WAT-02,S001,饮用水,3600,,3180.6146507512367,False
S001-WAT-03,S001,饮用水,3600,,9866.414078869331,False
S001-WAT-04,S001,饮用水,3600,,3180.6146507512367,False
S001-WAT-05,S001,饮用水,3600,,3180.6146507512367,False
S001-WAT-06,S001,饮用水,3600,,3180.6146507512367,False
S001-WAT-07,S001,饮用水,3600,,2902.2601023563707,False
S001-WAT-08,S001,饮用水,3600,,9916.25531322943,False
S001-FOD-01,S001,应急食品,7200,,8518.440717022044,False
S001-FOD-02,S001,应急食品,7200,,2902.2601023563707,False
S001-FOD-03,S001,应急食品,7200,,2902.2601023563707,False
S001-HYG-01,S001,生活卫生用品,10800,,2902.2601023563707,False
S001-HYG-02,S001,生活卫生用品,10800,,9866.414078869331,False
S002-MED-01,S002,医疗物资,3600,3600.0,1090.7622124254258,False
S002-WAT-01,S002,饮用水,3600,3600.0,1090.7622124254258,False
S002-WAT-02,S002,饮用水,3600,,11745.982152686343,False
S002-WAT-03,S002,饮用水,3600,,1090.7622124254258,False
S002-WAT-04,S002,饮用水,3600,,1090.7622124254258,False
S002-FOD-01,S002,应急食品,7200,,1090.7622124254258,False
S002-FOD-02,S002,应急食品,7200,,1090.7622124254258,False
S002-HYG-01,S002,生活卫生用品,10800,,15281.38885080094,False
S003-MED-01,S003,医疗物资,7200,7200.0,5767.693591002788,False
S003-WAT-01,S003,饮用水,7200,7200.0,5493.380414320535,False
S003-WAT-02,S003,饮用水,7200,,8244.14298663344,False
S003-WAT-03,S003,饮用水,7200,,5493.380414320535,False
S003-WAT-04,S003,饮用水,7200,,5767.693591002788,False
S003-FOD-01,S003,应急食品,10800,,5767.693591002788,False
S003-FOD-02,S003,应急食品,10800,,5767.693591002788,False
S003-HYG-01,S003,生活卫生用品,14400,,5767.693591002788,False
S004-MED-01,S004,医疗物资,7200,7200.0,6750.407003694428,False
S004-WAT-01,S004,饮用水,7200,7200.0,6532.0288076499355,False
S004-WAT-02,S004,饮用水,7200,,6532.0288076499355,False
S004-WAT-03,S004,饮用水,7200,,14368.921158802454,False
S004-FOD-01,S004,应急食品,10800,,10680.21567981684,False
S004-HYG-01,S004,生活卫生用品,14400,,10680.21567981684,False
S005-MED-01,S005,医疗物资,10800,10800.0,7831.844040646387,False
S005-WAT-01,S005,饮用水,10800,10800.0,7831.844040646387,False
S005-WAT-02,S005,饮用水,10800,,12709.004567792721,False
S005-WAT-03,S005,饮用水,10800,,7831.844040646387,False
S005-FOD-01,S005,应急食品,14400,,16031.057749812187,False
S005-HYG-01,S005,生活卫生用品,18000,,7831.844040646387,False
S006-MED-01,S006,医疗物资,3600,3600.0,843.3140411063742,False
S006-WAT-01,S006,饮用水,3600,3600.0,843.3140411063742,False
S006-WAT-02,S006,饮用水,3600,,843.3140411063742,False
S006-WAT-03,S006,饮用水,3600,,10050.084506886638,False
S006-FOD-01,S006,应急食品,7200,,843.3140411063742,False
S006-HYG-01,S006,生活卫生用品,10800,,843.3140411063742,False
S007-MED-01,S007,医疗物资,3600,3600.0,1603.4944791952441,False
S007-WAT-01,S007,饮用水,3600,3600.0,1603.4944791952441,False
S007-WAT-02,S007,饮用水,3600,,11220.706687483176,False
S007-FOD-01,S007,应急食品,7200,,4318.549617006207,False
S007-HYG-01,S007,生活卫生用品,10800,,7789.208036940464,False
S008-MED-01,S008,医疗物资,7200,7200.0,4833.304051065148,False
S008-WAT-01,S008,饮用水,7200,7200.0,4833.304051065148,False
S008-WAT-02,S008,饮用水,7200,,13511.972168410308,False
S008-FOD-01,S008,应急食品,10800,,4833.304051065148,False
S008-HYG-01,S008,生活卫生用品,14400,,11227.612303725633,False
S009-MED-01,S009,医疗物资,10800,10800.0,8546.387745058395,False
S009-WAT-01,S009,饮用水,10800,10800.0,8546.387745058395,False
S009-FOD-01,S009,应急食品,14400,,8546.387745058395,False
S010-MED-01,S010,医疗物资,3600,3600.0,2712.1788998315847,False
S010-WAT-01,S010,饮用水,3600,3600.0,2712.1788998315847,False
S010-FOD-01,S010,应急食品,7200,,2712.1788998315847,False
S011-MED-01,S011,医疗物资,10800,10800.0,8090.7189615709085,False
S011-WAT-01,S011,饮用水,10800,10800.0,10347.413850474437,False
S011-FOD-01,S011,应急食品,14400,,8090.7189615709085,False
S012-MED-01,S012,医疗物资,7200,3600.0,1032.2205360162889,False
S012-WAT-01,S012,饮用水,3600,3600.0,1032.2205360162889,False
S012-FOD-01,S012,应急食品,7200,,1032.2205360162889,False
S013-MED-01,S013,医疗物资,3600,3600.0,2747.0716459710757,False
S013-WAT-01,S013,饮用水,3600,3600.0,2747.0716459710757,False
S013-FOD-01,S013,应急食品,7200,,2747.0716459710757,False
S014-MED-01,S014,医疗物资,7200,3600.0,1002.2495495170322,False
S014-WAT-01,S014,饮用水,3600,3600.0,1002.2495495170322,False
S014-FOD-01,S014,应急食品,7200,,1002.2495495170322,False
S015-MED-01,S015,医疗物资,7200,7200.0,4704.4680290938795,False
S015-WAT-01,S015,饮用水,10800,10800.0,8699.399802994181,False
S015-FOD-01,S015,应急食品,14400,,5984.6372306812755,False
