f1_及时性,f2_makespan_s,f3_总能耗_kWh,f4_架次数,硬约束违反量
1185377.5502730743,21587.540551062837,81.46515136919798,32.0,0.0
1090586.3436489217,15830.187145441862,91.99863981952278,32.0,0.0
978255.3164398778,15449.352060566112,92.37557658187418,31.0,0.0
1088709.9449075125,21865.32050605539,80.88130558419579,32.0,0.0
945104.0197659308,19784.30199200823,81.81294176696343,31.0,0.0
871298.9193062924,20094.408514207837,82.50609355046979,31.0,0.0
593461.033540446,15952.17936441311,89.2762178409346,30.0,0.0
636937.5770261639,16683.60333191273,82.77651411569171,29.0,0.0
1083201.5929707908,21756.81571313379,81.73554379343578,32.0,0.0
1185377.5502730743,21587.540551062837,81.46515136919798,32.0,0.0
1090586.3436489217,15830.187145441862,91.99863981952278,32.0,0.0
