路线编号,机型编号,停靠序列,箱数,总质量_kg,总体积_m3,E_route_kWh,T_route_s,货箱列表
R001,C,O01->S001->O01,5,70,0.135,2.724536208772231,1446.7413550110386,S001-WAT-01|S001-WAT-02|S001-WAT-04|S001-WAT-05|S001-WAT-06
R002,C,O01->S001->O01,6,42,0.14200000000000002,2.2103808441599107,1512.7413550110386,S001-WAT-07|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-MED-01|S001-MED-02
R003,C,O01->S001->S011->O01,3,34,0.089,2.8320971694728785,1704.7760990459105,S001-WAT-03|S001-HYG-02|S011-WAT-01
R004,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,S001-WAT-08
R005,B,O01->S011->S001->O01,3,19,0.068,1.3994204723776875,1571.2666431743285,S001-FOD-01|S011-FOD-01|S011-MED-01
R006,C,O01->S002->O01,6,61,0.149,5.939253283144809,2106.7044248508514,S002-WAT-01|S002-WAT-03|S002-WAT-04|S002-FOD-01|S002-FOD-02|S002-MED-01
R007,C,O01->S006->S007->O01,7,62,0.168,4.009403221321603,2415.0589732457174,S006-WAT-01|S006-WAT-02|S006-FOD-01|S006-HYG-01|S006-MED-01|S007-WAT-01|S007-MED-01
R008,B,O01->S002->O01,1,14,0.027,2.357571326055035,1695.4894773410856,S002-WAT-02
R009,B,O01->S002->O01,1,6,0.035,2.2269447720031303,1695.4894773410856,S002-HYG-01
R010,C,O01->S003->O01,5,39,0.13,5.204837200224517,2369.2961372671016,S003-WAT-04|S003-FOD-01|S003-FOD-02|S003-HYG-01|S003-MED-01
R011,C,O01->S003->S015->O01,3,36,0.082,5.5745294947777815,2527.451197203007,S003-WAT-01|S003-WAT-03|S015-FOD-01
R012,C,O01->S007->S003->S015->O01,3,34,0.089,5.513626746775261,2714.762572312905,S003-WAT-02|S007-HYG-01|S015-WAT-01
R013,B,O01->S004->O01,1,3,0.012,2.3305959028793892,1871.4486844850467,S004-MED-01
R014,B,O01->S004->O01,2,28,0.054,3.034662205647039,1931.4486844850467,S004-WAT-01|S004-WAT-02
R015,B,O01->S004->O01,1,14,0.027,2.501148786933749,1871.4486844850467,S004-WAT-03
R016,C,O01->S004->S008->O01,3,20,0.098,6.0010775774088225,2568.179687622058,S004-FOD-01|S004-HYG-01|S008-HYG-01
R017,C,O01->S005->O01,4,37,0.101,3.687395997735556,1738.6547620200963,S005-WAT-01|S005-WAT-03|S005-HYG-01|S005-MED-01
R018,B,O01->S005->O01,1,14,0.027,1.715184424830449,1450.6044975344194,S005-WAT-02
R019,B,O01->S005->O01,1,8,0.028,1.6388115556324068,1450.6044975344194,S005-FOD-01
R020,B,O01->S006->O01,1,14,0.027,1.0656891307004104,1147.0554690942588,S006-WAT-03
R021,B,O01->S007->O01,1,14,0.027,1.5518249989923105,1515.7579297513366,S007-WAT-02
R022,B,O01->S007->S015->O01,2,11,0.04,2.0659131955309142,2031.6271466102064,S007-FOD-01|S015-MED-01
R023,B,O01->S008->O01,3,25,0.067,2.9700117999079167,1959.9172207735123,S008-WAT-01|S008-FOD-01|S008-MED-01
R024,B,O01->S008->O01,1,14,0.027,2.584819253035307,1839.9172207735123,S008-WAT-02
R025,B,O01->S009->O01,3,25,0.067,2.0924839199484895,1556.17994062612,S009-WAT-01|S009-FOD-01|S009-MED-01
R026,B,O01->S010->O01,3,25,0.067,1.8202689637505212,1550.5129349283739,S010-WAT-01|S010-FOD-01|S010-MED-01
R027,B,O01->S012->O01,3,25,0.067,2.750471619951881,1924.5810720325776,S012-WAT-01|S012-FOD-01|S012-MED-01
R028,B,O01->S013->O01,3,25,0.067,1.8231685972549476,1509.91448121033,S013-WAT-01|S013-FOD-01|S013-MED-01
R029,B,O01->S014->O01,3,25,0.067,2.1391805071457104,1869.385765700731,S014-WAT-01|S014-FOD-01|S014-MED-01
