架次编号,机型编号,无人机编号,电池编号,起飞时刻_s,返航时刻_s,停靠序列
T001,C,U07,C-电池01,0.0,2415.0589732457174,O01->S006->S007->O01
T002,C,U08,C-电池02,0.0,2106.7044248508514,O01->S002->O01
T003,B,U05,B-电池01,0.0,1924.5810720325776,O01->S012->O01
T004,B,U06,B-电池02,0.0,1869.385765700731,O01->S014->O01
T005,B,U06,B-电池03,1869.385765700731,3419.898700629105,O01->S010->O01
T006,B,U05,B-电池04,1924.5810720325776,3434.4955532429076,O01->S013->O01
T007,C,U08,C-电池03,2106.7044248508514,3619.44577986189,O01->S001->O01
T008,C,U07,C-电池04,2415.0589732457174,3861.800328256756,O01->S001->O01
T009,B,U06,B-电池02,3463.030652130539,5494.657798740745,O01->S007->S015->O01
T010,B,U05,B-电池01,3783.1187740117257,5743.035994785238,O01->S008->O01
T011,C,U08,C-电池01,4334.272345686984,6861.723542889991,O01->S003->S015->O01
T012,C,U07,C-电池02,4548.585522369237,6917.881659636339,O01->S003->O01
T013,B,U06,B-电池03,5494.657798740745,7426.1064832257925,O01->S004->O01
T014,B,U05,B-电池04,5743.035994785238,7614.484679270285,O01->S004->O01
T015,C,U08,C-电池03,6861.723542889991,9576.486115202897,O01->S007->S003->S015->O01
T016,C,U07,C-电池04,6917.881659636339,8656.536421656434,O01->S005->O01
T017,B,U06,B-电池02,7426.1064832257925,8997.373126400122,O01->S011->S001->O01
T018,B,U05,B-电池01,7696.707774745335,9252.887715371455,O01->S009->O01
T019,C,U07,C-电池02,9160.858401363812,10865.634500409722,O01->S001->S011->O01
T020,B,U06,B-电池04,9291.076237184687,10395.187722607508,O01->S001->O01
T021,B,U05,B-电池03,9407.793439006176,10554.848908100435,O01->S006->O01
T022,C,U08,C-电池01,9576.486115202897,12144.665802824955,O01->S004->S008->O01
T023,B,U06,B-电池02,10395.187722607508,11910.945652358845,O01->S007->O01
T024,B,U05,B-电池01,10826.2974140158,12521.786891356885,O01->S002->O01
T025,B,U06,B-电池04,11910.945652358845,13361.550149893264,O01->S005->O01
T026,B,U05,B-电池03,12521.786891356885,14361.704112130397,O01->S008->O01
T027,B,U06,B-电池02,13361.550149893264,15232.998834378312,O01->S004->O01
T028,B,U05,B-电池01,14361.704112130397,16057.193589471482,O01->S002->O01
T029,B,U06,B-电池04,15232.998834378312,16683.60333191273,O01->S005->O01
