路线编号,机型编号,停靠序列,箱数,总质量_kg,总体积_m3,E_route_kWh,T_route_s,通信保障方式,货箱列表
R001,B,O01->S001->O01,1,3,0.012,0.9417708195779846,1104.1114854228224,直连,S001-MED-01
R002,B,O01->S001->O01,1,3,0.012,0.9417708195779846,1104.1114854228224,直连,S001-MED-02
R003,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,直连,S001-WAT-01
R004,B,O01->S001->S011->O01,2,22,0.055,1.4514052354531533,1511.2666431743285,直连,S001-WAT-02|S011-FOD-01
R005,B,O01->S001->O01,2,28,0.054,1.2248733565946466,1164.1114854228224,直连,S001-WAT-03|S001-WAT-08
R006,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,直连,S001-WAT-04
R007,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,直连,S001-WAT-05
R008,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,直连,S001-WAT-06
R009,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,直连,S001-WAT-07
R010,B,O01->S001->O01,1,8,0.028,0.9660550724182919,1104.1114854228224,直连,S001-FOD-01
R011,B,O01->S001->O01,1,8,0.028,0.9660550724182919,1104.1114854228224,直连,S001-FOD-02
R012,B,O01->S001->O01,1,8,0.028,0.9660550724182919,1104.1114854228224,直连,S001-FOD-03
R013,B,O01->S001->O01,1,6,0.035,0.9549187837421493,1104.1114854228224,直连,S001-HYG-01
R014,B,O01->S001->O01,1,6,0.035,0.9549187837421493,1104.1114854228224,直连,S001-HYG-02
R015,B,O01->S002->O01,2,17,0.039,2.4288312566462413,1755.4894773410856,"中继(109.20053,23.06148,AGL150m)",S002-WAT-01|S002-MED-01
R016,B,O01->S002->O01,1,14,0.027,2.357571326055035,1695.4894773410856,"中继(109.20053,23.06148,AGL150m)",S002-WAT-02
R017,B,O01->S002->O01,1,14,0.027,2.357571326055035,1695.4894773410856,"中继(109.20053,23.06148,AGL150m)",S002-WAT-03
R018,C,O01->S009->S002->O01,4,37,0.101,5.078013075159806,2228.697074524347,"中继(109.20053,23.06148,AGL150m)",S002-WAT-04|S002-HYG-01|S009-WAT-01|S009-MED-01
R019,B,O01->S002->O01,1,8,0.028,2.2524784897371033,1695.4894773410856,"中继(109.20053,23.06148,AGL150m)",S002-FOD-01
R020,B,O01->S002->O01,1,8,0.028,2.2524784897371033,1695.4894773410856,"中继(109.20053,23.06148,AGL150m)",S002-FOD-02
R021,C,O01->S007->S003->S015->O01,6,51,0.11699999999999999,5.876892834623693,2912.762572312905,"中继(109.20658,23.03067,AGL300m)",S003-WAT-01|S003-MED-01|S007-WAT-01|S007-MED-01|S015-WAT-01|S015-MED-01
R022,B,O01->S003->O01,1,14,0.027,2.4220916211692547,1959.7280912059034,"中继(109.19849,23.05847,AGL300m)",S003-WAT-02
R023,B,O01->S003->O01,1,14,0.027,2.4220916211692547,1959.7280912059034,"中继(109.19849,23.05847,AGL300m)",S003-WAT-03
R024,B,O01->S003->O01,1,14,0.027,2.4220916211692547,1959.7280912059034,"中继(109.19849,23.05847,AGL300m)",S003-WAT-04
R025,B,O01->S003->O01,2,14,0.063,2.4220916211692547,2019.7280912059034,"中继(109.19849,23.05847,AGL300m)",S003-FOD-01|S003-HYG-01
R026,B,O01->S003->O01,1,8,0.028,2.313205415506137,1959.7280912059034,"中继(109.19849,23.05847,AGL300m)",S003-FOD-02
R027,C,O01->S005->S004->O01,3,31,0.066,5.256213648673892,2384.4589219420973,"中继(109.22800,23.07851,AGL200m)",S004-WAT-01|S004-MED-01|S005-WAT-01
R028,B,O01->S004->O01,1,14,0.027,2.501148786933749,1871.4486844850467,"中继(109.22800,23.07851,AGL200m)",S004-WAT-02
R029,B,O01->S005->S004->O01,2,20,0.062,2.6700230403781804,2156.068464788777,"中继(109.22800,23.07851,AGL200m)",S004-WAT-03|S005-HYG-01
R030,B,O01->S004->O01,1,8,0.028,2.3897422179210115,1871.4486844850467,"中继(109.22800,23.07851,AGL200m)",S004-FOD-01
R031,B,O01->S004->S008->O01,2,12,0.07,2.922413892263801,2340.337327189115,"中继(109.22800,23.07851,AGL200m)",S004-HYG-01|S008-HYG-01
R032,B,O01->S005->O01,1,3,0.012,1.5982293749029672,1450.6044975344194,"中继(109.19849,23.05847,AGL100m)",S005-MED-01
R033,B,O01->S005->O01,1,14,0.027,1.715184424830449,1450.6044975344194,"中继(109.19849,23.05847,AGL100m)",S005-WAT-02
R034,B,O01->S005->O01,1,14,0.027,1.715184424830449,1450.6044975344194,"中继(109.19849,23.05847,AGL100m)",S005-WAT-03
R035,B,O01->S005->O01,1,8,0.028,1.6388115556324068,1450.6044975344194,"中继(109.19849,23.05847,AGL100m)",S005-FOD-01
R036,B,O01->S006->O01,1,3,0.012,0.9900317025688792,1147.0554690942588,直连,S006-MED-01
R037,C,O01->S006->O01,3,36,0.082,2.2589451768257396,1363.3380822127485,直连,S006-WAT-01|S006-WAT-02|S006-FOD-01
R038,B,O01->S006->O01,1,14,0.027,1.0656891307004104,1147.0554690942588,直连,S006-WAT-03
R039,B,O01->S006->O01,1,6,0.035,1.004619611588103,1147.0554690942588,直连,S006-HYG-01
R040,B,O01->S007->O01,1,14,0.027,1.5518249989923105,1515.7579297513366,"中继(109.19849,23.05847,AGL100m)",S007-WAT-02
R041,B,O01->S007->O01,1,8,0.028,1.481279335266554,1515.7579297513366,"中继(109.19849,23.05847,AGL100m)",S007-FOD-01
R042,B,O01->S007->O01,1,6,0.035,1.4635794259719603,1515.7579297513366,"中继(109.19849,23.05847,AGL100m)",S007-HYG-01
R043,B,O01->S008->O01,2,17,0.039,2.6630263936485457,1899.9172207735123,"中继(109.19849,23.05847,AGL100m)",S008-WAT-01|S008-MED-01
R044,B,O01->S008->O01,1,14,0.027,2.584819253035307,1839.9172207735123,"中继(109.19849,23.05847,AGL100m)",S008-WAT-02
R045,B,O01->S008->O01,1,8,0.028,2.4691988187689526,1839.9172207735123,"中继(109.19849,23.05847,AGL100m)",S008-FOD-01
R046,B,O01->S009->O01,1,8,0.028,1.7393054954108278,1436.17994062612,"中继(109.19849,23.05847,AGL100m)",S009-FOD-01
R047,C,O01->S010->S014->O01,4,34,0.078,4.209107803646827,2379.2017342243153,"中继(109.27476,23.02024,AGL50m)",S010-WAT-01|S010-MED-01|S014-WAT-01|S014-MED-01
R048,B,O01->S010->O01,1,8,0.028,1.5130787506846008,1430.5129349283739,"中继(109.26887,23.03025,AGL50m)",S010-FOD-01
R049,B,O01->S011->O01,1,3,0.012,0.8690430048429412,1064.8516233568985,直连,S011-MED-01
R050,B,O01->S011->O01,1,14,0.027,0.9338065627798459,1064.8516233568985,直连,S011-WAT-01
R051,C,O01->S013->S012->O01,4,34,0.078,5.12201615086815,2377.6647953688644,"中继(109.25331,23.05447,AGL300m)",S012-WAT-01|S012-MED-01|S013-WAT-01|S013-MED-01
