路线编号,通信保障方式,需求候选位置数,相对时间窗,实际服务架次,实际中继无人机,是否缺口
R001,直连,0,-,-,-,False
R002,直连,0,-,-,-,False
R003,中继,1,cand#8[451s-1743s],R02@[6722s-8014s],R02,False
R004,中继,1,cand#8[523s-1950s],R02@[796s-2223s],R02,False
R005,中继,1,cand#5[535s-1906s],R01@[14543s-15914s],R01,False
R006,中继,1,cand#5[624s-2152s],R02@[9788s-11317s],R02,False
R007,中继,1,cand#39[591s-2174s],R02@[13141s-14724s],R02,False
R008,中继,1,cand#1[558s-1773s],R02@[16463s-17678s],R02,False
R009,直连,0,-,-,-,False
R010,中继,1,cand#1[445s-1490s],R01@[17703s-18748s],R01,False
R011,中继,1,cand#222[492s-1429s],R01@[9503s-10440s],R01,False
R012,中继,1,cand#137[486s-1810s],R02@[3817s-5141s],R02,False
R013,中继,1,cand#65[480s-1401s],R01@[11892s-12813s],R01,False
R014,中继,1,cand#234[545s-1684s],R01@[4001s-5140s],R01,False
R015,中继,1,cand#1[1202s-2566s],R01@[6635s-7999s],R01,False
R016,中继,1,cand#1[694s-2383s],R01@[791s-2480s],R01,False
