架次编号,无人机编号,能源组件编号,关联路线机型,关联路线停靠,悬停经度,悬停纬度,悬停AGL_m,起飞时刻_s,到位时刻_s,撤离时刻_s,返航时刻_s,E_kWh,电量是否达标
RT001,R01,R-能源组件01,C,O01->S007->S015->O01,109.19848918,23.05847175,100.0,0.0,790.7448386175063,2479.5647802309677,3110.745985629073,0.844165478231983,True
RT002,R02,R-能源组件02,C,O01->S002->O01,109.20052604,23.0614774,150.0,0.0,795.5350681556492,2222.8491347301333,2856.268715214884,0.769491587428424,True
RT003,R02,R-能源组件03,B,O01->S012->O01,109.25709409999999,23.048621150000002,300.0,3156.268715214884,3816.9849607622286,5140.642165200405,5626.3670634984,0.6626348512414749,True
RT004,R01,R-能源组件04,B,O01->S014->O01,109.27476034,23.02023646,50.0,3410.745985629073,4001.4412303832783,5140.378911774114,5543.930368889974,0.5717923358196283,True
RT005,R01,R-能源组件05,C,O01->S011->S008->O01,109.19848918,23.05847175,100.0,5843.930368889974,6634.67520750748,7998.633178213851,8629.814383611956,0.7449020982325942,True
RT006,R02,R-能源组件06,B,O01->S002->O01,109.20052604,23.0614774,150.0,5926.3670634984,6721.902131654049,8014.258724473651,8647.678304958401,0.7282545815588765,True
RT007,R01,R-能源组件02,B,O01->S010->O01,109.2688695,23.030254300000003,50.0,8929.814383611956,9503.474981855321,10440.41225882471,10823.579826265664,0.5020351509072519,True
RT008,R02,R-能源组件01,C,O01->S003->O01,109.19848918,23.05847175,300.0,8947.678304958401,9788.423143575908,11317.025556477774,12014.873428542547,0.8129801839651686,True
RT009,R01,R-能源组件04,B,O01->S013->O01,109.23521007,23.07132912,300.0,11123.579826265664,11891.74867216567,12812.576482640323,13402.170075753054,0.6112463433451372,True
RT010,R02,R-能源组件03,C,O01->S004->O01,109.22800172,23.07850936,200.0,12314.873428542547,13140.727970468599,14723.586898890819,15372.653175334284,0.8488686131056127,True
RT011,R01,R-能源组件05,B,O01->S003->O01,109.19848918,23.05847175,300.0,13702.170075753054,14542.914914370562,15914.299970908494,16612.147842973267,0.7649415472984114,True
RT012,R02,R-能源组件06,C,O01->S005->O01,109.19848918,23.05847175,100.0,15672.653175334286,16463.39801395179,17677.832061860558,18309.013267258662,0.6992142329333265,True
RT013,R01,R-能源组件02,B,O01->S009->O01,109.19848918,23.05847175,100.0,16912.147842973267,17702.892681590773,18748.202638492934,19379.38384389104,0.6475374273479745,True
