资源编号,资源类型,事件类型,开始_s,结束_s
B-电池01,运输电池,飞行,3331.110475492046,5255.691547524624
B-电池01,运输电池,充电,5255.691547524624,7114.229249503773
B-电池01,运输电池,飞行,14008.213534976028,16087.941626181931
B-电池01,运输电池,充电,16087.941626181931,17958.232603799133
B-电池02,运输电池,飞行,3456.692101151508,5326.077866852239
B-电池02,运输电池,充电,5326.077866852239,6919.722753282047
B-电池02,运输电池,飞行,11411.25473092218,12921.16921213251
B-电池02,运输电池,充电,12921.16921213251,14377.875604276322
B-电池03,运输电池,飞行,6271.387184144283,8086.8766614853685
B-电池03,运输电池,充电,8086.8766614853685,9927.515623707148
B-电池03,运输电池,飞行,17257.951779898063,18814.131720524183
B-电池03,运输电池,充电,18814.131720524183,20387.541419168527
B-电池04,运输电池,飞行,9011.849682783055,10562.36261771143
B-电池04,运输电池,充电,10562.36261771143,12017.812502003322
C-电池01,运输电池,飞行,97.03556859797504,2701.614407916515
C-电池01,运输电池,充电,2701.614407916515,4990.3422668358235
C-电池01,运输电池,飞行,5432.567956009695,8121.237844351547
C-电池01,运输电池,充电,8121.237844351547,10672.382435147018
C-电池02,运输电池,飞行,272.91713114393053,2313.621555994782
C-电池02,运输电池,充电,2313.621555994782,4693.972804115398
C-电池02,运输电池,飞行,4693.972804115398,6206.714159126436
C-电池02,运输电池,充电,6206.714159126436,7831.3282705466945
C-电池02,运输电池,飞行,15905.077696568978,17775.732458589075
C-电池02,运输电池,充电,17775.732458589075,19749.90589228275
C-电池03,运输电池,飞行,2313.621555994782,4024.3629110058205
C-电池03,运输电池,充电,4024.3629110058205,5670.14053921176
C-电池03,运输电池,飞行,9164.78148830247,11534.077625569571
C-电池03,运输电池,充电,11534.077625569571,13927.459317236562
C-电池04,运输电池,飞行,2701.614407916515,4262.952490129263
C-电池04,运输电池,充电,4262.952490129263,5799.5321522432405
C-电池04,运输电池,飞行,12549.323436777191,14862.842566005076
C-电池04,运输电池,充电,14862.842566005076,17361.19917336371
R-能源组件01,中继能源组件,飞行,0.0,3110.745985629073
R-能源组件01,中继能源组件,充电,3110.745985629073,3953.688211160816
R-能源组件01,中继能源组件,飞行,8947.678304958401,12014.873428542547
R-能源组件01,中继能源组件,充电,12014.873428542547,12845.146628278397
R-能源组件02,中继能源组件,飞行,0.0,2856.268715214884
R-能源组件02,中继能源组件,充电,2856.268715214884,3668.8746726076815
R-能源组件02,中继能源组件,飞行,8929.814383611956,10823.579826265664
R-能源组件02,中继能源组件,充电,10823.579826265664,11527.531606321736
R-能源组件02,中继能源组件,飞行,16912.147842973267,19379.38384389104
R-能源组件02,中继能源组件,充电,19379.38384389104,20142.445923751155
R-能源组件03,中继能源组件,飞行,3156.268715214884,5626.3670634984
R-能源组件03,中继能源组件,充电,5626.3670634984,6395.562471815249
R-能源组件03,中继能源组件,飞行,12314.873428542547,15372.653175334284
R-能源组件03,中继能源组件,充电,15372.653175334284,16217.50604940844
R-能源组件04,中继能源组件,飞行,3410.745985629073,5543.930368889974
R-能源组件04,中继能源组件,充电,5543.930368889974,6276.221005316697
R-能源组件04,中继能源组件,飞行,11123.579826265664,13402.170075753054
R-能源组件04,中继能源组件,充电,13402.170075753054,14150.488902737015
R-能源组件05,中继能源组件,飞行,5843.930368889974,8629.814383611956
R-能源组件05,中继能源组件,充电,8629.814383611956,9432.430861018947
R-能源组件05,中继能源组件,飞行,13702.170075753054,16612.147842973267
R-能源组件05,中继能源组件,充电,16612.147842973267,17422.905346563246
R-能源组件06,中继能源组件,飞行,5926.3670634984,8647.678304958401
R-能源组件06,中继能源组件,充电,8647.678304958401,9443.531728716694
R-能源组件06,中继能源组件,飞行,15672.653175334286,18309.013267258662
R-能源组件06,中继能源组件,充电,18309.013267258662,19093.069049387825
R01,中继无人机,飞行,0.0,3110.745985629073
R01,中继无人机,飞行,3410.745985629073,5543.930368889974
R01,中继无人机,飞行,5843.930368889974,8629.814383611956
R01,中继无人机,飞行,8929.814383611956,10823.579826265664
R01,中继无人机,飞行,11123.579826265664,13402.170075753054
R01,中继无人机,飞行,13702.170075753054,16612.147842973267
R01,中继无人机,飞行,16912.147842973267,19379.38384389104
R02,中继无人机,飞行,0.0,2856.268715214884
R02,中继无人机,飞行,3156.268715214884,5626.3670634984
R02,中继无人机,飞行,5926.3670634984,8647.678304958401
R02,中继无人机,飞行,8947.678304958401,12014.873428542547
R02,中继无人机,飞行,12314.873428542547,15372.653175334284
R02,中继无人机,飞行,15672.653175334286,18309.013267258662
U05,运输无人机,飞行,3331.110475492046,5255.691547524624
U05,运输无人机,飞行,6271.387184144283,8086.8766614853685
U05,运输无人机,飞行,11411.25473092218,12921.16921213251
U05,运输无人机,飞行,17257.951779898063,18814.131720524183
U06,运输无人机,飞行,3456.692101151508,5326.077866852239
U06,运输无人机,飞行,9011.849682783055,10562.36261771143
U06,运输无人机,飞行,14008.213534976028,16087.941626181931
U07,运输无人机,飞行,97.03556859797504,2701.614407916515
U07,运输无人机,飞行,2701.614407916515,4262.952490129263
U07,运输无人机,飞行,5432.567956009695,8121.237844351547
U07,运输无人机,飞行,12549.323436777191,14862.842566005076
U08,运输无人机,飞行,272.91713114393053,2313.621555994782
U08,运输无人机,飞行,2313.621555994782,4024.3629110058205
U08,运输无人机,飞行,4693.972804115398,6206.714159126436
U08,运输无人机,飞行,9164.78148830247,11534.077625569571
U08,运输无人机,飞行,15905.077696568978,17775.732458589075
