K,分区编码,资源缺口,资源配置总规模,工作量均衡系数,组内冗余
2,0000000000001,1,19,0.911854,12
2,0000000000010,2,21,0.919038,11
2,0000000000011,1,19,0.830892,12
2,0000000000100,1,19,0.894513,12
2,0000000000101,3,23,0.806367,10
2,0000000000110,1,19,0.813551,12
2,0000000000111,3,23,0.725405,10
2,0000000001000,2,21,0.923479,11
2,0000000001001,1,18,0.835333,13
2,0000000001010,3,23,0.842517,10
2,0000000001011,1,20,0.754371,11
2,0000000001100,1,18,0.817993,13
2,0000000001101,3,22,0.729847,11
2,0000000001110,1,20,0.737031,11
2,0000000001111,3,22,0.648885,11
2,0000000010000,2,21,0.911109,11
2,0000000010001,1,19,0.822963,12
2,0000000010010,2,21,0.830147,11
2,0000000010011,1,19,0.742001,12
2,0000000010100,1,19,0.805622,12
2,0000000010101,3,23,0.717476,10
2,0000000010110,1,19,0.72466,12
2,0000000010111,3,23,0.636514,10
2,0000000011000,2,21,0.834588,11
2,0000000011001,1,18,0.746442,13
2,0000000011010,3,23,0.753626,10
2,0000000011011,1,20,0.66548,11
2,0000000011100,1,18,0.729102,13
2,0000000011101,3,22,0.640956,11
2,0000000011110,1,20,0.64814,11
2,0000000011111,3,21,0.559994,12
2,0000000100000,3,21,0.798849,12
2,0000000100001,3,21,0.710703,12
2,0000000100010,4,23,0.717887,11
2,0000000100011,3,21,0.629741,12
2,0000000100100,4,22,0.693362,12
2,0000000100101,5,25,0.605216,10
2,0000000100110,4,22,0.6124,12
2,0000000100111,5,25,0.524254,10
2,0000000101000,4,24,0.722328,10
2,0000000101001,3,21,0.634182,12
2,0000000101010,5,25,0.641366,10
2,0000000101011,3,22,0.55322,11
2,0000000101100,4,22,0.616842,12
2,0000000101101,5,25,0.528695,10
2,0000000101110,4,23,0.53588,11
2,0000000101111,5,25,0.447734,10
2,0000000110000,4,23,0.709958,11
2,0000000110001,3,21,0.621812,12
2,0000000110010,4,23,0.628996,11
2,0000000110011,3,21,0.54085,12
2,0000000110100,4,22,0.604471,12
2,0000000110101,5,25,0.516325,10
2,0000000110110,4,22,0.523509,12
2,0000000110111,5,25,0.435363,10
2,0000000111000,4,24,0.633437,10
2,0000000111001,3,21,0.545291,12
2,0000000111010,5,25,0.552475,10
2,0000000111011,3,22,0.464329,11
2,0000000111100,4,22,0.527951,12
2,0000000111101,5,25,0.439804,10
2,0000000111110,4,23,0.446989,11
2,0000000111111,5,24,0.358843,11
2,0000001000000,3,21,0.816012,12
2,0000001000001,3,22,0.727866,11
2,0000001000010,4,23,0.73505,11
2,0000001000011,3,22,0.646904,11
2,0000001000100,4,23,0.710526,11
2,0000001000101,6,26,0.62238,10
2,0000001000110,4,23,0.629564,11
2,0000001000111,6,26,0.541418,10
2,0000001001000,4,23,0.739492,11
2,0000001001001,3,21,0.651346,12
2,0000001001010,5,25,0.65853,10
2,0000001001011,3,22,0.570384,11
2,0000001001100,4,22,0.634005,12
2,0000001001101,5,25,0.545859,10
2,0000001001110,4,23,0.553043,11
2,0000001001111,5,25,0.464897,10
2,0000001010000,4,23,0.727121,11
2,0000001010001,3,22,0.638975,11
2,0000001010010,4,23,0.646159,11
2,0000001010011,3,22,0.558013,11
2,0000001010100,4,23,0.621635,11
2,0000001010101,6,26,0.533489,10
2,0000001010110,4,23,0.540673,11
2,0000001010111,6,26,0.452527,10
2,0000001011000,4,23,0.650601,11
2,0000001011001,3,21,0.562455,12
2,0000001011010,5,25,0.569639,10
2,0000001011011,3,22,0.481493,11
2,0000001011100,4,22,0.545114,12
2,0000001011101,5,25,0.456968,10
2,0000001011110,4,23,0.464152,11
2,0000001011111,5,24,0.376006,11
2,0000001100000,2,19,0.614861,13
2,0000001100001,2,20,0.526715,12
2,0000001100010,3,21,0.533899,12
2,0000001100011,2,20,0.445753,12
2,0000001100100,3,21,0.509375,12
2,0000001100101,4,24,0.421229,10
2,0000001100110,3,21,0.428413,12
2,0000001100111,4,24,0.340267,10
2,0000001101000,3,22,0.538341,11
2,0000001101001,2,20,0.450195,12
2,0000001101010,4,23,0.457379,11
2,0000001101011,2,21,0.369233,11
2,0000001101100,3,21,0.432854,12
2,0000001101101,4,24,0.344708,10
2,0000001101110,3,22,0.351892,11
2,0000001101111,4,24,0.263746,10
2,0000001110000,3,21,0.52597,12
2,0000001110001,2,20,0.437824,12
2,0000001110010,3,21,0.445008,12
2,0000001110011,2,20,0.356862,12
2,0000001110100,3,21,0.420484,12
2,0000001110101,4,24,0.332338,10
2,0000001110110,3,21,0.339522,12
2,0000001110111,4,24,0.251376,10
2,0000001111000,3,22,0.44945,11
2,0000001111001,2,20,0.361304,12
2,0000001111010,4,23,0.368488,11
2,0000001111011,2,21,0.280342,11
2,0000001111100,3,21,0.343963,12
2,0000001111101,4,24,0.255817,10
2,0000001111110,3,22,0.263001,11
2,0000001111111,4,23,0.174855,11
2,0000010000000,1,18,0.922383,13
2,0000010000001,2,20,0.834237,12
2,0000010000010,3,22,0.841421,11
2,0000010000011,2,20,0.753275,12
2,0000010000100,2,20,0.816897,12
2,0000010000101,4,24,0.728751,10
2,0000010000110,2,20,0.735935,12
2,0000010000111,4,24,0.647789,10
2,0000010001000,3,22,0.845863,11
2,0000010001001,2,19,0.757717,13
2,0000010001010,4,24,0.764901,10
2,0000010001011,2,21,0.676755,11
2,0000010001100,2,19,0.740376,13
2,0000010001101,4,23,0.65223,11
2,0000010001110,2,21,0.659414,11
2,0000010001111,4,23,0.571268,11
2,0000010010000,3,22,0.833492,11
2,0000010010001,2,20,0.745346,12
2,0000010010010,3,22,0.75253,11
2,0000010010011,2,20,0.664384,12
2,0000010010100,2,20,0.728006,12
2,0000010010101,4,24,0.63986,10
2,0000010010110,2,20,0.647044,12
2,0000010010111,4,24,0.558898,10
2,0000010011000,3,22,0.756972,11
2,0000010011001,2,19,0.668826,13
2,0000010011010,4,24,0.67601,10
2,0000010011011,2,21,0.587864,11
2,0000010011100,2,19,0.651485,13
2,0000010011101,4,23,0.563339,11
2,0000010011110,2,21,0.570523,11
2,0000010011111,4,22,0.482377,12
2,0000010100000,3,21,0.721232,12
2,0000010100001,3,21,0.633086,12
2,0000010100010,4,23,0.64027,11
2,0000010100011,3,21,0.552124,12
2,0000010100100,4,22,0.615746,12
2,0000010100101,5,25,0.5276,10
2,0000010100110,4,22,0.534784,12
2,0000010100111,5,25,0.446638,10
2,0000010101000,4,24,0.644712,10
2,0000010101001,3,21,0.556565,12
2,0000010101010,5,25,0.56375,10
2,0000010101011,3,22,0.475604,11
2,0000010101100,4,22,0.539225,12
2,0000010101101,5,25,0.451079,10
2,0000010101110,4,23,0.458263,11
2,0000010101111,5,25,0.370117,10
2,0000010110000,4,23,0.632341,11
2,0000010110001,3,21,0.544195,12
2,0000010110010,4,23,0.551379,11
2,0000010110011,3,21,0.463233,12
2,0000010110100,4,22,0.526855,12
2,0000010110101,5,25,0.438709,10
2,0000010110110,4,22,0.445893,12
2,0000010110111,5,25,0.357747,10
2,0000010111000,4,24,0.555821,10
2,0000010111001,3,21,0.467674,12
2,0000010111010,5,25,0.474859,10
2,0000010111011,3,22,0.386712,11
2,0000010111100,4,22,0.450334,12
2,0000010111101,5,25,0.362188,10
2,0000010111110,4,23,0.369372,11
2,0000010111111,5,24,0.281226,11
2,0000011000000,3,21,0.738396,12
2,0000011000001,3,22,0.65025,11
2,0000011000010,4,23,0.657434,11
2,0000011000011,3,22,0.569288,11
2,0000011000100,4,23,0.632909,11
2,0000011000101,6,26,0.544763,10
2,0000011000110,4,23,0.551947,11
2,0000011000111,6,26,0.463801,10
2,0000011001000,4,23,0.661875,11
2,0000011001001,3,21,0.573729,12
2,0000011001010,5,25,0.580913,10
2,0000011001011,3,22,0.492767,11
2,0000011001100,4,22,0.556389,12
2,0000011001101,5,25,0.468242,10
2,0000011001110,4,23,0.475427,11
2,0000011001111,5,25,0.38728,10
2,0000011010000,4,23,0.649505,11
2,0000011010001,3,22,0.561359,11
2,0000011010010,4,23,0.568543,11
2,0000011010011,3,22,0.480397,11
2,0000011010100,4,23,0.544018,11
2,0000011010101,6,26,0.455872,10
2,0000011010110,4,23,0.463056,11
2,0000011010111,6,26,0.37491,10
2,0000011011000,4,23,0.572984,11
2,0000011011001,3,21,0.484838,12
2,0000011011010,5,25,0.492022,10
2,0000011011011,3,22,0.403876,11
2,0000011011100,4,22,0.467498,12
2,0000011011101,5,25,0.379351,10
2,0000011011110,4,23,0.386536,11
2,0000011011111,5,24,0.298389,11
2,0000011100000,1,18,0.537245,13
2,0000011100001,1,19,0.449099,12
2,0000011100010,2,20,0.456283,12
2,0000011100011,1,19,0.368137,12
2,0000011100100,2,20,0.431758,12
2,0000011100101,3,23,0.343612,10
2,0000011100110,2,20,0.350796,12
2,0000011100111,3,23,0.26265,10
2,0000011101000,2,21,0.460724,11
2,0000011101001,1,19,0.372578,12
2,0000011101010,3,22,0.379762,11
2,0000011101011,1,20,0.291616,11
2,0000011101100,2,20,0.355237,12
2,0000011101101,3,23,0.267091,10
2,0000011101110,2,21,0.274276,11
2,0000011101111,3,23,0.186129,10
2,0000011110000,2,20,0.448354,12
2,0000011110001,1,19,0.360208,12
2,0000011110010,2,20,0.367392,12
2,0000011110011,1,19,0.279246,12
2,0000011110100,2,20,0.342867,12
2,0000011110101,3,23,0.254721,10
2,0000011110110,2,20,0.261905,12
2,0000011110111,3,23,0.173759,10
2,0000011111000,2,21,0.371833,11
2,0000011111001,1,19,0.283687,12
2,0000011111010,3,22,0.290871,11
2,0000011111011,1,20,0.202725,11
2,0000011111100,2,20,0.266346,12
2,0000011111101,3,23,0.1782,10
2,0000011111110,2,21,0.185385,11
2,0000011111111,3,22,0.097238,11
2,0000100000000,3,21,0.855395,12
2,0000100000001,3,21,0.767249,12
2,0000100000010,4,23,0.774433,11
2,0000100000011,3,21,0.686287,12
2,0000100000100,3,21,0.749909,12
2,0000100000101,5,25,0.661763,10
2,0000100000110,3,21,0.668947,12
2,0000100000111,5,25,0.580801,10
2,0000100001000,4,23,0.778875,11
2,0000100001001,3,20,0.690728,13
2,0000100001010,5,25,0.697913,10
2,0000100001011,3,22,0.609766,11
2,0000100001100,3,20,0.673388,13
2,0000100001101,5,24,0.585242,11
2,0000100001110,3,22,0.592426,11
2,0000100001111,5,24,0.50428,11
2,0000100010000,5,25,0.766504,10
2,0000100010001,4,23,0.678358,11
2,0000100010010,5,25,0.685542,10
