K,分区编码,资源缺口,资源配置总规模,工作量均衡系数,组内冗余
2,0001101100111,5,25,0.001344,10
2,0001111100101,3,23,0.00469,10
2,0001111101001,1,18,0.033656,13
2,0001111101011,1,19,0.047306,12
2,0001111110100,2,20,0.003945,12
2,0010011101011,2,21,0.003684,11
2,0010011111011,1,20,0.092575,11
2,0010111100100,2,19,0.008147,13
2,0011100101001,5,24,4e-05,11
2,0100011111001,4,24,0.001513,10
2,0110100000111,4,23,0.0003,11
2,0110100010110,3,21,0.000445,12
2,0111100000010,6,26,0.000384,10
3,0001111122220,1,21,0.335027,10
3,0010011122221,2,22,0.335001,10
