            box   sid    type  mass    vol  first  t_first    t_exp  prio
0   S001-MED-01  S001    医疗物资   3.0  0.012   True   3600.0   3600.0  24.0
1   S001-MED-02  S001    医疗物资   3.0  0.012  False      NaN   3600.0  24.0
10  S001-FOD-01  S001    应急食品   8.0  0.028  False      NaN   7200.0  10.0
11  S001-FOD-02  S001    应急食品   8.0  0.028  False      NaN   7200.0  10.0
12  S001-FOD-03  S001    应急食品   8.0  0.028  False      NaN   7200.0  10.0
13  S001-HYG-01  S001  生活卫生用品   6.0  0.035  False      NaN  10800.0   8.0
14  S001-HYG-02  S001  生活卫生用品   6.0  0.035  False      NaN  10800.0   8.0
2   S001-WAT-01  S001     饮用水  14.0  0.027   True   3600.0   3600.0  12.0
3   S001-WAT-02  S001     饮用水  14.0  0.027  False      NaN   3600.0  12.0
4   S001-WAT-03  S001     饮用水  14.0  0.027  False      NaN   3600.0  12.0
5   S001-WAT-04  S001     饮用水  14.0  0.027  False      NaN   3600.0  12.0
6   S001-WAT-05  S001     饮用水  14.0  0.027  False      NaN   3600.0  12.0
7   S001-WAT-06  S001     饮用水  14.0  0.027  False      NaN   3600.0  12.0
8   S001-WAT-07  S001     饮用水  14.0  0.027  False      NaN   3600.0  12.0
9   S001-WAT-08  S001     饮用水  14.0  0.027  False      NaN   3600.0  12.0
15  S002-MED-01  S002    医疗物资   3.0  0.012   True   3600.0   3600.0  24.0
20  S002-FOD-01  S002    应急食品   8.0  0.028  False      NaN   7200.0  10.0
21  S002-FOD-02  S002    应急食品   8.0  0.028  False      NaN   7200.0  10.0
22  S002-HYG-01  S002  生活卫生用品   6.0  0.035  False      NaN  10800.0   8.0
16  S002-WAT-01  S002     饮用水  14.0  0.027   True   3600.0   3600.0  12.0
17  S002-WAT-02  S002     饮用水  14.0  0.027  False      NaN   3600.0  12.0
18  S002-WAT-03  S002     饮用水  14.0  0.027  False      NaN   3600.0  12.0
19  S002-WAT-04  S002     饮用水  14.0  0.027  False      NaN   3600.0  12.0
23  S003-MED-01  S003    医疗物资   3.0  0.012   True   7200.0   7200.0  20.0
28  S003-FOD-01  S003    应急食品   8.0  0.028  False      NaN  10800.0   8.0
29  S003-FOD-02  S003    应急食品   8.0  0.028  False      NaN  10800.0   8.0
30  S003-HYG-01  S003  生活卫生用品   6.0  0.035  False      NaN  14400.0   6.0
24  S003-WAT-01  S003     饮用水  14.0  0.027   True   7200.0   7200.0  10.0
25  S003-WAT-02  S003     饮用水  14.0  0.027  False      NaN   7200.0  10.0
26  S003-WAT-03  S003     饮用水  14.0  0.027  False      NaN   7200.0  10.0
27  S003-WAT-04  S003     饮用水  14.0  0.027  False      NaN   7200.0  10.0
31  S004-MED-01  S004    医疗物资   3.0  0.012   True   7200.0   7200.0  20.0
35  S004-FOD-01  S004    应急食品   8.0  0.028  False      NaN  10800.0   8.0
36  S004-HYG-01  S004  生活卫生用品   6.0  0.035  False      NaN  14400.0   6.0
32  S004-WAT-01  S004     饮用水  14.0  0.027   True   7200.0   7200.0  10.0
