gtype     A       B       C    dist   zmax  mass
sid                                             
S001   25.0  30.000  80.000  3050.0  234.0  25.0
S002   25.0  30.000  68.990  7401.0  259.0  25.0
S003   25.0  30.000  68.282  7258.0  512.0  25.0
S004   25.0  30.000  63.759  7703.0  356.0  25.0
S005   25.0  30.000  80.000  5272.0  274.0  25.0
S006   25.0  30.000  80.000  3185.0  316.0  25.0
S007   25.0  30.000  80.000  4531.0  462.0  25.0
S008   25.0  28.869  59.091  8067.0  323.0  25.0
S009   25.0  30.000  80.000  5697.0  242.0  25.0
S010   25.0  30.000  80.000  4782.0  383.0  25.0
S011   25.0  30.000  80.000  2804.0  243.0  25.0
S012   25.0  30.000  68.191  7383.0  365.0  25.0
S013   25.0  30.000  80.000  4846.0  349.0  25.0
S014   25.0  30.000  80.000  5417.0  542.0  25.0
S015   25.0  30.000  80.000  6003.0  522.0  25.0
